,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,262555564.077,2190015000.0,304369000.0,1700936000.0,-30974940.297119,
Tax Rate For Calcs,0.119181,0.205,0.169,0.173,0.177,
Normalized EBITDA,43252000000.0,39058000000.0,37391000000.0,36478000000.0,36676000000.0,
Total Unusual Items,2203000000.0,10683000000.0,1801000000.0,9832000000.0,-175000000.0,
Total Unusual Items Excluding Goodwill,2203000000.0,10683000000.0,1801000000.0,9832000000.0,-175000000.0,
Net Income From Continuing Operation Net Minority Interest,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Reconciled Depreciation,6040000000.0,5611000000.0,4998000000.0,4487000000.0,4205000000.0,
Reconciled Cost Of Revenue,45767000000.0,41369000000.0,39039000000.0,36361000000.0,40613000000.0,
EBITDA,45455000000.0,49741000000.0,39192000000.0,46310000000.0,36501000000.0,
EBIT,39415000000.0,44130000000.0,34194000000.0,41823000000.0,32296000000.0,
Net Interest Income,911000000.0,933000000.0,789000000.0,967000000.0,1035000000.0,
Interest Expense,298000000.0,143000000.0,261000000.0,34000000.0,53000000.0,
Interest Income,1209000000.0,1076000000.0,1050000000.0,1001000000.0,1088000000.0,
Normalized Income,32514555564.077,26486015000.0,26699369000.0,26408936000.0,26680025059.70288,
Net Income From Continuing And Discontinued Operation,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Total Expenses,77895000000.0,71118000000.0,65157000000.0,59628000000.0,65497000000.0,
Total Operating Income As Reported,35934000000.0,31228000000.0,31271000000.0,30606000000.0,30972000000.0,
Diluted Average Shares,12228000000.0,12203000000.0,12198000000.0,12291000000.0,12348000000.0,
Basic Average Shares,12073000000.0,12086000000.0,12122000000.0,12183000000.0,12228000000.0,
Diluted EPS,2.82,2.87,2.31,2.81,2.15,
Basic EPS,2.85,2.89,2.33,2.84,2.17,
Diluted NI Availto Com Stockholders,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Average Dilution Earnings,,,,2415000000.0,,
Net Income Common Stockholders,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Net Income,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Net Income Including Noncontrolling Interests,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Net Income Continuous Operations,34455000000.0,34979000000.0,28196000000.0,34540000000.0,26536000000.0,
Tax Provision,4662000000.0,9008000000.0,5737000000.0,7249000000.0,5707000000.0,
Pretax Income,39117000000.0,43987000000.0,33933000000.0,41789000000.0,32243000000.0,
Other Income Expense,2272000000.0,11826000000.0,1873000000.0,10216000000.0,236000000.0,
Other Non Operating Income Expenses,69000000.0,1143000000.0,72000000.0,384000000.0,411000000.0,
Special Income Charges,-86000000.0,-30000000.0,419000000.0,-22000000.0,-87000000.0,
Write Off,86000000.0,30000000.0,-419000000.0,22000000.0,87000000.0,
Earnings From Equity Interest,,,,-22000000.0,-87000000.0,-107000000.0
Gain On Sale Of Security,2289000000.0,10713000000.0,1382000000.0,9854000000.0,-88000000.0,
Net Non Operating Interest Income Expense,911000000.0,933000000.0,789000000.0,967000000.0,1035000000.0,
Interest Expense Non Operating,298000000.0,143000000.0,261000000.0,34000000.0,53000000.0,
Interest Income Non Operating,1209000000.0,1076000000.0,1050000000.0,1001000000.0,1088000000.0,
Operating Income,35934000000.0,31228000000.0,31271000000.0,30606000000.0,30972000000.0,
Operating Expense,32128000000.0,29749000000.0,26118000000.0,23267000000.0,24884000000.0,
Research And Development,18572000000.0,15151000000.0,13808000000.0,13556000000.0,13116000000.0,
Selling General And Administration,13556000000.0,14598000000.0,12310000000.0,9711000000.0,11768000000.0,
Selling And Marketing Expense,8215000000.0,7205000000.0,7101000000.0,6172000000.0,7363000000.0,
General And Administrative Expense,5341000000.0,7393000000.0,5209000000.0,3539000000.0,4405000000.0,
Other Gand A,5341000000.0,7393000000.0,5209000000.0,3539000000.0,4405000000.0,
Gross Profit,68062000000.0,60977000000.0,57389000000.0,53873000000.0,55856000000.0,
Cost Of Revenue,45767000000.0,41369000000.0,39039000000.0,36361000000.0,40613000000.0,
Total Revenue,113829000000.0,102346000000.0,96428000000.0,90234000000.0,96469000000.0,
Operating Revenue,113829000000.0,102346000000.0,96428000000.0,90234000000.0,96469000000.0,
