,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-16807000000.0,2122000000.0,5196000000.0,-37729000000.0,46180000000.0,
Repurchase Of Capital Stock,-3000000000.0,-2000000000.0,-3000000000.0,-4360000000.0,-3500000000.0,
Repayment Of Debt,-21993000000.0,-15368000000.0,-20332000000.0,-17140000000.0,-15324000000.0,
Issuance Of Debt,29589000000.0,12844000000.0,23219000000.0,29054000000.0,18079000000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,1895000000.0,0.0,
Capital Expenditure,-531000000.0,-558000000.0,-476000000.0,-499000000.0,-586000000.0,
Interest Paid Supplemental Data,15678000000.0,16858000000.0,17004000000.0,15954000000.0,18864000000.0,
Income Tax Paid Supplemental Data,1052000000.0,581000000.0,1721000000.0,636000000.0,863000000.0,
End Cash Position,164259000000.0,169577000000.0,152967000000.0,167408000000.0,182092000000.0,
Beginning Cash Position,169577000000.0,152967000000.0,167408000000.0,182092000000.0,154689000000.0,
Effect Of Exchange Rate Changes,-764000000.0,-738000000.0,4483000000.0,2467000000.0,-4431000000.0,
Changes In Cash,-4554000000.0,17348000000.0,-18924000000.0,-17151000000.0,31834000000.0,
Financing Cash Flow,16755000000.0,19781000000.0,-13262000000.0,42826000000.0,-7817000000.0,
Cash Flow From Continuing Financing Activities,16755000000.0,19781000000.0,-13262000000.0,42826000000.0,-7817000000.0,
Net Other Financing Charges,1431000000.0,223000000.0,-628000000.0,-951000000.0,593000000.0,
Cash Dividends Paid,-1463000000.0,-1476000000.0,-1223000000.0,-1115000000.0,-1153000000.0,
Net Preferred Stock Issuance,0.0,0.0,0.0,1895000000.0,-1500000000.0,
Preferred Stock Payments,0.0,0.0,,,-1500000000.0,0.0
Preferred Stock Issuance,0.0,0.0,0.0,1895000000.0,0.0,
Net Common Stock Issuance,-3000000000.0,-2000000000.0,-3000000000.0,-4360000000.0,-2000000000.0,
Common Stock Payments,-3000000000.0,-2000000000.0,-3000000000.0,-4360000000.0,-2000000000.0,
Net Issuance Payments Of Debt,8836000000.0,-1554000000.0,677000000.0,11025000000.0,5501000000.0,
Net Short Term Debt Issuance,1240000000.0,970000000.0,-2210000000.0,-889000000.0,2746000000.0,
Net Long Term Debt Issuance,7596000000.0,-2524000000.0,2887000000.0,11914000000.0,2755000000.0,
Long Term Debt Payments,-21993000000.0,-15368000000.0,-20332000000.0,-17140000000.0,-15324000000.0,
Long Term Debt Issuance,29589000000.0,12844000000.0,23219000000.0,29054000000.0,18079000000.0,
Investing Cash Flow,-5033000000.0,-5113000000.0,-11334000000.0,-22747000000.0,-7115000000.0,
Cash Flow From Continuing Investing Activities,-5033000000.0,-5113000000.0,-11334000000.0,-22747000000.0,-7115000000.0,
Net Investment Purchase And Sale,8538000000.0,655000000.0,-4923000000.0,-9423000000.0,-2016000000.0,
Sale Of Investment,28399000000.0,15555000000.0,19009000000.0,29984000000.0,11343000000.0,
Purchase Of Investment,-19861000000.0,-14900000000.0,-23932000000.0,-39407000000.0,-13359000000.0,
Net Business Purchase And Sale,0.0,1536000000.0,0.0,0.0,0.0,
Sale Of Business,,1536000000.0,0.0,0.0,,
Net PPE Purchase And Sale,-232000000.0,-446000000.0,-229000000.0,-354000000.0,-125000000.0,
Sale Of PPE,299000000.0,112000000.0,247000000.0,145000000.0,461000000.0,
Purchase Of PPE,-531000000.0,-558000000.0,-476000000.0,-499000000.0,-586000000.0,
Operating Cash Flow,-16276000000.0,2680000000.0,5672000000.0,-37230000000.0,46766000000.0,
Cash Flow From Continuing Operating Activities,-16276000000.0,2680000000.0,5672000000.0,-37230000000.0,46766000000.0,
Change In Working Capital,-21122000000.0,-2912000000.0,-3154000000.0,-41719000000.0,45743000000.0,
Change In Other Working Capital,-36177000000.0,-9796000000.0,-17006000000.0,7467000000.0,-3282000000.0,
Other Non Cash Items,1210000000.0,338000000.0,3924000000.0,-3613000000.0,-3894000000.0,
Stock Based Compensation,258000000.0,237000000.0,533000000.0,2417000000.0,104000000.0,
Deferred Tax,357000000.0,49000000.0,-356000000.0,154000000.0,-147000000.0,
Deferred Income Tax,357000000.0,49000000.0,-356000000.0,154000000.0,-147000000.0,
Depreciation Amortization Depletion,527000000.0,531000000.0,618000000.0,506000000.0,498000000.0,
Depreciation And Amortization,527000000.0,531000000.0,618000000.0,506000000.0,498000000.0,
Net Income From Continuing Operations,4617000000.0,4098000000.0,3723000000.0,4738000000.0,4111000000.0,
