,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-58781212.63877,-31438056.379822,-249092.375958,1771000.0,-3705915.921628,
Tax Rate For Calcs,0.211443,0.239985,0.249092,0.161,0.217995,
Total Unusual Items,-278000000.0,-131000000.0,-1000000.0,11000000.0,-17000000.0,
Total Unusual Items Excluding Goodwill,-278000000.0,-131000000.0,-1000000.0,11000000.0,-17000000.0,
Net Income From Continuing Operation Net Minority Interest,4617000000.0,4098000000.0,3723000000.0,4738000000.0,4111000000.0,
Reconciled Depreciation,527000000.0,531000000.0,618000000.0,506000000.0,498000000.0,
Net Interest Income,3708000000.0,3852000000.0,3104000000.0,2895000000.0,1583000000.0,
Interest Expense,16671000000.0,16970000000.0,16685000000.0,16488000000.0,18371000000.0,
Interest Income,20379000000.0,20822000000.0,19789000000.0,19383000000.0,19954000000.0,
Normalized Income,4836218787.36123,4197561943.620178,3723750907.624042,4728771000.0,4124294084.078372,
Net Income From Continuing And Discontinued Operation,4617000000.0,4098000000.0,3723000000.0,4738000000.0,4111000000.0,
Diluted Average Shares,312900000.0,315000000.0,318300000.0,324500000.0,328400000.0,
Basic Average Shares,307300000.0,309600000.0,313700000.0,320800000.0,322400000.0,
Diluted EPS,14.01,12.25,10.91,14.12,11.95,
Basic EPS,14.21,12.42,11.03,14.25,12.13,
Diluted NI Availto Com Stockholders,4384000000.0,3860000000.0,3473000000.0,4583000000.0,3923000000.0,
Net Income Common Stockholders,4384000000.0,3860000000.0,3473000000.0,4583000000.0,3923000000.0,
Preferred Stock Dividends,233000000.0,238000000.0,250000000.0,155000000.0,188000000.0,
Net Income,4617000000.0,4098000000.0,3723000000.0,4738000000.0,4111000000.0,
Net Income Including Noncontrolling Interests,4617000000.0,4098000000.0,3723000000.0,4738000000.0,4111000000.0,
Net Income Continuous Operations,4617000000.0,4098000000.0,3723000000.0,4738000000.0,4111000000.0,
Tax Provision,1238000000.0,1294000000.0,1235000000.0,909000000.0,1146000000.0,
Pretax Income,5855000000.0,5392000000.0,4958000000.0,5647000000.0,5257000000.0,
Special Income Charges,-278000000.0,-131000000.0,-1000000.0,11000000.0,-17000000.0,
Other Special Charges,94000000.0,131000000.0,1000000.0,-11000000.0,-11000000.0,
Impairment Of Capital Assets,,,,,28000000.0,72000000.0
Gain On Sale Of Security,0.0,0.0,0.0,0.0,0.0,
Depreciation Amortization Depletion Income Statement,527000000.0,531000000.0,618000000.0,506000000.0,698000000.0,
Depreciation And Amortization In Income Statement,527000000.0,531000000.0,618000000.0,506000000.0,698000000.0,
Selling General And Administration,4881000000.0,4851000000.0,4852000000.0,5032000000.0,3940000000.0,
Selling And Marketing Expense,216000000.0,171000000.0,167000000.0,156000000.0,181000000.0,
General And Administrative Expense,4665000000.0,4680000000.0,4685000000.0,4876000000.0,3759000000.0,
Salaries And Wages,4665000000.0,4680000000.0,4685000000.0,4876000000.0,3759000000.0,
Total Revenue,13454000000.0,15184000000.0,14583000000.0,15062000000.0,13869000000.0,
Operating Revenue,13454000000.0,15184000000.0,14583000000.0,15062000000.0,13869000000.0,
Occupancy And Equipment,249000000.0,242000000.0,234000000.0,233000000.0,240000000.0,
Professional Expense And Contract Services Expense,474000000.0,432000000.0,440000000.0,424000000.0,475000000.0,
Other Non Interest Expense,3313000000.0,3266000000.0,3096000000.0,2944000000.0,2891000000.0,
