,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.220437,0.243,0.242,0.244,0.228968
Normalized EBITDA,4971000000.0,6429000000.0,7584000000.0,6151000000.0,5534000000.0
Net Income From Continuing Operation Net Minority Interest,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Reconciled Depreciation,1079000000.0,1044000000.0,1004000000.0,994000000.0,1009000000.0
Reconciled Cost Of Revenue,25498000000.0,27319000000.0,29954000000.0,26199000000.0,26475000000.0
EBITDA,4971000000.0,6429000000.0,7584000000.0,6151000000.0,5534000000.0
EBIT,3892000000.0,5385000000.0,6580000000.0,5157000000.0,4525000000.0
Net Interest Income,-551000000.0,-596000000.0,-550000000.0,-591000000.0,-608000000.0
Interest Expense,594000000.0,628000000.0,575000000.0,615000000.0,638000000.0
Interest Income,43000000.0,32000000.0,25000000.0,24000000.0,30000000.0
Normalized Income,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Net Income From Continuing And Discontinued Operation,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Total Expenses,34349000000.0,35999000000.0,38722000000.0,34723000000.0,35209000000.0
Total Operating Income As Reported,3849000000.0,5353000000.0,6555000000.0,5133000000.0,4495000000.0
Diluted Average Shares,995000000.0,995000000.0,994000000.0,994000000.0,994000000.0
Basic Average Shares,993000000.0,993000000.0,992000000.0,992000000.0,991000000.0
Diluted EPS,2.58,3.62,4.58,3.45,3.02
Basic EPS,2.59,3.63,4.59,3.46,3.02
Diluted NI Availto Com Stockholders,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Net Income Common Stockholders,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Net Income,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Net Income Including Noncontrolling Interests,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Net Income Continuous Operations,2571000000.0,3601000000.0,4551000000.0,3433000000.0,2997000000.0
Tax Provision,727000000.0,1156000000.0,1454000000.0,1109000000.0,890000000.0
Pretax Income,3298000000.0,4757000000.0,6005000000.0,4542000000.0,3887000000.0
Net Non Operating Interest Income Expense,-551000000.0,-596000000.0,-550000000.0,-591000000.0,-608000000.0
Interest Expense Non Operating,594000000.0,628000000.0,575000000.0,615000000.0,638000000.0
Interest Income Non Operating,43000000.0,32000000.0,25000000.0,24000000.0,30000000.0
Operating Income,3849000000.0,5353000000.0,6555000000.0,5133000000.0,4495000000.0
Operating Expense,8617000000.0,8462000000.0,8570000000.0,8326000000.0,8539000000.0
Depreciation Amortization Depletion Income Statement,845000000.0,826000000.0,806000000.0,796000000.0,814000000.0
Depreciation And Amortization In Income Statement,845000000.0,826000000.0,806000000.0,796000000.0,814000000.0
Selling General And Administration,7772000000.0,7636000000.0,7764000000.0,7530000000.0,7725000000.0
Gross Profit,12466000000.0,13815000000.0,15125000000.0,13459000000.0,13034000000.0
Cost Of Revenue,25732000000.0,27537000000.0,30152000000.0,26397000000.0,26670000000.0
Total Revenue,38198000000.0,41352000000.0,45277000000.0,39856000000.0,39704000000.0
Operating Revenue,38198000000.0,41352000000.0,45277000000.0,39856000000.0,39704000000.0
