,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1146000000.0,2914000000.0,1016000000.0,346000000.0,1888000000.0
Repurchase Of Capital Stock,-100000000.0,-100000000.0,-1702000000.0,-1902000000.0,-455000000.0
Repayment Of Debt,-7458000000.0,-6967000000.0,-7842000000.0,-3457000000.0,-3532000000.0
Issuance Of Debt,5126000000.0,7308000000.0,10997000000.0,4901000000.0,4323000000.0
Issuance Of Capital Stock,97000000.0,42000000.0,56000000.0,42000000.0,188000000.0
Capital Expenditure,-58000000.0,-374000000.0,-303000000.0,-251000000.0,-393000000.0
End Cash Position,12487000000.0,12930000000.0,10349000000.0,9657000000.0,10567000000.0
Beginning Cash Position,12930000000.0,10349000000.0,9657000000.0,10567000000.0,10644000000.0
Effect Of Exchange Rate Changes,9000000.0,0.0,123000000.0,44000000.0,-184000000.0
Changes In Cash,-452000000.0,2581000000.0,569000000.0,-954000000.0,107000000.0
Financing Cash Flow,-1313000000.0,-219000000.0,759000000.0,-1180000000.0,-219000000.0
Cash Flow From Continuing Financing Activities,-1313000000.0,-219000000.0,759000000.0,-1180000000.0,-219000000.0
Net Other Financing Charges,1784000000.0,233000000.0,-3000000.0,-32000000.0,-2000000.0
Cash Dividends Paid,-762000000.0,-735000000.0,-747000000.0,-732000000.0,-741000000.0
Common Stock Dividend Paid,-762000000.0,-735000000.0,-747000000.0,-732000000.0,-741000000.0
Net Common Stock Issuance,-3000000.0,-58000000.0,-1646000000.0,-1860000000.0,-267000000.0
Common Stock Payments,-100000000.0,-100000000.0,-1702000000.0,-1902000000.0,-455000000.0
Common Stock Issuance,97000000.0,42000000.0,56000000.0,42000000.0,188000000.0
Net Issuance Payments Of Debt,-2332000000.0,341000000.0,3155000000.0,1444000000.0,791000000.0
Net Short Term Debt Issuance,-978000000.0,587000000.0,431000000.0,1442000000.0,1221000000.0
Short Term Debt Payments,-6104000000.0,-6721000000.0,-6577000000.0,-3413000000.0,-3101000000.0
Short Term Debt Issuance,5126000000.0,7308000000.0,7008000000.0,4855000000.0,4322000000.0
Net Long Term Debt Issuance,-1354000000.0,-246000000.0,2724000000.0,2000000.0,-430000000.0
Long Term Debt Payments,-1354000000.0,-246000000.0,-1265000000.0,-44000000.0,-431000000.0
Long Term Debt Issuance,0.0,0.0,3989000000.0,46000000.0,1000000.0
Investing Cash Flow,-343000000.0,-488000000.0,-1509000000.0,-371000000.0,-1955000000.0
Cash Flow From Continuing Investing Activities,-74000000.0,-488000000.0,-1509000000.0,-371000000.0,-1955000000.0
Net Investment Purchase And Sale,-13000000.0,-77000000.0,-205000000.0,-138000000.0,271000000.0
Sale Of Investment,421000000.0,295000000.0,415000000.0,338000000.0,400000000.0
Purchase Of Investment,-434000000.0,-372000000.0,-620000000.0,-476000000.0,-129000000.0
Net Business Purchase And Sale,-11000000.0,-37000000.0,-1001000000.0,-5000000.0,-1833000000.0
Sale Of Business,0.0,0.0,,,
Purchase Of Business,-11000000.0,-37000000.0,-2158000000.0,-5000000.0,-1833000000.0
Net PPE Purchase And Sale,8000000.0,0.0,0.0,23000000.0,0.0
Sale Of PPE,8000000.0,0.0,0.0,23000000.0,0.0
Capital Expenditure Reported,-58000000.0,-374000000.0,-303000000.0,-251000000.0,-393000000.0
Operating Cash Flow,1204000000.0,3288000000.0,1319000000.0,597000000.0,2281000000.0
Cash Flow From Continuing Operating Activities,871000000.0,3288000000.0,1319000000.0,597000000.0,2281000000.0
Change In Working Capital,985000000.0,-6000000.0,-469000000.0,-862000000.0,781000000.0
Change In Other Working Capital,-204000000.0,-110000000.0,-373000000.0,-20000000.0,
Change In Other Current Assets,-34000000.0,-49000000.0,-185000000.0,35000000.0,176000000.0
Change In Payables And Accrued Expense,1045000000.0,370000000.0,906000000.0,-272000000.0,554000000.0
Change In Accrued Expense,731000000.0,164000000.0,553000000.0,-123000000.0,317000000.0
Change In Payable,314000000.0,206000000.0,353000000.0,-149000000.0,237000000.0
Change In Account Payable,314000000.0,206000000.0,353000000.0,-149000000.0,237000000.0
Change In Inventory,-32000000.0,-100000000.0,-323000000.0,-181000000.0,-71000000.0
Change In Receivables,210000000.0,-117000000.0,-494000000.0,-424000000.0,122000000.0
Changes In Account Receivables,210000000.0,-117000000.0,-494000000.0,-424000000.0,122000000.0
Other Non Cash Items,-880000000.0,1070000000.0,-171000000.0,-278000000.0,-83000000.0
Stock Based Compensation,42000000.0,36000000.0,57000000.0,61000000.0,41000000.0
Asset Impairment Charge,979000000.0,0.0,0.0,15000000.0,94000000.0
Deferred Tax,-36000000.0,85000000.0,-12000000.0,-19000000.0,-187000000.0
Deferred Income Tax,-36000000.0,85000000.0,-12000000.0,-19000000.0,-187000000.0
Depreciation Amortization Depletion,213000000.0,397000000.0,404000000.0,374000000.0,377000000.0
Depreciation And Amortization,213000000.0,397000000.0,404000000.0,374000000.0,377000000.0
Amortization Cash Flow,230000000.0,206000000.0,206000000.0,200000000.0,206000000.0
Amortization Of Intangibles,230000000.0,206000000.0,206000000.0,200000000.0,206000000.0
Depreciation,-17000000.0,191000000.0,198000000.0,174000000.0,171000000.0
Operating Gains Losses,-5000000.0,-153000000.0,-59000000.0,-161000000.0,-32000000.0
Pension And Employee Benefit Expense,-9000000.0,-153000000.0,-89000000.0,-145000000.0,-33000000.0
Gain Loss On Sale Of Business,4000000.0,0.0,30000000.0,-16000000.0,
Net Income From Continuing Operations,-427000000.0,1859000000.0,1569000000.0,1467000000.0,1290000000.0
