,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-1854000000.0,836000000.0,1157000000.0,236000000.0,-682000000.0,
Repurchase Of Capital Stock,-42000000.0,0.0,-100000000.0,-9000000.0,-49000000.0,
Repayment Of Debt,-279000000.0,5000000.0,-772000000.0,-4000000.0,-1966000000.0,
Issuance Of Debt,0.0,0.0,0.0,1481000000.0,0.0,
Capital Expenditure,-202000000.0,-135000000.0,-114000000.0,-95000000.0,-154000000.0,
Interest Paid Supplemental Data,188000000.0,147000000.0,150000000.0,143000000.0,168000000.0,
Income Tax Paid Supplemental Data,80000000.0,122000000.0,,,0.0,208000000.0
End Cash Position,4200000000.0,5388000000.0,4040000000.0,4250000000.0,2221000000.0,
Beginning Cash Position,5388000000.0,4040000000.0,4250000000.0,2221000000.0,5116000000.0,
Changes In Cash,-1188000000.0,1348000000.0,-210000000.0,2029000000.0,-2895000000.0,
Financing Cash Flow,-168000000.0,-603000000.0,-1828000000.0,1384000000.0,-2304000000.0,
Cash Flow From Continuing Financing Activities,-168000000.0,-603000000.0,-1828000000.0,1384000000.0,-2304000000.0,
Net Other Financing Charges,178000000.0,-589000000.0,-723000000.0,-151000000.0,-1494000000.0,
Cash Dividends Paid,-109000000.0,-107000000.0,-106000000.0,-108000000.0,-108000000.0,
Common Stock Dividend Paid,-109000000.0,-107000000.0,-106000000.0,-108000000.0,-108000000.0,
Net Common Stock Issuance,-42000000.0,0.0,-100000000.0,-9000000.0,-49000000.0,
Common Stock Payments,-42000000.0,0.0,-100000000.0,-9000000.0,-49000000.0,
Net Issuance Payments Of Debt,-274000000.0,0.0,-772000000.0,1477000000.0,-1071000000.0,
Net Short Term Debt Issuance,-97000000.0,0.0,-1000000.0,-4000000.0,-12000000.0,
Short Term Debt Payments,,,-1000000.0,-4000000.0,,
Net Long Term Debt Issuance,-177000000.0,0.0,-771000000.0,1481000000.0,-1059000000.0,
Long Term Debt Payments,-177000000.0,0.0,,,-1059000000.0,-14000000.0
Long Term Debt Issuance,0.0,0.0,0.0,1481000000.0,0.0,
Investing Cash Flow,632000000.0,980000000.0,347000000.0,314000000.0,-63000000.0,
Cash Flow From Continuing Investing Activities,632000000.0,980000000.0,347000000.0,314000000.0,-63000000.0,
Net Other Investing Changes,-79000000.0,-93000000.0,127000000.0,-175000000.0,,
Net Investment Purchase And Sale,966000000.0,1097000000.0,335000000.0,584000000.0,604000000.0,
Sale Of Investment,2208000000.0,4354000000.0,1449000000.0,1411000000.0,2386000000.0,
Purchase Of Investment,-1242000000.0,-3257000000.0,-1114000000.0,-827000000.0,-1782000000.0,
Net Business Purchase And Sale,-76000000.0,111000000.0,-1000000.0,0.0,-52000000.0,
Sale Of Business,0.0,,,,,
Purchase Of Business,-76000000.0,-4000000.0,-1000000.0,0.0,-52000000.0,
Net PPE Purchase And Sale,-179000000.0,-135000000.0,-114000000.0,-95000000.0,-147000000.0,
Purchase Of PPE,-202000000.0,-135000000.0,-114000000.0,-95000000.0,-154000000.0,
Operating Cash Flow,-1652000000.0,971000000.0,1271000000.0,331000000.0,-528000000.0,
Cash Flow From Continuing Operating Activities,-1652000000.0,971000000.0,1271000000.0,331000000.0,-528000000.0,
Change In Working Capital,-1410000000.0,427000000.0,418000000.0,-1232000000.0,-310000000.0,
Change In Other Working Capital,91000000.0,-9000000.0,9000000.0,5000000.0,65000000.0,
Change In Other Current Liabilities,5000000.0,307000000.0,817000000.0,193000000.0,125000000.0,
Change In Other Current Assets,-799000000.0,-716000000.0,28000000.0,-686000000.0,745000000.0,
Change In Payables And Accrued Expense,-121000000.0,-971000000.0,-391000000.0,1011000000.0,-685000000.0,
Change In Payable,-121000000.0,-971000000.0,-391000000.0,1011000000.0,-685000000.0,
Change In Account Payable,-121000000.0,-971000000.0,-391000000.0,1011000000.0,-685000000.0,
Change In Receivables,-586000000.0,1816000000.0,-45000000.0,-1755000000.0,-560000000.0,
Other Non Cash Items,,,,7000000.0,32000000.0,32000000.0
Stock Based Compensation,48000000.0,83000000.0,61000000.0,49000000.0,54000000.0,
Asset Impairment Charge,110000000.0,0.0,37000000.0,9000000.0,308000000.0,
Depreciation And Amortization,194000000.0,204000000.0,211000000.0,215000000.0,240000000.0,
Amortization Cash Flow,8000000.0,13000000.0,15000000.0,15000000.0,14000000.0,
Amortization Of Intangibles,8000000.0,13000000.0,15000000.0,15000000.0,14000000.0,
Depreciation,186000000.0,191000000.0,196000000.0,200000000.0,226000000.0,
Operating Gains Losses,134000000.0,36000000.0,8000000.0,41000000.0,23000000.0,
Earnings Losses From Equity Investments,14000000.0,26000000.0,19000000.0,43000000.0,37000000.0,
Gain Loss On Investment Securities,116000000.0,-53000000.0,-11000000.0,-2000000.0,-14000000.0,
Gain Loss On Sale Of Business,4000000.0,,,,,
Net Income From Continuing Operations,-776000000.0,194000000.0,543000000.0,1242000000.0,-683000000.0,
