,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-985163.204748,-13230000.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.246291,0.21,0.247,0.246,0.25058,
Total Unusual Items,-4000000.0,-63000000.0,,,,
Total Unusual Items Excluding Goodwill,-4000000.0,-63000000.0,,,,
Net Income From Continuing Operation Net Minority Interest,-796000000.0,195000000.0,545000000.0,1244000000.0,-693000000.0,
Reconciled Depreciation,194000000.0,204000000.0,211000000.0,215000000.0,240000000.0,
EBIT,-865000000.0,302000000.0,898000000.0,1851000000.0,-698000000.0,
Net Interest Income,-146000000.0,-168000000.0,-157000000.0,-160000000.0,-164000000.0,
Interest Expense,146000000.0,168000000.0,157000000.0,160000000.0,164000000.0,
Normalized Income,-792985163.204748,244770000.0,545000000.0,1244000000.0,-693000000.0,
Net Income From Continuing And Discontinued Operation,-796000000.0,195000000.0,545000000.0,1244000000.0,-693000000.0,
Total Expenses,33526000000.0,32515000000.0,31647000000.0,30421000000.0,30075000000.0,
Diluted Average Shares,,120745000.0,120745000.0,120844000.0,120455000.0,120764000.0
Basic Average Shares,,120273000.0,120539000.0,120666000.0,120455000.0,120405000.0
Diluted EPS,,1.62,4.51,10.3,-5.76,3.98
Basic EPS,,1.62,4.52,10.31,-5.76,3.99
Diluted NI Availto Com Stockholders,-796000000.0,195000000.0,545000000.0,1244000000.0,-693000000.0,
Net Income Common Stockholders,-796000000.0,195000000.0,545000000.0,1244000000.0,-693000000.0,
Net Income,-796000000.0,195000000.0,545000000.0,1244000000.0,-693000000.0,
Minority Interests,-20000000.0,1000000.0,2000000.0,2000000.0,-10000000.0,
Net Income Including Noncontrolling Interests,-776000000.0,194000000.0,543000000.0,1242000000.0,-683000000.0,
Net Income Continuous Operations,-776000000.0,194000000.0,543000000.0,1242000000.0,-683000000.0,
Earnings From Equity Interest Net Of Tax,-14000000.0,-26000000.0,-19000000.0,-43000000.0,-37000000.0,
Tax Provision,-249000000.0,-86000000.0,179000000.0,406000000.0,-216000000.0,
Pretax Income,-1011000000.0,134000000.0,741000000.0,1691000000.0,-862000000.0,
Special Income Charges,-4000000.0,-63000000.0,,,,
Other Special Charges,4000000.0,63000000.0,,,,
Net Non Operating Interest Income Expense,-146000000.0,-168000000.0,-157000000.0,-160000000.0,-164000000.0,
Interest Expense Non Operating,146000000.0,168000000.0,157000000.0,160000000.0,164000000.0,
Other Operating Expenses,4491000000.0,4120000000.0,3747000000.0,3543000000.0,4322000000.0,
Depreciation And Amortization In Income Statement,164000000.0,173000000.0,178000000.0,183000000.0,208000000.0,
Total Revenue,32515000000.0,32649000000.0,32388000000.0,32112000000.0,29213000000.0,
Operating Revenue,32515000000.0,32649000000.0,32388000000.0,32112000000.0,29213000000.0,
Loss Adjustment Expense,28721000000.0,27991000000.0,27565000000.0,26535000000.0,25381000000.0,
Net Policyholder Benefits And Claims,28721000000.0,27991000000.0,27565000000.0,26535000000.0,25381000000.0,
