,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,3487000000.0,2665000000.0,1328000000.0,3975000000.0,3886000000.0,
Repurchase Of Capital Stock,-167000000.0,-414000000.0,-153000000.0,-284000000.0,-112000000.0,
Repayment Of Debt,-1810000000.0,-1114000000.0,-1308000000.0,-1257000000.0,-124000000.0,
Issuance Of Debt,0.0,6000000.0,7000000.0,8378000000.0,0.0,
Issuance Of Capital Stock,175000000.0,134000000.0,185000000.0,216000000.0,,
Capital Expenditure,-553000000.0,-417000000.0,-373000000.0,-395000000.0,-444000000.0,
End Cash Position,13640000000.0,11600000000.0,12026000000.0,11161000000.0,14160000000.0,
Beginning Cash Position,11600000000.0,12026000000.0,11161000000.0,14160000000.0,13214000000.0,
Effect Of Exchange Rate Changes,-11000000.0,-58000000.0,320000000.0,167000000.0,-330000000.0,
Changes In Cash,2051000000.0,-368000000.0,545000000.0,-3166000000.0,1276000000.0,
Financing Cash Flow,-3406000000.0,-3012000000.0,-2854000000.0,5443000000.0,-1676000000.0,
Cash Flow From Continuing Financing Activities,-3406000000.0,-3012000000.0,-2854000000.0,5443000000.0,-1674000000.0,
Net Other Financing Charges,-30000000.0,-55000000.0,-22000000.0,-32000000.0,-660000000.0,
Cash Dividends Paid,-1574000000.0,-1569000000.0,-1563000000.0,-1549000000.0,-1546000000.0,
Common Stock Dividend Paid,-1574000000.0,-1569000000.0,-1563000000.0,-1549000000.0,-1546000000.0,
Net Common Stock Issuance,8000000.0,-280000000.0,32000000.0,-68000000.0,633000000.0,
Common Stock Payments,-167000000.0,-414000000.0,-153000000.0,-284000000.0,-112000000.0,
Common Stock Issuance,175000000.0,134000000.0,185000000.0,216000000.0,,
Net Issuance Payments Of Debt,-1810000000.0,-1108000000.0,-1301000000.0,7092000000.0,-103000000.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,-29000000.0,21000000.0,
Net Long Term Debt Issuance,-1810000000.0,-1108000000.0,-1301000000.0,7121000000.0,-124000000.0,
Long Term Debt Payments,-1810000000.0,-1114000000.0,-1308000000.0,-1257000000.0,-124000000.0,
Long Term Debt Issuance,0.0,6000000.0,7000000.0,8378000000.0,0.0,
Investing Cash Flow,1417000000.0,-438000000.0,1698000000.0,-12979000000.0,-1379000000.0,
Cash Flow From Continuing Investing Activities,1416000000.0,-438000000.0,1698000000.0,-12979000000.0,-1379000000.0,
Net Investment Purchase And Sale,2357000000.0,30000000.0,2781000000.0,-5559000000.0,-408000000.0,
Sale Of Investment,3542000000.0,1200000000.0,4035000000.0,927000000.0,853000000.0,
Purchase Of Investment,-1185000000.0,-1170000000.0,-1254000000.0,-6486000000.0,-1261000000.0,
Net Business Purchase And Sale,-391000000.0,-58000000.0,-747000000.0,-7099000000.0,-548000000.0,
Sale Of Business,,,,,-7000000.0,2000000.0
Purchase Of Business,-391000000.0,-58000000.0,-747000000.0,-7099000000.0,-541000000.0,
Net Intangibles Purchase And Sale,-171000000.0,-162000000.0,-163000000.0,-151000000.0,-141000000.0,
Purchase Of Intangibles,-171000000.0,-162000000.0,-163000000.0,-151000000.0,-141000000.0,
Net PPE Purchase And Sale,-379000000.0,-248000000.0,-173000000.0,-170000000.0,-282000000.0,
Sale Of PPE,3000000.0,7000000.0,37000000.0,74000000.0,21000000.0,
Purchase Of PPE,-382000000.0,-255000000.0,-210000000.0,-244000000.0,-303000000.0,
Operating Cash Flow,4040000000.0,3082000000.0,1701000000.0,4370000000.0,4330000000.0,
Cash Flow From Continuing Operating Activities,4041000000.0,3081000000.0,1702000000.0,4370000000.0,4330000000.0,
Change In Working Capital,-2335000000.0,-383000000.0,-2180000000.0,1759000000.0,1920000000.0,
Stock Based Compensation,430000000.0,443000000.0,441000000.0,401000000.0,345000000.0,
Depreciation Amortization Depletion,1296000000.0,1283000000.0,1265000000.0,1177000000.0,1113000000.0,
Depreciation And Amortization,1296000000.0,1283000000.0,1265000000.0,1177000000.0,1113000000.0,
Amortization Cash Flow,710000000.0,699000000.0,687000000.0,641000000.0,589000000.0,
Amortization Of Intangibles,710000000.0,699000000.0,687000000.0,641000000.0,589000000.0,
Depreciation,586000000.0,584000000.0,578000000.0,536000000.0,524000000.0,
Operating Gains Losses,7000000.0,-6000000.0,-18000000.0,-22000000.0,368000000.0,
Pension And Employee Benefit Expense,0.0,,,,388000000.0,
Gain Loss On Sale Of Business,7000000.0,-6000000.0,-18000000.0,-22000000.0,-20000000.0,
Net Income From Continuing Operations,5600000000.0,1744000000.0,2194000000.0,1055000000.0,2914000000.0,
