,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1009000000.0,746000000.0,1339000000.0,777000000.0,1230000000.0,
Repurchase Of Capital Stock,-400000000.0,-403000000.0,-258000000.0,-336000000.0,-4000000.0,
Repayment Of Debt,-1138000000.0,-112000000.0,-1154000000.0,-96000000.0,-1424000000.0,
Issuance Of Debt,1740000000.0,-72000000.0,,,0.0,-33000000.0
Capital Expenditure,-266000000.0,-169000000.0,-167000000.0,-189000000.0,-276000000.0,
Interest Paid Supplemental Data,181000000.0,190000000.0,199000000.0,194000000.0,211000000.0,
Income Tax Paid Supplemental Data,199000000.0,179000000.0,524000000.0,166000000.0,181000000.0,
End Cash Position,78614000000.0,85821000000.0,88780000000.0,85609000000.0,84503000000.0,
Beginning Cash Position,85821000000.0,88780000000.0,85609000000.0,84503000000.0,81142000000.0,
Effect Of Exchange Rate Changes,2000000.0,-5000000.0,25000000.0,10000000.0,-21000000.0,
Changes In Cash,-7209000000.0,-2954000000.0,3146000000.0,1096000000.0,3382000000.0,
Financing Cash Flow,-5402000000.0,-3787000000.0,572000000.0,2283000000.0,2796000000.0,
Cash Flow From Continuing Financing Activities,-5402000000.0,-3787000000.0,572000000.0,2283000000.0,2796000000.0,
Net Other Financing Charges,-5330000000.0,-2924000000.0,2189000000.0,2993000000.0,3900000000.0,
Cash Dividends Paid,-274000000.0,-276000000.0,-277000000.0,-278000000.0,-259000000.0,
Common Stock Dividend Paid,-274000000.0,-276000000.0,-277000000.0,-278000000.0,-259000000.0,
Net Common Stock Issuance,-400000000.0,-403000000.0,-258000000.0,-336000000.0,-4000000.0,
Common Stock Payments,-400000000.0,-403000000.0,-258000000.0,-336000000.0,-4000000.0,
Net Issuance Payments Of Debt,602000000.0,-184000000.0,-1082000000.0,-96000000.0,-841000000.0,
Net Short Term Debt Issuance,618000000.0,-184000000.0,168000000.0,-96000000.0,-841000000.0,
Short Term Debt Payments,,,,-96000000.0,,
Net Long Term Debt Issuance,-16000000.0,0.0,-1250000000.0,0.0,-1424000000.0,
Long Term Debt Payments,-1250000000.0,0.0,-1250000000.0,0.0,-1424000000.0,
Long Term Debt Issuance,1234000000.0,0.0,,,0.0,0.0
Investing Cash Flow,-3082000000.0,-82000000.0,1068000000.0,-2153000000.0,-920000000.0,
Cash Flow From Continuing Investing Activities,-3082000000.0,-82000000.0,1068000000.0,-2153000000.0,-920000000.0,
Net Other Investing Changes,-1802000000.0,94000000.0,1251000000.0,-1953000000.0,-609000000.0,
Net Investment Purchase And Sale,-1014000000.0,-15000000.0,0.0,0.0,-29000000.0,
Sale Of Investment,0.0,0.0,0.0,0.0,0.0,
Purchase Of Investment,-1014000000.0,,,,,
Net Business Purchase And Sale,0.0,8000000.0,-16000000.0,-11000000.0,-6000000.0,
Purchase Of Business,0.0,8000000.0,-16000000.0,-11000000.0,-30000000.0,
Capital Expenditure Reported,-266000000.0,-169000000.0,-167000000.0,-189000000.0,-276000000.0,
Operating Cash Flow,1275000000.0,915000000.0,1506000000.0,966000000.0,1506000000.0,
Cash Flow From Continuing Operating Activities,1275000000.0,915000000.0,1506000000.0,966000000.0,1506000000.0,
Change In Working Capital,-24000000.0,-495000000.0,232000000.0,-217000000.0,285000000.0,
Change In Other Working Capital,-156000000.0,-152000000.0,-106000000.0,370000000.0,-140000000.0,
Change In Other Current Liabilities,116000000.0,-34000000.0,-104000000.0,-106000000.0,145000000.0,
Change In Other Current Assets,26000000.0,-4000000.0,62000000.0,-38000000.0,-22000000.0,
Change In Payables And Accrued Expense,0.0,-409000000.0,149000000.0,-56000000.0,241000000.0,
Change In Payable,0.0,-409000000.0,149000000.0,-56000000.0,241000000.0,
Change In Receivables,-10000000.0,104000000.0,231000000.0,-387000000.0,61000000.0,
Changes In Account Receivables,-10000000.0,104000000.0,231000000.0,-387000000.0,61000000.0,
Other Non Cash Items,9000000.0,14000000.0,13000000.0,14000000.0,7000000.0,
Stock Based Compensation,69000000.0,54000000.0,58000000.0,57000000.0,60000000.0,
Deferred Tax,-6000000.0,197000000.0,-49000000.0,-60000000.0,57000000.0,
Deferred Income Tax,-6000000.0,197000000.0,-49000000.0,-60000000.0,57000000.0,
Depreciation Amortization Depletion,389000000.0,387000000.0,395000000.0,389000000.0,389000000.0,
Depreciation And Amortization,389000000.0,387000000.0,395000000.0,389000000.0,389000000.0,
Amortization Cash Flow,,,253000000.0,253000000.0,,
Amortization Of Intangibles,,,253000000.0,253000000.0,,
Depreciation,,,142000000.0,136000000.0,,
Operating Gains Losses,-24000000.0,-73000000.0,-8000000.0,-29000000.0,-1000000.0,
Earnings Losses From Equity Investments,-4000000.0,-40000000.0,-6000000.0,-29000000.0,-1000000.0,
Gain Loss On Investment Securities,-20000000.0,-33000000.0,,,0.0,-2000000.0
Net Income From Continuing Operations,862000000.0,831000000.0,865000000.0,812000000.0,709000000.0,
