,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-3636022.514071,-2081406.105458,-2400000.0,-7680000.0,-3465193.370166,
Tax Rate For Calcs,0.19137,0.231267,0.235866,0.24,0.216575,
Normalized EBITDA,1678000000.0,1669000000.0,1738000000.0,1694000000.0,1523000000.0,
Total Unusual Items,-19000000.0,-9000000.0,-10000000.0,-32000000.0,-16000000.0,
Total Unusual Items Excluding Goodwill,-19000000.0,-9000000.0,-10000000.0,-32000000.0,-16000000.0,
Net Income From Continuing Operation Net Minority Interest,851000000.0,816000000.0,851000000.0,797000000.0,698000000.0,
Reconciled Depreciation,389000000.0,387000000.0,395000000.0,389000000.0,389000000.0,
Reconciled Cost Of Revenue,1361000000.0,1298000000.0,1433000000.0,1450000000.0,1411000000.0,
EBITDA,1659000000.0,1660000000.0,1728000000.0,1662000000.0,1507000000.0,
EBIT,1270000000.0,1273000000.0,1333000000.0,1273000000.0,1118000000.0,
Net Interest Income,-177000000.0,-164000000.0,-170000000.0,-173000000.0,-177000000.0,
Interest Expense,204000000.0,192000000.0,201000000.0,206000000.0,213000000.0,
Interest Income,27000000.0,28000000.0,31000000.0,33000000.0,36000000.0,
Normalized Income,866363977.485929,822918593.894542,858641342.756184,821320000.0,710534806.629834,
Net Income From Continuing And Discontinued Operation,851000000.0,816000000.0,851000000.0,797000000.0,698000000.0,
Total Expenses,1886000000.0,1824000000.0,1955000000.0,1976000000.0,1937000000.0,
Rent Expense Supplemental,24000000.0,23000000.0,20000000.0,21000000.0,22000000.0,
Total Operating Income As Reported,1237000000.0,1174000000.0,1297000000.0,1221000000.0,1077000000.0,
Diluted Average Shares,572000000.0,574000000.0,575000000.0,577000000.0,577000000.0,
Basic Average Shares,570000000.0,572000000.0,573000000.0,574000000.0,574000000.0,
Diluted EPS,1.49,1.42,,1.38,1.21,1.14
Basic EPS,1.5,1.43,,1.39,1.22,1.15
Diluted NI Availto Com Stockholders,851000000.0,816000000.0,851000000.0,797000000.0,698000000.0,
Net Income Common Stockholders,851000000.0,816000000.0,851000000.0,797000000.0,698000000.0,
Net Income,851000000.0,816000000.0,851000000.0,797000000.0,698000000.0,
Minority Interests,-11000000.0,-15000000.0,-14000000.0,-15000000.0,-11000000.0,
Net Income Including Noncontrolling Interests,862000000.0,831000000.0,865000000.0,812000000.0,709000000.0,
Net Income Continuous Operations,862000000.0,831000000.0,865000000.0,812000000.0,709000000.0,
Tax Provision,204000000.0,250000000.0,267000000.0,255000000.0,196000000.0,
Pretax Income,1066000000.0,1081000000.0,1132000000.0,1067000000.0,905000000.0,
Other Income Expense,-13000000.0,62000000.0,-5000000.0,-13000000.0,-11000000.0,
Other Non Operating Income Expenses,6000000.0,71000000.0,5000000.0,19000000.0,5000000.0,
Special Income Charges,-19000000.0,-9000000.0,-10000000.0,-32000000.0,-16000000.0,
Restructuring And Mergern Acquisition,19000000.0,9000000.0,10000000.0,32000000.0,16000000.0,
Net Non Operating Interest Income Expense,-177000000.0,-164000000.0,-170000000.0,-173000000.0,-177000000.0,
Interest Expense Non Operating,204000000.0,192000000.0,201000000.0,206000000.0,213000000.0,
Interest Income Non Operating,27000000.0,28000000.0,31000000.0,33000000.0,36000000.0,
Operating Income,1256000000.0,1183000000.0,1307000000.0,1253000000.0,1093000000.0,
Operating Expense,525000000.0,526000000.0,522000000.0,526000000.0,526000000.0,
Depreciation Amortization Depletion Income Statement,389000000.0,387000000.0,395000000.0,389000000.0,389000000.0,
Depreciation And Amortization In Income Statement,389000000.0,387000000.0,395000000.0,389000000.0,389000000.0,
Selling General And Administration,136000000.0,139000000.0,127000000.0,137000000.0,137000000.0,
General And Administrative Expense,136000000.0,139000000.0,127000000.0,137000000.0,137000000.0,
Other Gand A,112000000.0,116000000.0,107000000.0,116000000.0,115000000.0,
Rent And Landing Fees,24000000.0,23000000.0,20000000.0,21000000.0,22000000.0,
Gross Profit,1781000000.0,1709000000.0,1829000000.0,1779000000.0,1619000000.0,
Cost Of Revenue,1361000000.0,1298000000.0,1433000000.0,1450000000.0,1411000000.0,
Total Revenue,3142000000.0,3007000000.0,3262000000.0,3229000000.0,3030000000.0,
Operating Revenue,3142000000.0,3007000000.0,3262000000.0,3229000000.0,3030000000.0,
