,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,4994000000.0,4766000000.0,4377000000.0,4362000000.0,4330000000.0,
Share Issued,4994000000.0,4766000000.0,4377000000.0,4362000000.0,4330000000.0,
Net Debt,32320000000.0,35412000000.0,41114000000.0,41204000000.0,41762000000.0,
Total Debt,46585000000.0,46553000000.0,50757000000.0,50151000000.0,50011000000.0,
Tangible Book Value,87597000000.0,79587000000.0,70914000000.0,71495000000.0,70886000000.0,
Invested Capital,160866000000.0,152929000000.0,148640000000.0,149907000000.0,149281000000.0,
Working Capital,32113000000.0,19434000000.0,8409000000.0,9960000000.0,11658000000.0,
Net Tangible Assets,87597000000.0,79587000000.0,70914000000.0,71495000000.0,70886000000.0,
Common Stock Equity,114281000000.0,106376000000.0,97883000000.0,99756000000.0,99270000000.0,
Total Capitalization,158367000000.0,150433000000.0,141909000000.0,144667000000.0,145552000000.0,
Total Equity Gross Minority Interest,126360000000.0,116730000000.0,105751000000.0,106413000000.0,105032000000.0,
Minority Interest,12079000000.0,10354000000.0,7868000000.0,6657000000.0,5762000000.0,
Stockholders Equity,114281000000.0,106376000000.0,97883000000.0,99756000000.0,99270000000.0,
Gains Losses Not Affecting Retained Earnings,113000000.0,19000000.0,65000000.0,-486000000.0,-711000000.0,
Other Equity Adjustments,113000000.0,19000000.0,65000000.0,-486000000.0,-711000000.0,
Retained Earnings,48983000000.0,49602000000.0,45484000000.0,48322000000.0,49032000000.0,
Capital Stock,65185000000.0,56755000000.0,52334000000.0,51920000000.0,50949000000.0,
Common Stock,65185000000.0,56755000000.0,52334000000.0,51920000000.0,50949000000.0,
Preferred Stock,0.0,,,,0.0,
Total Liabilities Net Minority Interest,85069000000.0,87784000000.0,86769000000.0,85829000000.0,91453000000.0,
Total Non Current Liabilities Net Minority Interest,53494000000.0,55487000000.0,51803000000.0,53655000000.0,55787000000.0,
Other Non Current Liabilities,9408000000.0,11430000000.0,7777000000.0,8744000000.0,9505000000.0,
Long Term Debt And Capital Lease Obligation,44086000000.0,44057000000.0,44026000000.0,44911000000.0,46282000000.0,
Long Term Debt,44086000000.0,44057000000.0,44026000000.0,44911000000.0,46282000000.0,
Current Liabilities,31575000000.0,32297000000.0,34966000000.0,32174000000.0,35666000000.0,
Current Deferred Liabilities,,3200000000.0,3000000000.0,2700000000.0,,3200000000.0
Current Debt And Capital Lease Obligation,2499000000.0,2496000000.0,6731000000.0,5240000000.0,3729000000.0,
Current Debt,2499000000.0,2496000000.0,6731000000.0,5240000000.0,3729000000.0,
Other Current Borrowings,2499000000.0,,,,3729000000.0,
Pensionand Other Post Retirement Benefit Plans Current,3990000000.0,3756000000.0,4249000000.0,2652000000.0,3343000000.0,
Payables And Accrued Expenses,25086000000.0,22845000000.0,20986000000.0,21582000000.0,28594000000.0,
Current Accrued Expenses,14600000000.0,11752000000.0,9433000000.0,8813000000.0,14282000000.0,
Payables,10486000000.0,11093000000.0,11553000000.0,12769000000.0,14312000000.0,
Total Tax Payable,604000000.0,825000000.0,887000000.0,1873000000.0,1756000000.0,
Income Tax Payable,604000000.0,825000000.0,887000000.0,1873000000.0,1756000000.0,
Accounts Payable,9882000000.0,10268000000.0,10666000000.0,10896000000.0,12556000000.0,
Total Assets,211429000000.0,204514000000.0,192520000000.0,192242000000.0,196485000000.0,
Total Non Current Assets,147741000000.0,152783000000.0,149145000000.0,150108000000.0,149161000000.0,
Other Non Current Assets,7131000000.0,12280000000.0,7283000000.0,7057000000.0,7475000000.0,
Investments And Advances,8512000000.0,8667000000.0,5383000000.0,5027000000.0,5383000000.0,
Investmentin Financial Assets,8512000000.0,572000000.0,5383000000.0,5027000000.0,5383000000.0,
Available For Sale Securities,8512000000.0,572000000.0,5383000000.0,5027000000.0,5383000000.0,
Long Term Equity Investment,,8095000000.0,,,,3000000.0
Goodwill And Other Intangible Assets,26684000000.0,26789000000.0,26969000000.0,28261000000.0,28384000000.0,
Other Intangible Assets,2772000000.0,2877000000.0,3057000000.0,3568000000.0,3691000000.0,
Goodwill,23912000000.0,23912000000.0,23912000000.0,24693000000.0,24693000000.0,
Net PPE,105414000000.0,105047000000.0,109510000000.0,109763000000.0,107919000000.0,
Accumulated Depreciation,-106464000000.0,-105063000000.0,-103572000000.0,-103036000000.0,-102193000000.0,
Gross PPE,211878000000.0,210110000000.0,213082000000.0,212799000000.0,210112000000.0,
Construction In Progress,34543000000.0,,,,50418000000.0,
Machinery Furniture Equipment,111940000000.0,,,,103150000000.0,
Properties,65395000000.0,,,,56544000000.0,
Current Assets,63688000000.0,51731000000.0,43375000000.0,42134000000.0,47324000000.0,
Other Current Assets,10815000000.0,6105000000.0,8432000000.0,5741000000.0,9586000000.0,
Inventory,11618000000.0,11489000000.0,11377000000.0,12281000000.0,12198000000.0,
Finished Goods,2785000000.0,3603000000.0,3699000000.0,3719000000.0,3422000000.0,
Work In Process,7840000000.0,6751000000.0,6484000000.0,7240000000.0,7432000000.0,
Raw Materials,993000000.0,1135000000.0,1194000000.0,1322000000.0,1344000000.0,
Receivables,3839000000.0,3202000000.0,2360000000.0,3064000000.0,3478000000.0,
Accounts Receivable,3839000000.0,3202000000.0,2360000000.0,3064000000.0,3478000000.0,
Cash Cash Equivalents And Short Term Investments,37416000000.0,30935000000.0,21206000000.0,21048000000.0,22062000000.0,
Other Short Term Investments,23151000000.0,19794000000.0,11563000000.0,12101000000.0,13813000000.0,
Cash And Cash Equivalents,14265000000.0,11141000000.0,9643000000.0,8947000000.0,8249000000.0,
