,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.228516,0.218,0.243487,0.217,0.23703
Normalized EBITDA,1202000000.0,1224000000.0,1171000000.0,1058000000.0,1153000000.0
Net Income From Continuing Operation Net Minority Interest,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Reconciled Depreciation,103000000.0,100000000.0,99000000.0,95000000.0,102000000.0
Reconciled Cost Of Revenue,2201000000.0,2171000000.0,2193000000.0,2087000000.0,2144000000.0
EBITDA,1202000000.0,1224000000.0,1171000000.0,1058000000.0,1153000000.0
EBIT,1099000000.0,1124000000.0,1072000000.0,963000000.0,1051000000.0
Net Interest Income,-35000000.0,-75000000.0,-74000000.0,-68000000.0,-24000000.0
Interest Expense,75000000.0,75000000.0,74000000.0,68000000.0,68000000.0
Normalized Income,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Net Income From Continuing And Discontinued Operation,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Total Expenses,3008000000.0,2947000000.0,2985000000.0,2888000000.0,2901000000.0
Total Operating Income As Reported,1085000000.0,1112000000.0,1068000000.0,951000000.0,1031000000.0
Diluted Average Shares,290200000.0,291700000.0,292900000.0,294500000.0,295800000.0
Basic Average Shares,289500000.0,290800000.0,292300000.0,293600000.0,294700000.0
Diluted EPS,2.72,2.81,2.58,2.38,2.54
Basic EPS,2.73,2.82,2.58,2.39,2.55
Diluted NI Availto Com Stockholders,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Net Income Common Stockholders,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Net Income,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Net Income Including Noncontrolling Interests,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Net Income Continuous Operations,790000000.0,821000000.0,755000000.0,700000000.0,750000000.0
Tax Provision,234000000.0,228000000.0,243000000.0,195000000.0,233000000.0
Pretax Income,1024000000.0,1049000000.0,998000000.0,895000000.0,983000000.0
Other Income Expense,-26000000.0,12000000.0,4000000.0,12000000.0,-24000000.0
Other Non Operating Income Expenses,9000000.0,12000000.0,4000000.0,12000000.0,-394000000.0
Net Non Operating Interest Income Expense,-35000000.0,-75000000.0,-74000000.0,-68000000.0,-24000000.0
Interest Expense Non Operating,75000000.0,75000000.0,74000000.0,68000000.0,68000000.0
Operating Income,1085000000.0,1112000000.0,1068000000.0,951000000.0,1031000000.0
Operating Expense,724000000.0,694000000.0,714000000.0,727000000.0,680000000.0
Depreciation Amortization Depletion Income Statement,20000000.0,18000000.0,21000000.0,21000000.0,25000000.0
Depreciation And Amortization In Income Statement,20000000.0,18000000.0,21000000.0,21000000.0,25000000.0
Amortization,20000000.0,18000000.0,21000000.0,21000000.0,25000000.0
Amortization Of Intangibles Income Statement,20000000.0,18000000.0,21000000.0,21000000.0,25000000.0
Selling General And Administration,704000000.0,676000000.0,693000000.0,706000000.0,655000000.0
Gross Profit,1809000000.0,1806000000.0,1782000000.0,1678000000.0,1711000000.0
Cost Of Revenue,2284000000.0,2253000000.0,2271000000.0,2161000000.0,2221000000.0
Total Revenue,4093000000.0,4059000000.0,4053000000.0,3839000000.0,3932000000.0
Operating Revenue,4093000000.0,4059000000.0,4053000000.0,3839000000.0,3932000000.0
