,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,5472000000.0,7996000000.0,2480000000.0,3365000000.0,4838000000.0,
Repurchase Of Capital Stock,-1924000000.0,-1902000000.0,0.0,-2127000000.0,-282000000.0,
Repayment Of Debt,-1808000000.0,-6467000000.0,-2941000000.0,-2871000000.0,-1758000000.0,
Issuance Of Debt,3913000000.0,1324000000.0,565000000.0,17922000000.0,3293000000.0,
Issuance Of Capital Stock,,,,,0.0,0.0
Capital Expenditure,-1837000000.0,-1173000000.0,-1398000000.0,-809000000.0,-2145000000.0,
End Cash Position,19709000000.0,18231000000.0,18577000000.0,38474000000.0,24105000000.0,
Beginning Cash Position,18231000000.0,18577000000.0,38474000000.0,24105000000.0,19980000000.0,
Effect Of Exchange Rate Changes,23000000.0,-46000000.0,154000000.0,70000000.0,-198000000.0,
Changes In Cash,1455000000.0,-300000000.0,-20051000000.0,14299000000.0,4323000000.0,
Financing Cash Flow,-1369000000.0,-8927000000.0,-5665000000.0,10422000000.0,-1340000000.0,
Cash Flow From Continuing Financing Activities,-1369000000.0,-8927000000.0,-5665000000.0,10422000000.0,-1340000000.0,
Net Other Financing Charges,-6000000.0,-24000000.0,-267000000.0,37000000.0,267000000.0,
Proceeds From Stock Option Exercised,1587000000.0,1274000000.0,107000000.0,450000000.0,124000000.0,
Cash Dividends Paid,-3131000000.0,-3132000000.0,-3129000000.0,-2989000000.0,-2984000000.0,
Common Stock Dividend Paid,-3131000000.0,-3132000000.0,-3129000000.0,-2989000000.0,-2984000000.0,
Net Common Stock Issuance,-1924000000.0,-1902000000.0,0.0,-2127000000.0,-282000000.0,
Common Stock Payments,-1924000000.0,-1902000000.0,0.0,-2127000000.0,-282000000.0,
Common Stock Issuance,,,,,0.0,0.0
Net Issuance Payments Of Debt,2105000000.0,-5143000000.0,-2376000000.0,15051000000.0,1535000000.0,
Net Short Term Debt Issuance,2107000000.0,-4142000000.0,-2373000000.0,6664000000.0,2184000000.0,
Short Term Debt Payments,-1806000000.0,-5466000000.0,-2938000000.0,-2120000000.0,-1109000000.0,
Short Term Debt Issuance,3913000000.0,1324000000.0,565000000.0,8784000000.0,3293000000.0,
Net Long Term Debt Issuance,-2000000.0,-1001000000.0,-3000000.0,8387000000.0,-649000000.0,
Long Term Debt Payments,-2000000.0,-1001000000.0,-3000000.0,-751000000.0,-649000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,9138000000.0,0.0,
Investing Cash Flow,-4485000000.0,-542000000.0,-18264000000.0,-297000000.0,-1320000000.0,
Cash Flow From Continuing Investing Activities,-4485000000.0,-542000000.0,-18264000000.0,-297000000.0,-1320000000.0,
Net Other Investing Changes,-1880000000.0,43000000.0,-279000000.0,545000000.0,798000000.0,
Net Investment Purchase And Sale,2314000000.0,589000000.0,-2129000000.0,-33000000.0,28000000.0,
Sale Of Investment,219000000.0,489000000.0,735000000.0,218000000.0,290000000.0,
Purchase Of Investment,2095000000.0,100000000.0,-2864000000.0,-251000000.0,-262000000.0,
Net Business Purchase And Sale,-3082000000.0,-1000000.0,-14458000000.0,0.0,-1000000.0,
Purchase Of Business,-3082000000.0,-1000000.0,-14458000000.0,0.0,-1000000.0,
Net Intangibles Purchase And Sale,0.0,-16000000.0,-355000000.0,-14000000.0,-533000000.0,
Purchase Of Intangibles,0.0,-16000000.0,-355000000.0,-14000000.0,-533000000.0,
Net PPE Purchase And Sale,-1837000000.0,-1157000000.0,-1043000000.0,-795000000.0,-1612000000.0,
Purchase Of PPE,-1837000000.0,-1157000000.0,-1043000000.0,-795000000.0,-1612000000.0,
Operating Cash Flow,7309000000.0,9169000000.0,3878000000.0,4174000000.0,6983000000.0,
Cash Flow From Continuing Operating Activities,7309000000.0,9169000000.0,3878000000.0,4174000000.0,6983000000.0,
Change In Working Capital,3596000000.0,-369000000.0,-4921000000.0,-11024000000.0,798000000.0,
Change In Other Current Liabilities,499000000.0,-270000000.0,583000000.0,-6509000000.0,359000000.0,
Change In Other Current Assets,1486000000.0,-1459000000.0,-4877000000.0,-1317000000.0,768000000.0,
Change In Payables And Accrued Expense,1266000000.0,1997000000.0,1240000000.0,-2126000000.0,-1092000000.0,
Change In Inventory,-46000000.0,-748000000.0,-510000000.0,-146000000.0,-90000000.0,
Change In Receivables,391000000.0,111000000.0,-1357000000.0,-926000000.0,853000000.0,
Changes In Account Receivables,391000000.0,111000000.0,-1357000000.0,-926000000.0,853000000.0,
Other Non Cash Items,0.0,17000000.0,76000000.0,16000000.0,589000000.0,
Stock Based Compensation,309000000.0,347000000.0,410000000.0,288000000.0,238000000.0,
Provisionand Write Offof Assets,5000000.0,-9000000.0,7000000.0,-4000000.0,22000000.0,
Asset Impairment Charge,81000000.0,93000000.0,0.0,30000000.0,26000000.0,
Deferred Tax,-3677000000.0,2218000000.0,825000000.0,2172000000.0,-16000000.0,
Deferred Income Tax,-3677000000.0,2218000000.0,825000000.0,2172000000.0,-16000000.0,
Depreciation Amortization Depletion,2011000000.0,1777000000.0,1943000000.0,1772000000.0,1896000000.0,
Depreciation And Amortization,2011000000.0,1777000000.0,1943000000.0,1772000000.0,1896000000.0,
Operating Gains Losses,-132000000.0,-57000000.0,1000000.0,-75000000.0,-1000000.0,
Gain Loss On Sale Of Business,,,,,-226000000.0,
Net Income From Continuing Operations,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
