,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-160650000.0,74044708.394502,-68195347.404098,1328419000.0,-6921533.316182,
Tax Rate For Calcs,0.21,0.312425,0.146973,0.193,0.117314,
Normalized EBITDA,7956000000.0,9278000000.0,9206000000.0,8724000000.0,5979000000.0,
Total Unusual Items,-765000000.0,237000000.0,-464000000.0,6883000000.0,-59000000.0,
Total Unusual Items Excluding Goodwill,-765000000.0,237000000.0,-464000000.0,6883000000.0,-59000000.0,
Net Income From Continuing Operation Net Minority Interest,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Reconciled Depreciation,2011000000.0,1777000000.0,1943000000.0,1772000000.0,1896000000.0,
Reconciled Cost Of Revenue,7968000000.0,7303000000.0,7628000000.0,7357000000.0,7128000000.0,
EBITDA,7191000000.0,9515000000.0,8742000000.0,15607000000.0,5920000000.0,
EBIT,5180000000.0,7738000000.0,6799000000.0,13835000000.0,4024000000.0,
Net Interest Income,23000000.0,-18000000.0,-48000000.0,128000000.0,144000000.0,
Interest Expense,214000000.0,245000000.0,308000000.0,204000000.0,137000000.0,
Interest Income,237000000.0,227000000.0,260000000.0,332000000.0,281000000.0,
Normalized Income,5720350000.0,4989044708.394502,5932804652.595902,5444419000.0,3483078466.683818,
Net Income From Continuing And Discontinued Operation,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Total Expenses,18973000000.0,16897000000.0,17033000000.0,15694000000.0,18879000000.0,
Diluted Average Shares,2439000000.0,2428600000.0,2419100000.0,2423800000.0,2427100000.0,
Basic Average Shares,2407939000.0,2406195000.0,2406779000.0,2405625000.0,2406922000.0,
Diluted EPS,2.1,2.12,2.29,4.54,1.41,
Basic EPS,2.124639,2.14114,2.300585,4.572201,1.425472,
Diluted NI Availto Com Stockholders,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Net Income Common Stockholders,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Net Income,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Net Income Including Noncontrolling Interests,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Net Income Discontinuous Operations,,,,,0.0,0.0
Net Income Continuous Operations,5116000000.0,5152000000.0,5537000000.0,10999000000.0,3431000000.0,
Tax Provision,-150000000.0,2341000000.0,954000000.0,2632000000.0,456000000.0,
Pretax Income,4966000000.0,7493000000.0,6491000000.0,13631000000.0,3887000000.0,
Other Income Expense,-665000000.0,437000000.0,-164000000.0,7304000000.0,141000000.0,
Other Non Operating Income Expenses,100000000.0,200000000.0,300000000.0,421000000.0,200000000.0,
Special Income Charges,-865000000.0,-163000000.0,-464000000.0,6883000000.0,-159000000.0,
Other Special Charges,900000000.0,,300000000.0,-7000000000.0,0.0,2400000000.0
Write Off,,,0.0,,,0.0
Restructuring And Mergern Acquisition,-116000000.0,163000000.0,164000000.0,117000000.0,142000000.0,
Gain On Sale Of Security,100000000.0,400000000.0,,,100000000.0,
Net Non Operating Interest Income Expense,23000000.0,-18000000.0,-48000000.0,128000000.0,144000000.0,
Interest Expense Non Operating,214000000.0,245000000.0,308000000.0,204000000.0,137000000.0,
Interest Income Non Operating,237000000.0,227000000.0,260000000.0,332000000.0,281000000.0,
Operating Income,5591000000.0,7096000000.0,6710000000.0,6199000000.0,3641000000.0,
Operating Expense,11005000000.0,9594000000.0,9405000000.0,8337000000.0,11751000000.0,
Research And Development,4252000000.0,3672000000.0,3516000000.0,3225000000.0,5298000000.0,
Selling General And Administration,6753000000.0,5922000000.0,5889000000.0,5112000000.0,6453000000.0,
General And Administrative Expense,,5922000000.0,5889000000.0,5112000000.0,6453000000.0,5478000000.0
Other Gand A,,5922000000.0,5889000000.0,5112000000.0,6453000000.0,5478000000.0
Salaries And Wages,,-100000000.0,-100000000.0,-100000000.0,-200000000.0,-200000000.0
Gross Profit,16596000000.0,16690000000.0,16115000000.0,14536000000.0,15392000000.0,
Cost Of Revenue,7968000000.0,7303000000.0,7628000000.0,7357000000.0,7128000000.0,
Total Revenue,24564000000.0,23993000000.0,23743000000.0,21893000000.0,22520000000.0,
Operating Revenue,24564000000.0,23993000000.0,23743000000.0,21893000000.0,22520000000.0,
