,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,119724000000.0,-45214000000.0,29547000000.0,-251839000000.0,147758000000.0,
Repurchase Of Capital Stock,-8264000000.0,-8293000000.0,-7506000000.0,-10528000000.0,-5901000000.0,
Repayment Of Debt,-29488000000.0,-27791000000.0,-22364000000.0,-28457000000.0,-29225000000.0,
Issuance Of Debt,35747000000.0,31130000000.0,23957000000.0,29927000000.0,30966000000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,3000000000.0,0.0,
Interest Paid Supplemental Data,23657000000.0,24842000000.0,24350000000.0,23587000000.0,24848000000.0,
Income Tax Paid Supplemental Data,2136000000.0,-1512000000.0,3034000000.0,1651000000.0,2845000000.0,
End Cash Position,343338000000.0,303436000000.0,420327000000.0,425903000000.0,469317000000.0,
Beginning Cash Position,303436000000.0,420327000000.0,425903000000.0,469317000000.0,434260000000.0,
Effect Of Exchange Rate Changes,-3147000000.0,-2593000000.0,15133000000.0,8442000000.0,-14616000000.0,
Changes In Cash,43049000000.0,-114298000000.0,-20709000000.0,-51856000000.0,49673000000.0,
Financing Cash Flow,-123557000000.0,-47773000000.0,122804000000.0,318059000000.0,-115705000000.0,
Cash Flow From Continuing Financing Activities,-123557000000.0,-47773000000.0,122804000000.0,318059000000.0,-115705000000.0,
Net Other Financing Charges,-827000000.0,-345000000.0,2245000000.0,-4110000000.0,1663000000.0,
Cash Dividends Paid,-4417000000.0,-4180000000.0,-4205000000.0,-3823000000.0,-3858000000.0,
Net Preferred Stock Issuance,0.0,0.0,0.0,0.0,-1600000000.0,
Preferred Stock Payments,0.0,0.0,0.0,-3000000000.0,-1600000000.0,
Preferred Stock Issuance,0.0,0.0,0.0,3000000000.0,0.0,
Net Common Stock Issuance,-8264000000.0,-8293000000.0,-7506000000.0,-7528000000.0,-4301000000.0,
Common Stock Payments,-8264000000.0,-8293000000.0,-7506000000.0,-7528000000.0,-4301000000.0,
Net Issuance Payments Of Debt,1516000000.0,6732000000.0,1548000000.0,12287000000.0,3825000000.0,
Net Short Term Debt Issuance,-4743000000.0,3393000000.0,-45000000.0,10817000000.0,2084000000.0,
Net Long Term Debt Issuance,6259000000.0,3339000000.0,1593000000.0,1470000000.0,1741000000.0,
Long Term Debt Payments,-29488000000.0,-27791000000.0,-22364000000.0,-28457000000.0,-29225000000.0,
Long Term Debt Issuance,35747000000.0,31130000000.0,23957000000.0,29927000000.0,30966000000.0,
Investing Cash Flow,46882000000.0,-21311000000.0,-173060000000.0,-118076000000.0,17620000000.0,
Cash Flow From Continuing Investing Activities,46882000000.0,-21311000000.0,-173060000000.0,-118076000000.0,17620000000.0,
Net Other Investing Changes,-3272000000.0,-4693000000.0,-2729000000.0,-1971000000.0,-3355000000.0,
Net Investment Purchase And Sale,8246000000.0,-35256000000.0,-76242000000.0,22548000000.0,-58670000000.0,
Sale Of Investment,60483000000.0,51418000000.0,43702000000.0,77897000000.0,63330000000.0,
Purchase Of Investment,-52237000000.0,-86674000000.0,-119944000000.0,-55349000000.0,-122000000000.0,
Net Business Purchase And Sale,0.0,0.0,,,0.0,0.0
Operating Cash Flow,119724000000.0,-45214000000.0,29547000000.0,-251839000000.0,147758000000.0,
Cash Flow From Continuing Operating Activities,119724000000.0,-45214000000.0,29547000000.0,-251839000000.0,147758000000.0,
Change In Working Capital,109820000000.0,-71671000000.0,12573000000.0,-269523000000.0,121291000000.0,
Change In Other Working Capital,85688000000.0,-65374000000.0,41018000000.0,-261307000000.0,123734000000.0,
Change In Other Current Assets,-5023000000.0,-2511000000.0,-12626000000.0,7578000000.0,-6180000000.0,
Change In Payables And Accrued Expense,-714000000.0,13744000000.0,-9036000000.0,1276000000.0,-17489000000.0,
Change In Payable,-714000000.0,13744000000.0,-9036000000.0,1276000000.0,-17489000000.0,
Change In Account Payable,-714000000.0,13744000000.0,-9036000000.0,1276000000.0,-17489000000.0,
Change In Receivables,29869000000.0,-17530000000.0,-6783000000.0,-17070000000.0,21226000000.0,
Changes In Account Receivables,29869000000.0,-17530000000.0,-6783000000.0,-17070000000.0,21226000000.0,
Other Non Cash Items,-11548000000.0,1823000000.0,-2130000000.0,-2818000000.0,5619000000.0,
Deferred Tax,1460000000.0,4569000000.0,-942000000.0,524000000.0,2247000000.0,
Deferred Income Tax,1460000000.0,4569000000.0,-942000000.0,524000000.0,2247000000.0,
Depreciation Amortization Depletion,2312000000.0,2269000000.0,2210000000.0,2030000000.0,1965000000.0,
Depreciation And Amortization,2312000000.0,2269000000.0,2210000000.0,2030000000.0,1965000000.0,
Operating Gains Losses,,,,,0.0,0.0
Gain Loss On Investment Securities,0.0,0.0,,,0.0,0.0
Net Income From Continuing Operations,13025000000.0,14393000000.0,14987000000.0,14643000000.0,14005000000.0,
