,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,575000000.0,368000000.0,573000000.0,123000000.0,608000000.0,
Repurchase Of Capital Stock,-1000000.0,-20000000.0,-59000000.0,-61000000.0,-248000000.0,
Repayment Of Debt,0.0,-300000000.0,0.0,-250000000.0,0.0,
Issuance Of Debt,,,,,0.0,0.0
Capital Expenditure,-397000000.0,-340000000.0,-197000000.0,-204000000.0,-209000000.0,
End Cash Position,701000000.0,634000000.0,657000000.0,563000000.0,1021000000.0,
Beginning Cash Position,634000000.0,657000000.0,563000000.0,1021000000.0,1111000000.0,
Effect Of Exchange Rate Changes,4000000.0,-5000000.0,17000000.0,17000000.0,-27000000.0,
Changes In Cash,63000000.0,-18000000.0,77000000.0,-475000000.0,-63000000.0,
Financing Cash Flow,-608000000.0,-388000000.0,-500000000.0,-683000000.0,-686000000.0,
Cash Flow From Continuing Financing Activities,-608000000.0,-388000000.0,-500000000.0,-683000000.0,-686000000.0,
Net Other Financing Charges,-50000000.0,-17000000.0,-34000000.0,-42000000.0,-37000000.0,
Proceeds From Stock Option Exercised,0.0,4000000.0,6000000.0,30000000.0,8000000.0,
Cash Dividends Paid,-418000000.0,-418000000.0,-419000000.0,-405000000.0,-408000000.0,
Common Stock Dividend Paid,-418000000.0,-418000000.0,-419000000.0,-405000000.0,-408000000.0,
Net Common Stock Issuance,-1000000.0,-20000000.0,-59000000.0,-61000000.0,-248000000.0,
Common Stock Payments,-1000000.0,-20000000.0,-59000000.0,-61000000.0,-248000000.0,
Net Issuance Payments Of Debt,-139000000.0,63000000.0,6000000.0,-205000000.0,-1000000.0,
Net Short Term Debt Issuance,-139000000.0,363000000.0,6000000.0,45000000.0,-1000000.0,
Net Long Term Debt Issuance,0.0,-300000000.0,0.0,-250000000.0,0.0,
Long Term Debt Payments,0.0,-300000000.0,0.0,-250000000.0,0.0,
Long Term Debt Issuance,,,,,0.0,0.0
Investing Cash Flow,-301000000.0,-338000000.0,-193000000.0,-119000000.0,-194000000.0,
Cash Flow From Continuing Investing Activities,-301000000.0,-338000000.0,-193000000.0,-119000000.0,-194000000.0,
Net Other Investing Changes,32000000.0,16000000.0,36000000.0,-2000000.0,30000000.0,
Net Investment Purchase And Sale,64000000.0,-14000000.0,-32000000.0,87000000.0,-15000000.0,
Sale Of Investment,136000000.0,134000000.0,96000000.0,186000000.0,134000000.0,
Purchase Of Investment,-72000000.0,-148000000.0,-128000000.0,-99000000.0,-149000000.0,
Capital Expenditure Reported,-397000000.0,-340000000.0,-197000000.0,-204000000.0,-209000000.0,
Operating Cash Flow,972000000.0,708000000.0,770000000.0,327000000.0,817000000.0,
Cash Flow From Continuing Operating Activities,972000000.0,708000000.0,770000000.0,327000000.0,817000000.0,
Change In Working Capital,176000000.0,-208000000.0,5000000.0,-476000000.0,24000000.0,
Other Non Cash Items,1000000.0,2000000.0,6000000.0,-1000000.0,5000000.0,
Stock Based Compensation,25000000.0,42000000.0,41000000.0,32000000.0,21000000.0,
Asset Impairment Charge,18000000.0,0.0,,,0.0,109000000.0
Deferred Tax,37000000.0,234000000.0,-37000000.0,7000000.0,48000000.0,
Deferred Income Tax,37000000.0,234000000.0,-37000000.0,7000000.0,48000000.0,
Depreciation Amortization Depletion,189000000.0,176000000.0,222000000.0,218000000.0,217000000.0,
Depreciation And Amortization,189000000.0,176000000.0,222000000.0,218000000.0,217000000.0,
Operating Gains Losses,16000000.0,8000000.0,21000000.0,-26000000.0,50000000.0,
Pension And Employee Benefit Expense,-2000000.0,8000000.0,6000000.0,3000000.0,-7000000.0,
Earnings Losses From Equity Investments,21000000.0,-6000000.0,-11000000.0,-39000000.0,31000000.0,
Net Income From Continuing Operations,510000000.0,454000000.0,512000000.0,573000000.0,452000000.0,
