,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-39911546.252532,-30480516.375807,39131984.98749,41118000.0,-42477904.490378,
Tax Rate For Calcs,0.218096,0.119531,0.207048,0.178,0.211333,
Normalized EBITDA,3812000000.0,5097000000.0,5331000000.0,4480000000.0,3714000000.0,
Total Unusual Items,-183000000.0,-255000000.0,189000000.0,231000000.0,-201000000.0,
Total Unusual Items Excluding Goodwill,-183000000.0,-255000000.0,189000000.0,231000000.0,-201000000.0,
Net Income From Continuing Operation Net Minority Interest,2271000000.0,3696000000.0,3810000000.0,3330000000.0,2195000000.0,
Reconciled Depreciation,236000000.0,268000000.0,279000000.0,267000000.0,276000000.0,
Reconciled Cost Of Revenue,4491000000.0,4533000000.0,4439000000.0,3899000000.0,4613000000.0,
EBITDA,3629000000.0,4842000000.0,5520000000.0,4711000000.0,3513000000.0,
EBIT,3393000000.0,4574000000.0,5241000000.0,4444000000.0,3237000000.0,
Net Interest Income,-198000000.0,-206000000.0,-257000000.0,-207000000.0,-227000000.0,
Interest Expense,431000000.0,391000000.0,445000000.0,387000000.0,431000000.0,
Interest Income,233000000.0,185000000.0,188000000.0,180000000.0,204000000.0,
Normalized Income,2414088453.747468,3920519483.624193,3660131984.98749,3140118000.0,2353522095.509622,
Net Income From Continuing And Discontinued Operation,2271000000.0,3696000000.0,3810000000.0,3330000000.0,2195000000.0,
Total Expenses,8960000000.0,8443000000.0,8216000000.0,7411000000.0,8679000000.0,
Total Operating Income As Reported,1841000000.0,3982000000.0,4280000000.0,3659000000.0,2709000000.0,
Diluted Average Shares,4313000000.0,4313000000.0,4315000000.0,4313000000.0,4317000000.0,
Basic Average Shares,4302000000.0,4303000000.0,4304000000.0,4302000000.0,4306000000.0,
Diluted EPS,0.53,0.86,0.88,0.77,0.51,
Basic EPS,0.53,0.86,0.89,0.77,0.51,
Diluted NI Availto Com Stockholders,2271000000.0,3696000000.0,3810000000.0,3330000000.0,2195000000.0,
Net Income Common Stockholders,2271000000.0,3696000000.0,3810000000.0,3330000000.0,2195000000.0,
Net Income,2271000000.0,3696000000.0,3810000000.0,3330000000.0,2195000000.0,
Minority Interests,-45000000.0,13000000.0,7000000.0,-5000000.0,-18000000.0,
Net Income Including Noncontrolling Interests,2316000000.0,3683000000.0,3803000000.0,3335000000.0,2213000000.0,
Net Income Continuous Operations,2316000000.0,3683000000.0,3803000000.0,3335000000.0,2213000000.0,
Tax Provision,646000000.0,500000000.0,993000000.0,722000000.0,593000000.0,
Pretax Income,2962000000.0,4183000000.0,4796000000.0,4057000000.0,2806000000.0,
Other Income Expense,298000000.0,377000000.0,741000000.0,546000000.0,168000000.0,
Other Non Operating Income Expenses,6000000.0,-12000000.0,-9000000.0,-36000000.0,31000000.0,
Special Income Charges,-312000000.0,-431000000.0,-6000000.0,211000000.0,-177000000.0,
Gain On Sale Of Ppe,,,-28000000.0,,,
Gain On Sale Of Business,697000000.0,-393000000.0,,331000000.0,-871000000.0,322000000.0
Other Special Charges,2000000.0,3000000.0,2000000.0,3000000.0,42000000.0,
Write Off,0.0,,40000000.0,25000000.0,0.0,
Impairment Of Capital Assets,1014000000.0,,31000000.0,,39000000.0,87000000.0
Restructuring And Mergern Acquisition,-7000000.0,35000000.0,-95000000.0,92000000.0,-775000000.0,
Earnings From Equity Interest,475000000.0,644000000.0,561000000.0,351000000.0,338000000.0,
Gain On Sale Of Security,129000000.0,176000000.0,195000000.0,20000000.0,-24000000.0,
Net Non Operating Interest Income Expense,-198000000.0,-206000000.0,-257000000.0,-207000000.0,-227000000.0,
Interest Expense Non Operating,431000000.0,391000000.0,445000000.0,387000000.0,431000000.0,
Interest Income Non Operating,233000000.0,185000000.0,188000000.0,180000000.0,204000000.0,
Operating Income,2862000000.0,4012000000.0,4319000000.0,3718000000.0,2865000000.0,
Operating Expense,4237000000.0,3646000000.0,3502000000.0,3248000000.0,4066000000.0,
Other Operating Expenses,34000000.0,24000000.0,28000000.0,11000000.0,2097000000.0,
Depreciation Amortization Depletion Income Statement,4000000.0,4000000.0,4000000.0,3000000.0,,4000000.0
Depreciation And Amortization In Income Statement,4000000.0,4000000.0,4000000.0,3000000.0,,4000000.0
Amortization,4000000.0,4000000.0,4000000.0,3000000.0,,4000000.0
Amortization Of Intangibles Income Statement,4000000.0,4000000.0,4000000.0,3000000.0,,4000000.0
Selling General And Administration,4199000000.0,3618000000.0,3470000000.0,3234000000.0,1980000000.0,
Selling And Marketing Expense,1460000000.0,1523000000.0,1328000000.0,1089000000.0,1901000000.0,
General And Administrative Expense,2739000000.0,2095000000.0,2142000000.0,2145000000.0,79000000.0,
Other Gand A,2460000000.0,2095000000.0,2142000000.0,2145000000.0,,
Salaries And Wages,,,,,79000000.0,67000000.0
Gross Profit,7099000000.0,7658000000.0,7821000000.0,6966000000.0,6931000000.0,
Cost Of Revenue,4723000000.0,4797000000.0,4714000000.0,4163000000.0,4613000000.0,
Total Revenue,11822000000.0,12455000000.0,12535000000.0,11129000000.0,11544000000.0,
Operating Revenue,11822000000.0,12455000000.0,12535000000.0,11129000000.0,11544000000.0,
