,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,254200000.0,6027700000.0,1283000000.0,-1600900000.0,726600000.0,
Repurchase Of Capital Stock,-1507700000.0,-708100000.0,-692200000.0,-1200000000.0,-2053900000.0,
Repayment Of Debt,100000.0,0.0,,,0.0,0.0
Issuance Of Debt,-200000.0,6706200000.0,0.0,6461000000.0,0.0,
Capital Expenditure,-2970400000.0,-2808200000.0,-1803900000.0,-3266500000.0,-1747200000.0,
End Cash Position,7268000000.0,9791900000.0,3375900000.0,3093300000.0,3268400000.0,
Beginning Cash Position,9791900000.0,3375900000.0,3093300000.0,3268400000.0,3369000000.0,
Effect Of Exchange Rate Changes,-67100000.0,31700000.0,275500000.0,131900000.0,-428500000.0,
Changes In Cash,-2456400000.0,6384300000.0,7100000.0,-307000000.0,327900000.0,
Financing Cash Flow,-2878800000.0,531000000.0,-1244900000.0,1379700000.0,-225400000.0,
Cash Flow From Continuing Financing Activities,-2878800000.0,531000000.0,-1244900000.0,1379700000.0,-225400000.0,
Net Other Financing Charges,-25100000.0,-30200000.0,-30400000.0,-686300000.0,-45500000.0,
Cash Dividends Paid,-1345500000.0,-1345200000.0,-1347000000.0,-1346300000.0,-1168300000.0,
Common Stock Dividend Paid,-1345500000.0,-1345200000.0,-1347000000.0,-1346300000.0,-1168300000.0,
Net Common Stock Issuance,-1507700000.0,-708100000.0,-692200000.0,-1200000000.0,-2053900000.0,
Common Stock Payments,-1507700000.0,-708100000.0,-692200000.0,-1200000000.0,-2053900000.0,
Net Issuance Payments Of Debt,-500000.0,2614500000.0,824700000.0,4612300000.0,3042300000.0,
Net Short Term Debt Issuance,-400000.0,-4091700000.0,1602800000.0,-1848700000.0,3042300000.0,
Net Long Term Debt Issuance,-100000.0,6706200000.0,-778100000.0,6461000000.0,0.0,
Long Term Debt Payments,100000.0,0.0,,,0.0,0.0
Long Term Debt Issuance,-200000.0,6706200000.0,0.0,6461000000.0,0.0,
Investing Cash Flow,-2802200000.0,-2982600000.0,-1834900000.0,-3352300000.0,-1920500000.0,
Cash Flow From Continuing Investing Activities,-2802200000.0,-2982600000.0,-1834900000.0,-3352300000.0,-1920500000.0,
Net Other Investing Changes,56800000.0,-31000000.0,-64100000.0,39300000.0,-158800000.0,
Net Investment Purchase And Sale,5000000.0,406000000.0,33100000.0,-125100000.0,-84900000.0,
Sale Of Investment,132000000.0,556100000.0,204300000.0,71600000.0,97200000.0,
Purchase Of Investment,-127000000.0,-150100000.0,-171200000.0,-196700000.0,-182100000.0,
Net Business Purchase And Sale,-111600000.0,-549400000.0,,,0.0,0.0
Purchase Of Business,-111600000.0,-549400000.0,,,0.0,0.0
Net Intangibles Purchase And Sale,-205700000.0,-720500000.0,-106800000.0,-1757000000.0,-180800000.0,
Sale Of Intangibles,,,,,70400000.0,
Purchase Of Intangibles,-423700000.0,-720500000.0,-106800000.0,-1757000000.0,-251200000.0,
Net PPE Purchase And Sale,-2546700000.0,-2087700000.0,-1697100000.0,-1509500000.0,-1496000000.0,
Purchase Of PPE,-2546700000.0,-2087700000.0,-1697100000.0,-1509500000.0,-1496000000.0,
Operating Cash Flow,3224600000.0,8835900000.0,3086900000.0,1665600000.0,2473800000.0,
Cash Flow From Continuing Operating Activities,3224600000.0,8835900000.0,3086900000.0,1665600000.0,2473800000.0,
Change In Working Capital,-3674100000.0,1208200000.0,-2262900000.0,-3364200000.0,-2224900000.0,
Other Non Cash Items,467300000.0,958000000.0,208200000.0,1896500000.0,732000000.0,
Stock Based Compensation,136100000.0,151100000.0,185100000.0,153700000.0,141900000.0,
Deferred Tax,-748100000.0,501400000.0,-1068700000.0,-391600000.0,-966700000.0,
Deferred Income Tax,-748100000.0,501400000.0,-1068700000.0,-391600000.0,-966700000.0,
Depreciation Amortization Depletion,585700000.0,470000000.0,478500000.0,462800000.0,484800000.0,
Depreciation And Amortization,585700000.0,470000000.0,478500000.0,462800000.0,484800000.0,
Operating Gains Losses,,,-113800000.0,149100000.0,-103100000.0,-213100000.0
Gain Loss On Sale Of PPE,,,,,-123100000.0,
Net Income From Continuing Operations,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
