,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-123523444.871888,-222126490.514905,-6554043.444897,-354186800.0,-69047071.66531,
Tax Rate For Calcs,0.197007,0.228126,0.164674,0.202,0.124814,
Normalized EBITDA,12771500000.0,8855700000.0,7543700000.0,5916000000.0,6301400000.0,
Total Unusual Items,-627000000.0,-973700000.0,-39800000.0,-1753400000.0,-553200000.0,
Total Unusual Items Excluding Goodwill,-627000000.0,-973700000.0,-39800000.0,-1753400000.0,-553200000.0,
Net Income From Continuing Operation Net Minority Interest,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Reconciled Depreciation,585700000.0,470000000.0,478500000.0,462800000.0,484800000.0,
Reconciled Cost Of Revenue,3371700000.0,3008300000.0,2447800000.0,2224200000.0,2403800000.0,
EBITDA,12144500000.0,7882000000.0,7503900000.0,4162600000.0,5748200000.0,
EBIT,11558800000.0,7412000000.0,7025400000.0,3699800000.0,5263400000.0,
Net Interest Income,,-114600000.0,-209000000.0,-195400000.0,-180400000.0,-144900000.0
Interest Expense,,179600000.0,249000000.0,243700000.0,224700000.0,192700000.0
Interest Income,,65000000.0,40000000.0,48300000.0,44300000.0,47800000.0
Normalized Income,7141176555.128112,6334073509.485095,5693745956.555103,4158513200.0,4893952928.33469,
Net Income From Continuing And Discontinued Operation,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Total Expenses,10304600000.0,9214700000.0,8536900000.0,7426700000.0,7850800000.0,
Diluted Average Shares,898002000.0,898804000.0,899800000.0,900604000.0,903158000.0,
Basic Average Shares,894800000.0,895841000.0,897900000.0,897730000.0,897538000.0,
Diluted EPS,7.39,6.21,6.29,3.06,4.88,
Basic EPS,7.416182,6.231575,6.3,3.073641,4.913218,
Diluted NI Availto Com Stockholders,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Net Income Common Stockholders,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Net Income,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Net Income Including Noncontrolling Interests,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Net Income Continuous Operations,6637700000.0,5582500000.0,5660500000.0,2759300000.0,4409800000.0,
Tax Provision,1628500000.0,1649900000.0,1115900000.0,696800000.0,628900000.0,
Pretax Income,8266200000.0,7232400000.0,6776400000.0,3456100000.0,5038700000.0,
Other Income Expense,-1240300000.0,-1039100000.0,-35400000.0,-1650300000.0,-462900000.0,
Other Non Operating Income Expenses,-613300000.0,-65400000.0,4400000.0,103100000.0,90300000.0,
Special Income Charges,-612900000.0,-1020600000.0,-153800000.0,-1606700000.0,-533200000.0,
Other Special Charges,,655700000.0,153800000.0,1571700000.0,624200000.0,2826400000.0
Write Off,84100000.0,364900000.0,0.0,35000000.0,-91000000.0,
Impairment Of Capital Assets,,,,,,81600000.0
Restructuring And Mergern Acquisition,528800000.0,655700000.0,153800000.0,1571700000.0,189200000.0,
Gain On Sale Of Security,,46900000.0,114000000.0,-146700000.0,-20000000.0,112400000.0
Net Non Operating Interest Income Expense,,-114600000.0,-209000000.0,-195400000.0,-180400000.0,-144900000.0
Interest Expense Non Operating,,179600000.0,249000000.0,243700000.0,224700000.0,192700000.0
Interest Income Non Operating,,65000000.0,40000000.0,48300000.0,44300000.0,47800000.0
Operating Income,8987400000.0,8386100000.0,7020800000.0,5301800000.0,5682000000.0,
Operating Expense,6932900000.0,6206400000.0,6089100000.0,5202500000.0,5447000000.0,
Research And Development,3801500000.0,3465700000.0,3336100000.0,2733700000.0,3022500000.0,
Selling General And Administration,3131400000.0,2740700000.0,2753000000.0,2468800000.0,2424500000.0,
General And Administrative Expense,,2740700000.0,2753000000.0,2468800000.0,2424500000.0,2099800000.0
Other Gand A,,2740700000.0,2753000000.0,2468800000.0,2424500000.0,2099800000.0
Salaries And Wages,,-114000000.0,-105400000.0,-106600000.0,-115800000.0,-115400000.0
Gross Profit,15920300000.0,14592500000.0,13109900000.0,10504300000.0,11129000000.0,
Cost Of Revenue,3371700000.0,3008300000.0,2447800000.0,2224200000.0,2403800000.0,
Total Revenue,19292000000.0,17600800000.0,15557700000.0,12728500000.0,13532800000.0,
Operating Revenue,19292000000.0,17600800000.0,15557700000.0,12728500000.0,13532800000.0,
