,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2756000000.0,3347000000.0,-150000000.0,955000000.0,441000000.0,
Repurchase Of Capital Stock,-750000000.0,-1000000000.0,-500000000.0,-750000000.0,-1000000000.0,
Repayment Of Debt,-500000000.0,0.0,,,0.0,0.0
Issuance Of Debt,0.0,536000000.0,1449000000.0,0.0,990000000.0,
Capital Expenditure,-463000000.0,-381000000.0,-351000000.0,-454000000.0,-582000000.0,
End Cash Position,4121000000.0,3470000000.0,1293000000.0,1803000000.0,2483000000.0,
Beginning Cash Position,3470000000.0,1293000000.0,1803000000.0,2483000000.0,3151000000.0,
Changes In Cash,651000000.0,2177000000.0,-510000000.0,-680000000.0,-668000000.0,
Financing Cash Flow,-2055000000.0,-1232000000.0,4000000.0,-1659000000.0,-853000000.0,
Cash Flow From Continuing Financing Activities,-2055000000.0,-1232000000.0,4000000.0,-1659000000.0,-853000000.0,
Net Other Financing Charges,-6000000.0,-3000000.0,-32000000.0,-113000000.0,-65000000.0,
Cash Dividends Paid,-799000000.0,-765000000.0,-771000000.0,-796000000.0,-778000000.0,
Common Stock Dividend Paid,,-765000000.0,-771000000.0,-796000000.0,,-749000000.0
Net Common Stock Issuance,-750000000.0,-1000000000.0,-500000000.0,-750000000.0,-1000000000.0,
Common Stock Payments,-750000000.0,-1000000000.0,-500000000.0,-750000000.0,-1000000000.0,
Net Issuance Payments Of Debt,-500000000.0,536000000.0,1307000000.0,0.0,990000000.0,
Net Long Term Debt Issuance,-500000000.0,1985000000.0,-142000000.0,0.0,990000000.0,
Long Term Debt Payments,-500000000.0,0.0,,,0.0,0.0
Long Term Debt Issuance,0.0,1985000000.0,0.0,0.0,990000000.0,
Investing Cash Flow,-513000000.0,-319000000.0,-715000000.0,-430000000.0,-838000000.0,
Cash Flow From Continuing Investing Activities,-513000000.0,-319000000.0,-715000000.0,-430000000.0,-838000000.0,
Net Other Investing Changes,-50000000.0,62000000.0,-364000000.0,24000000.0,-256000000.0,
Capital Expenditure Reported,-463000000.0,-381000000.0,-351000000.0,-454000000.0,-582000000.0,
Operating Cash Flow,3219000000.0,3728000000.0,201000000.0,1409000000.0,1023000000.0,
Cash Flow From Continuing Operating Activities,3219000000.0,3728000000.0,201000000.0,1409000000.0,1023000000.0,
Change In Working Capital,1839000000.0,550000000.0,-2284000000.0,81000000.0,92000000.0,
Change In Other Working Capital,1181000000.0,398000000.0,-279000000.0,-81000000.0,744000000.0,
Change In Payables And Accrued Expense,-458000000.0,-207000000.0,71000000.0,1680000000.0,-998000000.0,
Change In Payable,-458000000.0,-207000000.0,71000000.0,1680000000.0,-998000000.0,
Change In Account Payable,-303000000.0,144000000.0,-180000000.0,1680000000.0,-1063000000.0,
Change In Tax Payable,-155000000.0,-351000000.0,,,65000000.0,45000000.0
Change In Income Tax Payable,-155000000.0,-351000000.0,,,65000000.0,45000000.0
Change In Inventory,225000000.0,-50000000.0,-336000000.0,-125000000.0,-376000000.0,
Change In Receivables,891000000.0,409000000.0,-1740000000.0,-1393000000.0,722000000.0,
Changes In Account Receivables,-57000000.0,-538000000.0,-1282000000.0,327000000.0,-210000000.0,
Other Non Cash Items,-1295000000.0,424000000.0,2124000000.0,-807000000.0,311000000.0,
Stock Based Compensation,89000000.0,74000000.0,81000000.0,60000000.0,48000000.0,
Asset Impairment Charge,0.0,0.0,,,0.0,0.0
Deferred Tax,300000000.0,633000000.0,-527000000.0,-34000000.0,-414000000.0,
Deferred Income Tax,300000000.0,633000000.0,-527000000.0,-34000000.0,-414000000.0,
Depreciation Amortization Depletion,463000000.0,428000000.0,399000000.0,397000000.0,459000000.0,
Depreciation And Amortization,463000000.0,428000000.0,399000000.0,397000000.0,459000000.0,
Net Income From Continuing Operations,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0,
