,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.122142,0.164603,0.179856,0.159,0.21
Normalized EBITDA,2284000000.0,2652000000.0,1090000000.0,2701000000.0,1242000000.0
Net Income From Continuing Operation Net Minority Interest,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Reconciled Depreciation,463000000.0,428000000.0,399000000.0,397000000.0,459000000.0
Reconciled Cost Of Revenue,17999000000.0,16369000000.0,17421000000.0,15640000000.0,17932000000.0
EBITDA,2284000000.0,2652000000.0,1090000000.0,2701000000.0,1242000000.0
EBIT,1821000000.0,2224000000.0,691000000.0,2304000000.0,783000000.0
Net Interest Income,-290000000.0,-286000000.0,-274000000.0,-268000000.0,-264000000.0
Interest Expense,290000000.0,286000000.0,274000000.0,268000000.0,264000000.0
Normalized Income,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Net Income From Continuing And Discontinued Operation,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Total Expenses,17990000000.0,16329000000.0,17407000000.0,15591000000.0,17926000000.0
Total Operating Income As Reported,2331000000.0,2280000000.0,748000000.0,2372000000.0,696000000.0
Diluted Average Shares,231900000.0,232800000.0,234300000.0,235300000.0,237000000.0
Basic Average Shares,230900000.0,231900000.0,233500000.0,234400000.0,236000000.0
Diluted EPS,5.8,6.95,1.46,7.28,2.22
Basic EPS,5.82,6.98,1.46,7.3,2.23
Diluted NI Availto Com Stockholders,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Net Income Common Stockholders,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Net Income,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Net Income Including Noncontrolling Interests,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Net Income Continuous Operations,1344000000.0,1619000000.0,342000000.0,1712000000.0,527000000.0
Tax Provision,187000000.0,319000000.0,75000000.0,324000000.0,-8000000.0
Pretax Income,1531000000.0,1938000000.0,417000000.0,2036000000.0,519000000.0
Other Income Expense,-510000000.0,-56000000.0,-57000000.0,-68000000.0,87000000.0
Other Non Operating Income Expenses,-510000000.0,-56000000.0,-57000000.0,-68000000.0,87000000.0
Net Non Operating Interest Income Expense,-290000000.0,-286000000.0,-274000000.0,-268000000.0,-264000000.0
Interest Expense Non Operating,290000000.0,286000000.0,274000000.0,268000000.0,264000000.0
Operating Income,2331000000.0,2280000000.0,748000000.0,2372000000.0,696000000.0
Operating Expense,-9000000.0,-40000000.0,-14000000.0,-49000000.0,-6000000.0
Other Operating Expenses,-9000000.0,-40000000.0,-14000000.0,-49000000.0,-6000000.0
Selling General And Administration,,,99000000.0,,
General And Administrative Expense,,,99000000.0,,
Salaries And Wages,,,99000000.0,,
Gross Profit,2322000000.0,2240000000.0,734000000.0,2323000000.0,690000000.0
Cost Of Revenue,17999000000.0,16369000000.0,17421000000.0,15640000000.0,17932000000.0
Total Revenue,20321000000.0,18609000000.0,18155000000.0,17963000000.0,18622000000.0
Operating Revenue,20321000000.0,18609000000.0,18155000000.0,17963000000.0,18622000000.0
