,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Ordinary Shares Number,560951457.0,560824905.0,561000000.0,559705809.0,560000000.0
Share Issued,560951457.0,560824905.0,561000000.0,559705809.0,560000000.0
Net Debt,38939000000.0,39314000000.0,29863000000.0,31670000000.0,33726000000.0
Total Debt,44677000000.0,44696000000.0,39060000000.0,38955000000.0,39678000000.0
Tangible Book Value,-19770000000.0,-20358000000.0,-13067000000.0,-13254000000.0,-14819000000.0
Invested Capital,30004000000.0,29553000000.0,23323000000.0,21470000000.0,21256000000.0
Working Capital,1492000000.0,769000000.0,1017000000.0,287000000.0,1601000000.0
Net Tangible Assets,-19770000000.0,-20358000000.0,-13067000000.0,-13254000000.0,-14819000000.0
Capital Lease Obligations,4756000000.0,4761000000.0,4337000000.0,4231000000.0,4191000000.0
Common Stock Equity,-9917000000.0,-10382000000.0,-11400000000.0,-13254000000.0,-14231000000.0
Total Capitalization,27573000000.0,27116000000.0,19148000000.0,17287000000.0,18670000000.0
Total Equity Gross Minority Interest,-9917000000.0,-10382000000.0,-11400000000.0,-13254000000.0,-14231000000.0
Stockholders Equity,-9917000000.0,-10382000000.0,-11400000000.0,-13254000000.0,-14231000000.0
Gains Losses Not Affecting Retained Earnings,271000000.0,275000000.0,281000000.0,286000000.0,288000000.0
Other Equity Adjustments,271000000.0,275000000.0,281000000.0,286000000.0,288000000.0
Retained Earnings,-10839000000.0,-11165000000.0,-12108000000.0,-13833000000.0,-14799000000.0
Additional Paid In Capital,370000000.0,228000000.0,147000000.0,13000000.0,0.0
Capital Stock,281000000.0,280000000.0,280000000.0,280000000.0,280000000.0
Common Stock,281000000.0,280000000.0,280000000.0,280000000.0,280000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,64061000000.0,63835000000.0,58014000000.0,58626000000.0,57333000000.0
Total Non Current Liabilities Net Minority Interest,44598000000.0,44384000000.0,36392000000.0,36238000000.0,38576000000.0
Other Non Current Liabilities,764000000.0,735000000.0,760000000.0,762000000.0,779000000.0
Non Current Deferred Liabilities,2301000000.0,2081000000.0,1283000000.0,1266000000.0,1268000000.0
Non Current Deferred Revenue,1262000000.0,1273000000.0,1283000000.0,1266000000.0,1268000000.0
Non Current Deferred Taxes Liabilities,1039000000.0,808000000.0,,,0.0
Long Term Debt And Capital Lease Obligation,41533000000.0,41568000000.0,34349000000.0,34210000000.0,36529000000.0
Long Term Capital Lease Obligation,4043000000.0,4070000000.0,3801000000.0,3669000000.0,3628000000.0
Long Term Debt,37490000000.0,37498000000.0,30548000000.0,30541000000.0,32901000000.0
Current Liabilities,19463000000.0,19451000000.0,21622000000.0,22388000000.0,18757000000.0
Other Current Liabilities,2038000000.0,3527000000.0,4742000000.0,4055000000.0,1867000000.0
Current Deferred Liabilities,1477000000.0,1537000000.0,1558000000.0,1500000000.0,1358000000.0
Current Deferred Revenue,1477000000.0,1537000000.0,1558000000.0,1500000000.0,1358000000.0
Current Debt And Capital Lease Obligation,3144000000.0,3128000000.0,4711000000.0,4745000000.0,3149000000.0
Current Capital Lease Obligation,713000000.0,691000000.0,536000000.0,562000000.0,563000000.0
Current Debt,2431000000.0,2437000000.0,4175000000.0,4183000000.0,2586000000.0
Other Current Borrowings,2431000000.0,2437000000.0,4175000000.0,4183000000.0,2586000000.0
Pensionand Other Post Retirement Benefit Plans Current,1285000000.0,1023000000.0,1098000000.0,853000000.0,1008000000.0
Current Provisions,178000000.0,,,,167000000.0
Payables And Accrued Expenses,11341000000.0,10236000000.0,9513000000.0,11235000000.0,11208000000.0
Current Accrued Expenses,485000000.0,,,,449000000.0
Interest Payable,485000000.0,,,,449000000.0
Payables,10856000000.0,10236000000.0,9513000000.0,11235000000.0,10759000000.0
Dividends Payable,673000000.0,,,,645000000.0
Total Tax Payable,421000000.0,,,,824000000.0
Income Tax Payable,23000000.0,,,,491000000.0
Accounts Payable,9762000000.0,10236000000.0,9513000000.0,11235000000.0,9290000000.0
Total Assets,54144000000.0,53453000000.0,46614000000.0,45372000000.0,43102000000.0
Total Non Current Assets,33189000000.0,33233000000.0,23975000000.0,22697000000.0,22744000000.0
Other Non Current Assets,671000000.0,603000000.0,573000000.0,1144000000.0,525000000.0
Non Current Deferred Assets,0.0,0.0,140000000.0,118000000.0,244000000.0
Non Current Deferred Taxes Assets,0.0,0.0,140000000.0,118000000.0,244000000.0
Goodwill And Other Intangible Assets,9853000000.0,9976000000.0,1667000000.0,,588000000.0
Other Intangible Assets,5908000000.0,5994000000.0,976000000.0,,277000000.0
Goodwill,3945000000.0,3982000000.0,691000000.0,,311000000.0
Net PPE,22665000000.0,22654000000.0,21595000000.0,21435000000.0,21387000000.0
Accumulated Depreciation,-20019000000.0,,,,-19152000000.0
