,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.233129,0.241,0.24,0.239,0.251664
Normalized EBITDA,2358000000.0,3057000000.0,4026000000.0,3026000000.0,2376000000.0
Net Income From Continuing Operation Net Minority Interest,1000000000.0,1616000000.0,2398000000.0,1641000000.0,1124000000.0
Reconciled Depreciation,637000000.0,535000000.0,515000000.0,507000000.0,511000000.0
Reconciled Cost Of Revenue,13830000000.0,13637000000.0,15800000000.0,13883000000.0,12391000000.0
EBITDA,2358000000.0,3057000000.0,4026000000.0,3026000000.0,2376000000.0
EBIT,1721000000.0,2522000000.0,3511000000.0,2519000000.0,1865000000.0
Net Interest Income,-404000000.0,-352000000.0,-313000000.0,-337000000.0,-328000000.0
Interest Expense,417000000.0,393000000.0,355000000.0,362000000.0,363000000.0
Interest Income,13000000.0,41000000.0,42000000.0,25000000.0,35000000.0
Normalized Income,1000000000.0,1616000000.0,2398000000.0,1641000000.0,1124000000.0
Net Income From Continuing And Discontinued Operation,1000000000.0,1616000000.0,2398000000.0,1641000000.0,1124000000.0
Total Expenses,18877000000.0,18332000000.0,20490000000.0,18436000000.0,16724000000.0
Total Operating Income As Reported,1708000000.0,2481000000.0,3469000000.0,2494000000.0,1830000000.0
Diluted Average Shares,561000000.0,560000000.0,560000000.0,560000000.0,563000000.0
Basic Average Shares,560000000.0,559000000.0,559000000.0,559000000.0,562000000.0
Diluted EPS,1.78,2.88,4.27,2.92,1.99
Basic EPS,1.78,2.88,4.28,2.93,2.0
Diluted NI Availto Com Stockholders,997000000.0,1612000000.0,2391000000.0,1636000000.0,1122000000.0
Net Income Common Stockholders,997000000.0,1612000000.0,2391000000.0,1636000000.0,1122000000.0
Otherunder Preferred Stock Dividend,3000000.0,4000000.0,7000000.0,5000000.0,2000000.0
Net Income,1000000000.0,1616000000.0,2398000000.0,1641000000.0,1124000000.0
Net Income Including Noncontrolling Interests,1000000000.0,1616000000.0,2398000000.0,1641000000.0,1124000000.0
Net Income Continuous Operations,1000000000.0,1616000000.0,2398000000.0,1641000000.0,1124000000.0
Tax Provision,304000000.0,513000000.0,758000000.0,516000000.0,378000000.0
Pretax Income,1304000000.0,2129000000.0,3156000000.0,2157000000.0,1502000000.0
Net Non Operating Interest Income Expense,-404000000.0,-352000000.0,-313000000.0,-337000000.0,-328000000.0
Interest Expense Non Operating,417000000.0,393000000.0,355000000.0,362000000.0,363000000.0
Interest Income Non Operating,13000000.0,41000000.0,42000000.0,25000000.0,35000000.0
Operating Income,1708000000.0,2481000000.0,3469000000.0,2494000000.0,1830000000.0
Operating Expense,4973000000.0,4635000000.0,4632000000.0,4492000000.0,4267000000.0
Depreciation Amortization Depletion Income Statement,563000000.0,475000000.0,457000000.0,446000000.0,445000000.0
Depreciation And Amortization In Income Statement,563000000.0,475000000.0,457000000.0,446000000.0,445000000.0
Selling General And Administration,4410000000.0,4160000000.0,4175000000.0,4046000000.0,3822000000.0
Gross Profit,6681000000.0,7116000000.0,8101000000.0,6986000000.0,6097000000.0
Cost Of Revenue,13904000000.0,13697000000.0,15858000000.0,13944000000.0,12457000000.0
Total Revenue,20585000000.0,20813000000.0,23959000000.0,20930000000.0,18554000000.0
Operating Revenue,20124000000.0,20429000000.0,23628000000.0,20713000000.0,18161000000.0
