,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,,-13197015.937606,-19976232.086683,-10098000.0,-3079196.217494,-20889201.547661
Tax Rate For Calcs,,0.227535,0.212513,0.198,0.20528,0.206824
Normalized EBITDA,,3972000000.0,3889000000.0,3277000000.0,3486000000.0,3857000000.0
Total Unusual Items,,-58000000.0,-94000000.0,-51000000.0,-15000000.0,-101000000.0
Total Unusual Items Excluding Goodwill,,-58000000.0,-94000000.0,-51000000.0,-15000000.0,-101000000.0
Net Income From Continuing Operation Net Minority Interest,,2278000000.0,2253000000.0,1868000000.0,2016000000.0,2255000000.0
Reconciled Depreciation,,559000000.0,544000000.0,520000000.0,553000000.0,532000000.0
Reconciled Cost Of Revenue,,2535000000.0,2443000000.0,2206000000.0,2292000000.0,2577000000.0
EBITDA,,3914000000.0,3795000000.0,3226000000.0,3471000000.0,3756000000.0
EBIT,,3355000000.0,3251000000.0,2706000000.0,2918000000.0,3224000000.0
Net Interest Income,,-380000000.0,-370000000.0,-359000000.0,-362000000.0,-363000000.0
Interest Expense,,406000000.0,390000000.0,376000000.0,380000000.0,381000000.0
Interest Income,,26000000.0,20000000.0,17000000.0,18000000.0,18000000.0
Normalized Income,,2322802984.062394,2327023767.913317,1908902000.0,2027920803.782506,2335110798.452339
Net Income From Continuing And Discontinued Operation,,2278000000.0,2253000000.0,1868000000.0,2016000000.0,2255000000.0
Total Expenses,,3758000000.0,3582000000.0,3301000000.0,3509000000.0,3645000000.0
Rent Expense Supplemental,,666000000.0,654000000.0,620000000.0,3015000000.0,646000000.0
Total Operating Income As Reported,,3357000000.0,3232000000.0,2648000000.0,2868000000.0,3188000000.0
Diluted Average Shares,714200000.0,715900000.0,717600000.0,718200000.0,719700000.0,
Basic Average Shares,712154350.0,712154350.0,713604434.0,715032727.0,715200000.0,
Diluted EPS,3.03,3.18,3.14,2.6,2.8,
Basic EPS,3.038667,3.198745,3.157211,2.612468,2.82019,
Diluted NI Availto Com Stockholders,,2278000000.0,2253000000.0,1868000000.0,2016000000.0,2255000000.0
Net Income Common Stockholders,,2278000000.0,2253000000.0,1868000000.0,2016000000.0,2255000000.0
Net Income,,2278000000.0,2253000000.0,1868000000.0,2016000000.0,2255000000.0
Net Income Including Noncontrolling Interests,,2278000000.0,2253000000.0,1869000000.0,2017000000.0,2255000000.0
Net Income Continuous Operations,,2278000000.0,2253000000.0,1869000000.0,2017000000.0,2255000000.0
Tax Provision,,671000000.0,608000000.0,461000000.0,521000000.0,588000000.0
Pretax Income,,2949000000.0,2861000000.0,2330000000.0,2538000000.0,2843000000.0
Other Income Expense,,11000000.0,-32000000.0,34000000.0,20000000.0,-22000000.0
Other Non Operating Income Expenses,,6000000.0,8000000.0,23000000.0,21000000.0,27000000.0
Special Income Charges,,-25000000.0,-84000000.0,-69000000.0,-25000000.0,-91000000.0
Gain On Sale Of Ppe,,-21000000.0,-48000000.0,-11000000.0,-163000000.0,-2000000.0
Gain On Sale Of Business,,35000000.0,7000000.0,8000000.0,72000000.0,9000000.0
Write Off,,39000000.0,43000000.0,66000000.0,,98000000.0
Earnings From Equity Interest,,63000000.0,54000000.0,62000000.0,14000000.0,52000000.0
Gain On Sale Of Security,,-33000000.0,-10000000.0,18000000.0,10000000.0,-10000000.0
Net Non Operating Interest Income Expense,,-380000000.0,-370000000.0,-359000000.0,-362000000.0,-363000000.0
Interest Expense Non Operating,,406000000.0,390000000.0,376000000.0,380000000.0,381000000.0
Interest Income Non Operating,,26000000.0,20000000.0,17000000.0,18000000.0,18000000.0
Operating Income,,3319000000.0,3261000000.0,2654000000.0,2879000000.0,3229000000.0
Operating Expense,,785000000.0,701000000.0,682000000.0,800000000.0,647000000.0
Depreciation Amortization Depletion Income Statement,,121000000.0,106000000.0,107000000.0,136000000.0,111000000.0
Depreciation And Amortization In Income Statement,,121000000.0,106000000.0,107000000.0,136000000.0,111000000.0
Selling General And Administration,,664000000.0,595000000.0,575000000.0,664000000.0,536000000.0
Gross Profit,,4104000000.0,3962000000.0,3336000000.0,3679000000.0,3876000000.0
Cost Of Revenue,,2973000000.0,2881000000.0,2619000000.0,2709000000.0,2998000000.0
Total Revenue,,7077000000.0,6843000000.0,5955000000.0,6388000000.0,6874000000.0
Operating Revenue,,6926000000.0,6671000000.0,5793000000.0,6269000000.0,6750000000.0
