,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-8628820.960699,-6597462.514418,-6000000.0,-8251000.0,-12628571.428571,
Tax Rate For Calcs,0.110626,0.253749,0.25,0.223,0.247619,
Normalized EBITDA,939000000.0,1088000000.0,990000000.0,1039000000.0,770000000.0,
Total Unusual Items,-78000000.0,-26000000.0,-24000000.0,-37000000.0,-51000000.0,
Total Unusual Items Excluding Goodwill,-78000000.0,-26000000.0,-24000000.0,-37000000.0,-51000000.0,
Net Income From Continuing Operation Net Minority Interest,610000000.0,646000000.0,578000000.0,625000000.0,395000000.0,
Reconciled Depreciation,124000000.0,123000000.0,120000000.0,113000000.0,113000000.0,
Reconciled Cost Of Revenue,501000000.0,492000000.0,489000000.0,491000000.0,497000000.0,
EBITDA,861000000.0,1062000000.0,966000000.0,1002000000.0,719000000.0,
EBIT,737000000.0,939000000.0,846000000.0,889000000.0,606000000.0,
Net Interest Income,-33000000.0,-58000000.0,-61000000.0,-61000000.0,-52000000.0,
Interest Expense,50000000.0,72000000.0,74000000.0,85000000.0,81000000.0,
Interest Income,17000000.0,14000000.0,13000000.0,24000000.0,29000000.0,
Normalized Income,679371179.039301,665402537.485582,596000000.0,653749000.0,433371428.571429,
Net Income From Continuing And Discontinued Operation,610000000.0,646000000.0,578000000.0,625000000.0,395000000.0,
Total Expenses,1093000000.0,1068000000.0,1052000000.0,1043000000.0,1052000000.0,
Total Operating Income As Reported,770000000.0,917000000.0,818000000.0,846000000.0,561000000.0,
Diluted Average Shares,178700000.0,179600000.0,180200000.0,180700000.0,181700000.0,
Basic Average Shares,177900000.0,178900000.0,179700000.0,180000000.0,180800000.0,
Diluted EPS,3.41,3.6,3.21,3.46,2.17,
Basic EPS,3.43,3.61,3.22,3.47,2.18,
Diluted NI Availto Com Stockholders,610000000.0,646000000.0,578000000.0,625000000.0,395000000.0,
Net Income Common Stockholders,610000000.0,646000000.0,578000000.0,625000000.0,395000000.0,
Net Income,610000000.0,646000000.0,578000000.0,625000000.0,395000000.0,
Minority Interests,-1000000.0,-1000000.0,-1000000.0,,0.0,0.0
Net Income Including Noncontrolling Interests,611000000.0,647000000.0,579000000.0,625000000.0,395000000.0,
Net Income Continuous Operations,611000000.0,647000000.0,579000000.0,625000000.0,395000000.0,
Tax Provision,76000000.0,220000000.0,193000000.0,179000000.0,130000000.0,
Pretax Income,687000000.0,867000000.0,772000000.0,804000000.0,525000000.0,
Other Income Expense,-76000000.0,-14000000.0,-13000000.0,-16000000.0,-43000000.0,
Other Non Operating Income Expenses,0.0,8000000.0,8000000.0,10000000.0,3000000.0,
Special Income Charges,-82000000.0,-22000000.0,-28000000.0,-35000000.0,-59000000.0,
Restructuring And Mergern Acquisition,26000000.0,22000000.0,28000000.0,35000000.0,59000000.0,
Earnings From Equity Interest,2000000.0,4000000.0,3000000.0,11000000.0,5000000.0,
Gain On Sale Of Security,4000000.0,-4000000.0,4000000.0,-2000000.0,8000000.0,
Net Non Operating Interest Income Expense,-33000000.0,-58000000.0,-61000000.0,-61000000.0,-52000000.0,
Interest Expense Non Operating,50000000.0,72000000.0,74000000.0,85000000.0,81000000.0,
Interest Income Non Operating,17000000.0,14000000.0,13000000.0,24000000.0,29000000.0,
Operating Income,796000000.0,939000000.0,846000000.0,881000000.0,620000000.0,
Operating Expense,592000000.0,576000000.0,563000000.0,552000000.0,555000000.0,
Other Operating Expenses,,,,491000000.0,,512000000.0
Depreciation Amortization Depletion Income Statement,124000000.0,123000000.0,120000000.0,113000000.0,113000000.0,
Depreciation And Amortization In Income Statement,124000000.0,123000000.0,120000000.0,113000000.0,113000000.0,
Selling General And Administration,468000000.0,453000000.0,443000000.0,439000000.0,442000000.0,
Gross Profit,1388000000.0,1515000000.0,1409000000.0,1433000000.0,1175000000.0,
Cost Of Revenue,501000000.0,492000000.0,489000000.0,491000000.0,497000000.0,
Total Revenue,1889000000.0,2007000000.0,1898000000.0,1924000000.0,1672000000.0,
Operating Revenue,1889000000.0,2007000000.0,1898000000.0,1924000000.0,1672000000.0,
