,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,14831000000.0,11170000000.0,9023000000.0,11085000000.0,13563000000.0,
Repurchase Of Capital Stock,0.0,-3327000000.0,-10167000000.0,-12754000000.0,0.0,
Repayment Of Debt,-754000000.0,-545000000.0,-474000000.0,-751000000.0,-411000000.0,
Issuance Of Debt,29906000000.0,,,,0.0,10432000000.0
Capital Expenditure,-21383000000.0,-18829000000.0,-16538000000.0,-12941000000.0,-14425000000.0,
Interest Paid Supplemental Data,93000000.0,125000000.0,126000000.0,352000000.0,130000000.0,
Income Tax Paid Supplemental Data,1285000000.0,749000000.0,5096000000.0,448000000.0,2228000000.0,
End Cash Position,39100000000.0,11941000000.0,13828000000.0,30071000000.0,45438000000.0,
Beginning Cash Position,11941000000.0,13828000000.0,30071000000.0,45438000000.0,45127000000.0,
Effect Of Exchange Rate Changes,-17000000.0,9000000.0,131000000.0,112000000.0,-714000000.0,
Changes In Cash,27176000000.0,-1896000000.0,-16374000000.0,-15479000000.0,1025000000.0,
Financing Cash Flow,25149000000.0,-10047000000.0,-15977000000.0,-19495000000.0,-5465000000.0,
Cash Flow From Continuing Financing Activities,25149000000.0,-10047000000.0,-15977000000.0,-19495000000.0,-5465000000.0,
Net Other Financing Charges,-2665000000.0,-4845000000.0,-4009000000.0,-4661000000.0,-3784000000.0,
Cash Dividends Paid,-1338000000.0,-1330000000.0,-1327000000.0,-1329000000.0,-1270000000.0,
Common Stock Dividend Paid,-1338000000.0,-1330000000.0,-1327000000.0,-1329000000.0,-1270000000.0,
Net Common Stock Issuance,0.0,-3327000000.0,-10167000000.0,-12754000000.0,0.0,
Common Stock Payments,0.0,-3327000000.0,-10167000000.0,-12754000000.0,0.0,
Net Issuance Payments Of Debt,29152000000.0,-545000000.0,-474000000.0,-751000000.0,-411000000.0,
Net Long Term Debt Issuance,29152000000.0,-545000000.0,-474000000.0,-751000000.0,-411000000.0,
Long Term Debt Payments,-754000000.0,-545000000.0,-474000000.0,-751000000.0,-411000000.0,
Long Term Debt Issuance,29906000000.0,,,,0.0,10432000000.0
Investing Cash Flow,-34187000000.0,-21848000000.0,-25958000000.0,-20010000000.0,-21498000000.0,
Cash Flow From Continuing Investing Activities,-34187000000.0,-21848000000.0,-25958000000.0,-20010000000.0,-21498000000.0,
Net Other Investing Changes,-405000000.0,-1084000000.0,-671000000.0,-90000000.0,17000000.0,
Net Investment Purchase And Sale,-11537000000.0,-1182000000.0,-8687000000.0,-6979000000.0,-7081000000.0,
Sale Of Investment,3113000000.0,4704000000.0,14273000000.0,4784000000.0,3817000000.0,
Purchase Of Investment,-14650000000.0,-5886000000.0,-22960000000.0,-11763000000.0,-10898000000.0,
Net Business Purchase And Sale,-862000000.0,-753000000.0,,,-9000000.0,-132000000.0
Purchase Of Business,-3416000000.0,-753000000.0,,,-9000000.0,-132000000.0
Net PPE Purchase And Sale,-21383000000.0,-18829000000.0,-16538000000.0,-12941000000.0,-14425000000.0,
Purchase Of PPE,-21383000000.0,-18829000000.0,-16538000000.0,-12941000000.0,-14425000000.0,
Operating Cash Flow,36214000000.0,29999000000.0,25561000000.0,24026000000.0,27988000000.0,
Cash Flow From Continuing Operating Activities,36214000000.0,29999000000.0,25561000000.0,24026000000.0,27988000000.0,
Change In Working Capital,1664000000.0,-2151000000.0,-957000000.0,559000000.0,-504000000.0,
Change In Other Current Liabilities,-431000000.0,-736000000.0,892000000.0,712000000.0,1114000000.0,
Change In Other Current Assets,-272000000.0,33000000.0,-190000000.0,-52000000.0,-200000000.0,
Change In Payables And Accrued Expense,4583000000.0,392000000.0,-647000000.0,-3265000000.0,2090000000.0,
Change In Accrued Expense,3960000000.0,455000000.0,-1107000000.0,-2231000000.0,1522000000.0,
Change In Payable,623000000.0,-63000000.0,460000000.0,-1034000000.0,568000000.0,
Change In Account Payable,623000000.0,-63000000.0,460000000.0,-1034000000.0,568000000.0,
Change In Prepaid Assets,259000000.0,-1034000000.0,326000000.0,360000000.0,-530000000.0,
Change In Receivables,-2475000000.0,-806000000.0,-1338000000.0,2804000000.0,-2978000000.0,
Changes In Account Receivables,-2475000000.0,-806000000.0,-1338000000.0,2804000000.0,-2978000000.0,
Other Non Cash Items,37000000.0,-23000000.0,-199000000.0,-231000000.0,169000000.0,
Stock Based Compensation,5890000000.0,5556000000.0,4834000000.0,4147000000.0,4262000000.0,
Unrealized Gain Loss On Investment Securities,-590000000.0,-922000000.0,,,,
Asset Impairment Charge,,,,,95000000.0,8000000.0
Deferred Tax,1034000000.0,19867000000.0,-1170000000.0,-993000000.0,-1332000000.0,
Deferred Income Tax,1034000000.0,19867000000.0,-1170000000.0,-993000000.0,-1332000000.0,
Depreciation Amortization Depletion,5411000000.0,4963000000.0,4342000000.0,3900000000.0,4460000000.0,
Depreciation And Amortization,5411000000.0,4963000000.0,4342000000.0,3900000000.0,4460000000.0,
Net Income From Continuing Operations,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0,
