,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-12035497.357419,8820000.0,21560000.0,20880000.0,-44365234.375
Tax Rate For Calcs,0.101996,0.21,0.106993,0.09,0.115234
Normalized EBITDA,31339000000.0,26811000000.0,24921000000.0,22290000000.0,28648000000.0
Total Unusual Items,-118000000.0,42000000.0,196000000.0,232000000.0,-385000000.0
Total Unusual Items Excluding Goodwill,-118000000.0,42000000.0,196000000.0,232000000.0,-385000000.0
Net Income From Continuing Operation Net Minority Interest,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Reconciled Depreciation,5411000000.0,4963000000.0,4342000000.0,3900000000.0,4460000000.0
Reconciled Cost Of Revenue,10906000000.0,9206000000.0,8491000000.0,7572000000.0,8839000000.0
EBITDA,31221000000.0,26853000000.0,25117000000.0,22522000000.0,28263000000.0
EBIT,25810000000.0,21890000000.0,20775000000.0,18622000000.0,23803000000.0
Net Interest Income,169000000.0,132000000.0,240000000.0,418000000.0,480000000.0
Interest Expense,456000000.0,227000000.0,241000000.0,240000000.0,251000000.0
Interest Income,625000000.0,359000000.0,481000000.0,658000000.0,731000000.0
Normalized Income,22873964502.642582,2675820000.0,18162560000.0,16432880000.0,21178634765.625
Net Income From Continuing And Discontinued Operation,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Total Expenses,35148000000.0,30707000000.0,27075000000.0,24759000000.0,25021000000.0
Total Operating Income As Reported,24745000000.0,20535000000.0,20441000000.0,17555000000.0,23364000000.0
Diluted Average Shares,2565000000.0,2572000000.0,2570000000.0,2590000000.0,2599000000.0
Basic Average Shares,2525000000.0,2517000000.0,2518000000.0,2527000000.0,2529000000.0
Diluted EPS,8.88,1.05,7.14,6.43,8.02
Basic EPS,9.02,1.08,7.28,6.59,8.24
Diluted NI Availto Com Stockholders,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Net Income Common Stockholders,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Net Income,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Net Income Including Noncontrolling Interests,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Net Income Continuous Operations,22768000000.0,2709000000.0,18337000000.0,16644000000.0,20838000000.0
Tax Provision,2586000000.0,18954000000.0,2197000000.0,1738000000.0,2714000000.0
Pretax Income,25354000000.0,21663000000.0,20534000000.0,18382000000.0,23552000000.0
Other Income Expense,440000000.0,996000000.0,-147000000.0,409000000.0,-292000000.0
Other Non Operating Income Expenses,558000000.0,954000000.0,-343000000.0,177000000.0,93000000.0
Gain On Sale Of Security,-118000000.0,42000000.0,196000000.0,232000000.0,-385000000.0
Net Non Operating Interest Income Expense,169000000.0,132000000.0,240000000.0,418000000.0,480000000.0
Total Other Finance Cost,-558000000.0,-954000000.0,343000000.0,-177000000.0,-93000000.0
Interest Expense Non Operating,456000000.0,227000000.0,241000000.0,240000000.0,251000000.0
Interest Income Non Operating,625000000.0,359000000.0,481000000.0,658000000.0,731000000.0
Operating Income,24745000000.0,20535000000.0,20441000000.0,17555000000.0,23364000000.0
Operating Expense,24242000000.0,21501000000.0,18584000000.0,17187000000.0,16182000000.0
Research And Development,17135000000.0,15144000000.0,12942000000.0,12150000000.0,12180000000.0
Selling General And Administration,7107000000.0,6357000000.0,5642000000.0,5037000000.0,4002000000.0
Selling And Marketing Expense,3410000000.0,2845000000.0,2979000000.0,2757000000.0,3240000000.0
General And Administrative Expense,3697000000.0,3512000000.0,2663000000.0,2280000000.0,762000000.0
Other Gand A,3697000000.0,3512000000.0,2663000000.0,2280000000.0,762000000.0
Gross Profit,48987000000.0,42036000000.0,39025000000.0,34742000000.0,39546000000.0
Cost Of Revenue,10906000000.0,9206000000.0,8491000000.0,7572000000.0,8839000000.0
Total Revenue,59893000000.0,51242000000.0,47516000000.0,42314000000.0,48385000000.0
Operating Revenue,59093000000.0,50552000000.0,46933000000.0,41804000000.0,47866000000.0
