,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1824000000.0,6835000000.0,2529000000.0,1172000000.0,2513000000.0,
Repurchase Of Capital Stock,-1252000000.0,-1323000000.0,-1345000000.0,-1164000000.0,-489000000.0,
Repayment Of Debt,-2000000.0,-1000000.0,0.0,-2500000000.0,-539000000.0,
Issuance Of Debt,7918000000.0,5962000000.0,,,0.0,-1000000.0
Capital Expenditure,-1033000000.0,-987000000.0,-764000000.0,-1328000000.0,-937000000.0,
End Cash Position,14690000000.0,18260000000.0,8073000000.0,8732000000.0,13318000000.0,
Beginning Cash Position,18260000000.0,8073000000.0,8732000000.0,13318000000.0,14688000000.0,
Effect Of Exchange Rate Changes,23000000.0,10000000.0,374000000.0,156000000.0,-367000000.0,
Changes In Cash,-3593000000.0,10177000000.0,-1033000000.0,-4742000000.0,-1003000000.0,
Financing Cash Flow,4751000000.0,2638000000.0,-3556000000.0,-5755000000.0,-3009000000.0,
Cash Flow From Continuing Financing Activities,4751000000.0,2638000000.0,-3556000000.0,-5755000000.0,-3009000000.0,
Net Other Financing Charges,121000000.0,2000000.0,-194000000.0,-60000000.0,-42000000.0,
Proceeds From Stock Option Exercised,47000000.0,14000000.0,12000000.0,19000000.0,12000000.0,
Cash Dividends Paid,-2018000000.0,-2031000000.0,-2077000000.0,-2050000000.0,-1951000000.0,
Common Stock Dividend Paid,-2018000000.0,-2031000000.0,-2077000000.0,-2050000000.0,-1951000000.0,
Net Common Stock Issuance,-1252000000.0,-1323000000.0,-1345000000.0,-1164000000.0,-489000000.0,
Common Stock Payments,-1252000000.0,-1323000000.0,-1345000000.0,-1164000000.0,-489000000.0,
Net Issuance Payments Of Debt,7853000000.0,5976000000.0,48000000.0,-2500000000.0,-539000000.0,
Net Short Term Debt Issuance,,15000000.0,,,,
Net Long Term Debt Issuance,7916000000.0,5961000000.0,0.0,-2500000000.0,-539000000.0,
Long Term Debt Payments,-2000000.0,-1000000.0,0.0,-2500000000.0,-539000000.0,
Long Term Debt Issuance,7918000000.0,5962000000.0,,,0.0,-1000000.0
Investing Cash Flow,-11201000000.0,-283000000.0,-770000000.0,-1487000000.0,-1444000000.0,
Cash Flow From Continuing Investing Activities,-11201000000.0,-283000000.0,-770000000.0,-1487000000.0,-1444000000.0,
Net Other Investing Changes,-172000000.0,129000000.0,5000000.0,-20000000.0,-57000000.0,
Net Investment Purchase And Sale,46000000.0,575000000.0,-11000000.0,-139000000.0,-448000000.0,
Sale Of Investment,46000000.0,575000000.0,601000000.0,456000000.0,7000000.0,
Purchase Of Investment,0.0,0.0,-612000000.0,-595000000.0,-455000000.0,
Net Business Purchase And Sale,-10042000000.0,0.0,0.0,0.0,-2000000.0,
Purchase Of Business,-10042000000.0,0.0,0.0,0.0,-2000000.0,
Capital Expenditure Reported,-1033000000.0,-987000000.0,-764000000.0,-1328000000.0,-937000000.0,
Operating Cash Flow,2857000000.0,7822000000.0,3293000000.0,2500000000.0,3450000000.0,
Cash Flow From Continuing Operating Activities,2857000000.0,7822000000.0,3293000000.0,2500000000.0,3450000000.0,
Change In Working Capital,-2319000000.0,1314000000.0,-2259000000.0,-3712000000.0,-1855000000.0,
Other Non Cash Items,118000000.0,-51000000.0,335000000.0,109000000.0,599000000.0,
Stock Based Compensation,205000000.0,204000000.0,216000000.0,195000000.0,187000000.0,
Deferred Tax,-825000000.0,-212000000.0,-448000000.0,-186000000.0,-616000000.0,
Deferred Income Tax,-825000000.0,-212000000.0,-448000000.0,-186000000.0,-616000000.0,
Depreciation Amortization Depletion,2466000000.0,1154000000.0,1119000000.0,1099000000.0,1197000000.0,
Depreciation And Amortization,2466000000.0,1154000000.0,1119000000.0,1099000000.0,1197000000.0,
Amortization Cash Flow,973000000.0,622000000.0,601000000.0,597000000.0,675000000.0,
Amortization Of Intangibles,973000000.0,622000000.0,601000000.0,597000000.0,675000000.0,
Depreciation,1493000000.0,532000000.0,518000000.0,502000000.0,522000000.0,
Operating Gains Losses,195000000.0,-374000000.0,-99000000.0,-90000000.0,155000000.0,
Gain Loss On Investment Securities,195000000.0,-374000000.0,-99000000.0,-90000000.0,155000000.0,
Net Income From Continuing Operations,2962000000.0,5787000000.0,4429000000.0,5085000000.0,3744000000.0,
