,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-67896491.22807,38348406.226835,-61451890.378076,-9591000.0,-26152517.985612,
Tax Rate For Calcs,0.133918,0.142031,0.114223,0.139,0.102158,
Normalized EBITDA,6804000000.0,7956000000.0,6961000000.0,7384000000.0,5951000000.0,
Total Unusual Items,-507000000.0,270000000.0,-538000000.0,-69000000.0,-256000000.0,
Total Unusual Items Excluding Goodwill,-507000000.0,270000000.0,-538000000.0,-69000000.0,-256000000.0,
Net Income From Continuing Operation Net Minority Interest,2963000000.0,5785000000.0,4427000000.0,5079000000.0,3743000000.0,
Reconciled Depreciation,2466000000.0,1154000000.0,1119000000.0,1099000000.0,1197000000.0,
Reconciled Cost Of Revenue,5551000000.0,3855000000.0,3557000000.0,3419000000.0,3828000000.0,
EBITDA,6297000000.0,8226000000.0,6423000000.0,7315000000.0,5695000000.0,
EBIT,3831000000.0,7072000000.0,5304000000.0,6216000000.0,4498000000.0,
Net Interest Income,-342000000.0,-231000000.0,-236000000.0,-204000000.0,-182000000.0,
Interest Expense,411000000.0,327000000.0,305000000.0,313000000.0,328000000.0,
Interest Income,69000000.0,96000000.0,69000000.0,109000000.0,146000000.0,
Normalized Income,3402103508.77193,5553348406.226835,4903548109.621924,5138409000.0,3972847482.014388,
Net Income From Continuing And Discontinued Operation,2963000000.0,5785000000.0,4427000000.0,5079000000.0,3743000000.0,
Total Expenses,12335000000.0,10722000000.0,10254000000.0,9592000000.0,11276000000.0,
Diluted Average Shares,2488000000.0,2498000000.0,2513000000.0,2531000000.0,2537000000.0,
Basic Average Shares,2474626766.0,2487348810.0,2503140328.0,2516081628.0,2527637335.0,
Diluted EPS,1.19,2.32,1.76,2.01,1.48,
Basic EPS,1.197352,2.32577,1.768578,2.018615,1.48083,
Diluted NI Availto Com Stockholders,2963000000.0,5785000000.0,4427000000.0,5079000000.0,3743000000.0,
Net Income Common Stockholders,2963000000.0,5785000000.0,4427000000.0,5079000000.0,3743000000.0,
Net Income,2963000000.0,5785000000.0,4427000000.0,5079000000.0,3743000000.0,
Minority Interests,1000000.0,-2000000.0,-1000000.0,-6000000.0,-1000000.0,
Net Income Including Noncontrolling Interests,2962000000.0,5787000000.0,4428000000.0,5085000000.0,3744000000.0,
Net Income Continuous Operations,2962000000.0,5787000000.0,4428000000.0,5085000000.0,3744000000.0,
Tax Provision,458000000.0,958000000.0,571000000.0,818000000.0,426000000.0,
Pretax Income,3420000000.0,6745000000.0,4999000000.0,5903000000.0,4170000000.0,
Other Income Expense,-303000000.0,422000000.0,-317000000.0,170000000.0,4000000.0,
Other Non Operating Income Expenses,204000000.0,152000000.0,221000000.0,239000000.0,260000000.0,
Special Income Charges,-213000000.0,-47000000.0,-560000000.0,-69000000.0,-51000000.0,
Restructuring And Mergern Acquisition,213000000.0,47000000.0,560000000.0,69000000.0,51000000.0,
Gain On Sale Of Security,-294000000.0,317000000.0,22000000.0,,-205000000.0,-64000000.0
Net Non Operating Interest Income Expense,-342000000.0,-231000000.0,-236000000.0,-204000000.0,-182000000.0,
Interest Expense Non Operating,411000000.0,327000000.0,305000000.0,313000000.0,328000000.0,
Interest Income Non Operating,69000000.0,96000000.0,69000000.0,109000000.0,146000000.0,
Operating Income,4065000000.0,6554000000.0,5552000000.0,5937000000.0,4348000000.0,
Operating Expense,6784000000.0,6867000000.0,6697000000.0,6173000000.0,7448000000.0,
Research And Development,3886000000.0,4234000000.0,4048000000.0,3621000000.0,4584000000.0,
Selling General And Administration,2898000000.0,2633000000.0,2649000000.0,2552000000.0,2864000000.0,
Gross Profit,10849000000.0,13421000000.0,12249000000.0,12110000000.0,11796000000.0,
Cost Of Revenue,5551000000.0,3855000000.0,3557000000.0,3419000000.0,3828000000.0,
Total Revenue,16400000000.0,17276000000.0,15806000000.0,15529000000.0,15624000000.0,
Operating Revenue,16400000000.0,17276000000.0,15806000000.0,15529000000.0,15624000000.0,
