,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,-30528000.0,0.0,
Tax Rate For Calcs,0.231944,0.22777,0.226525,0.212,0.240929,
Total Unusual Items,,,,-144000000.0,,-40000000.0
Total Unusual Items Excluding Goodwill,,,,-144000000.0,,-40000000.0
Net Income From Continuing Operation Net Minority Interest,4397000000.0,4610000000.0,3539000000.0,4315000000.0,3714000000.0,
Reconciled Depreciation,1138000000.0,1348000000.0,1307000000.0,865000000.0,1645000000.0,
Net Interest Income,2855000000.0,2491000000.0,2347000000.0,2353000000.0,2552000000.0,
Interest Expense,12099000000.0,12965000000.0,12558000000.0,11395000000.0,10939000000.0,
Interest Income,14954000000.0,15456000000.0,14905000000.0,13748000000.0,13491000000.0,
Normalized Income,4397000000.0,4610000000.0,3539000000.0,4428472000.0,3714000000.0,
Net Income From Continuing And Discontinued Operation,4397000000.0,4610000000.0,3539000000.0,4315000000.0,3714000000.0,
Diluted Average Shares,1586000000.0,1590000000.0,1593000000.0,1600000000.0,1608000000.0,
Basic Average Shares,1564000000.0,1571000000.0,1577000000.0,1584000000.0,1583000000.0,
Diluted EPS,2.68,2.8,2.13,2.6,2.22,
Basic EPS,2.72,2.83,2.15,2.62,2.25,
Diluted NI Availto Com Stockholders,4250000000.0,4450000000.0,3392000000.0,4157000000.0,3564000000.0,
Net Income Common Stockholders,4250000000.0,4450000000.0,3392000000.0,4157000000.0,3564000000.0,
Preferred Stock Dividends,147000000.0,160000000.0,147000000.0,158000000.0,150000000.0,
Net Income,4397000000.0,4610000000.0,3539000000.0,4315000000.0,3714000000.0,
Minority Interests,-27000000.0,-45000000.0,-36000000.0,-56000000.0,-10000000.0,
Net Income Including Noncontrolling Interests,4424000000.0,4655000000.0,3575000000.0,4371000000.0,3724000000.0,
Net Income Continuous Operations,4424000000.0,4655000000.0,3575000000.0,4371000000.0,3724000000.0,
Tax Provision,1336000000.0,1373000000.0,1047000000.0,1173000000.0,1182000000.0,
Pretax Income,5760000000.0,6028000000.0,4622000000.0,5544000000.0,4906000000.0,
Special Income Charges,,,,-144000000.0,,-40000000.0
Other Special Charges,,,,,,40000000.0
Restructuring And Mergern Acquisition,,,,144000000.0,,
Gain On Sale Of Security,220000000.0,374000000.0,388000000.0,369000000.0,215000000.0,
Selling General And Administration,7277000000.0,7722000000.0,7487000000.0,7615000000.0,6568000000.0,
Selling And Marketing Expense,358000000.0,280000000.0,297000000.0,238000000.0,279000000.0,
General And Administrative Expense,6919000000.0,7442000000.0,7190000000.0,7377000000.0,6289000000.0,
Salaries And Wages,6919000000.0,7442000000.0,7190000000.0,7377000000.0,6289000000.0,
Total Revenue,16762000000.0,17083000000.0,15604000000.0,16517000000.0,15043000000.0,
Operating Revenue,16762000000.0,17083000000.0,15604000000.0,16517000000.0,15043000000.0,
Occupancy And Equipment,491000000.0,473000000.0,459000000.0,449000000.0,527000000.0,
Professional Expense And Contract Services Expense,769000000.0,685000000.0,711000000.0,674000000.0,798000000.0,
Other Non Interest Expense,2303000000.0,2175000000.0,2129000000.0,1956000000.0,2129000000.0,
