,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,7428838066.0,7433087554.0,7434158655.0,7433982235.0,7435256940.0,
Share Issued,7428838066.0,7433087554.0,7434158655.0,7433982235.0,7435256940.0,
Net Debt,15966000000.0,14359000000.0,12909000000.0,14053000000.0,27488000000.0,
Total Debt,57607000000.0,60556000000.0,60588000000.0,60567000000.0,62224000000.0,
Tangible Book Value,250964000000.0,222343000000.0,201366000000.0,178594000000.0,158119000000.0,
Invested Capital,431137000000.0,406284000000.0,386630000000.0,364772000000.0,347665000000.0,
Working Capital,50185000000.0,54070000000.0,49913000000.0,42438000000.0,38198000000.0,
Net Tangible Assets,250964000000.0,222343000000.0,201366000000.0,178594000000.0,158119000000.0,
Capital Lease Obligations,17345000000.0,17348000000.0,17437000000.0,17686000000.0,17254000000.0,
Common Stock Equity,390875000000.0,363076000000.0,343479000000.0,321891000000.0,302695000000.0,
Total Capitalization,426300000000.0,398452000000.0,383631000000.0,361773000000.0,342417000000.0,
Total Equity Gross Minority Interest,390875000000.0,363076000000.0,343479000000.0,321891000000.0,302695000000.0,
Stockholders Equity,390875000000.0,363076000000.0,343479000000.0,321891000000.0,302695000000.0,
Gains Losses Not Affecting Retained Earnings,-2702000000.0,-2761000000.0,-3347000000.0,-4833000000.0,-5616000000.0,
Other Equity Adjustments,-2702000000.0,-2761000000.0,-3347000000.0,-4833000000.0,-5616000000.0,
Retained Earnings,280789000000.0,254873000000.0,237731000000.0,219759000000.0,203482000000.0,
Capital Stock,112788000000.0,110964000000.0,109095000000.0,106965000000.0,104829000000.0,
Common Stock,112788000000.0,110964000000.0,109095000000.0,106965000000.0,104829000000.0,
Total Liabilities Net Minority Interest,274427000000.0,273275000000.0,275524000000.0,240733000000.0,231203000000.0,
Total Non Current Liabilities Net Minority Interest,144422000000.0,138279000000.0,134306000000.0,126527000000.0,122321000000.0,
Other Non Current Liabilities,58852000000.0,53588000000.0,45186000000.0,38536000000.0,35906000000.0,
Tradeand Other Payables Non Current,27256000000.0,26569000000.0,25986000000.0,25061000000.0,24389000000.0,
Non Current Deferred Liabilities,5544000000.0,5398000000.0,5545000000.0,5362000000.0,5050000000.0,
Non Current Deferred Revenue,2668000000.0,2546000000.0,2710000000.0,2840000000.0,2537000000.0,
Non Current Deferred Taxes Liabilities,2876000000.0,2852000000.0,2835000000.0,2522000000.0,2513000000.0,
Long Term Debt And Capital Lease Obligation,52770000000.0,52724000000.0,57589000000.0,57568000000.0,56976000000.0,
Long Term Capital Lease Obligation,17345000000.0,17348000000.0,17437000000.0,17686000000.0,17254000000.0,
Long Term Debt,35425000000.0,35376000000.0,40152000000.0,39882000000.0,39722000000.0,
Current Liabilities,130005000000.0,134996000000.0,141218000000.0,114206000000.0,108882000000.0,
Other Current Liabilities,24311000000.0,22741000000.0,25020000000.0,22937000000.0,20286000000.0,
Current Deferred Liabilities,51376000000.0,58987000000.0,64555000000.0,44636000000.0,45508000000.0,
