,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,5882000000.0,25663000000.0,25568000000.0,20299000000.0,6487000000.0,
Repurchase Of Capital Stock,-7415000000.0,-5650000000.0,-4546000000.0,-4781000000.0,-4986000000.0,
Repayment Of Debt,-3000000000.0,0.0,0.0,-2250000000.0,0.0,
Issuance Of Debt,,,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,259000000.0,689000000.0,548000000.0,546000000.0,256000000.0,
Capital Expenditure,-29876000000.0,-19394000000.0,-17079000000.0,-16745000000.0,-15804000000.0,
End Cash Position,24296000000.0,28849000000.0,30242000000.0,28828000000.0,17482000000.0,
Beginning Cash Position,28849000000.0,30242000000.0,28828000000.0,17482000000.0,20840000000.0,
Effect Of Exchange Rate Changes,11000000.0,-92000000.0,183000000.0,52000000.0,-294000000.0,
Changes In Cash,-4564000000.0,-1301000000.0,1231000000.0,11294000000.0,-3064000000.0,
Financing Cash Flow,-17617000000.0,-11799000000.0,-10844000000.0,-13036000000.0,-11243000000.0,
Cash Flow From Continuing Financing Activities,-17617000000.0,-11799000000.0,-10844000000.0,-13036000000.0,-11243000000.0,
Net Other Financing Charges,-699000000.0,-669000000.0,-677000000.0,-382000000.0,-343000000.0,
Cash Dividends Paid,-6762000000.0,-6169000000.0,-6169000000.0,-6169000000.0,-6170000000.0,
Common Stock Dividend Paid,-6762000000.0,-6169000000.0,-6169000000.0,-6169000000.0,-6170000000.0,
Net Common Stock Issuance,-7156000000.0,-4961000000.0,-3998000000.0,-4235000000.0,-4730000000.0,
Common Stock Payments,-7415000000.0,-5650000000.0,-4546000000.0,-4781000000.0,-4986000000.0,
Common Stock Issuance,259000000.0,689000000.0,548000000.0,546000000.0,256000000.0,
Net Issuance Payments Of Debt,-3000000000.0,0.0,0.0,-2250000000.0,0.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,
Short Term Debt Payments,0.0,,,,0.0,
Net Long Term Debt Issuance,-3000000000.0,0.0,0.0,-2250000000.0,0.0,
Long Term Debt Payments,-3000000000.0,0.0,0.0,-2250000000.0,0.0,
Long Term Debt Issuance,,,0.0,0.0,0.0,0.0
Investing Cash Flow,-22705000000.0,-34559000000.0,-30572000000.0,-12714000000.0,-14112000000.0,
Cash Flow From Continuing Investing Activities,-22705000000.0,-34559000000.0,-30572000000.0,-12714000000.0,-14112000000.0,
Net Other Investing Changes,-637000000.0,-6209000000.0,2642000000.0,604000000.0,-16000000.0,
Net Investment Purchase And Sale,8263000000.0,-8378000000.0,-14392000000.0,4408000000.0,3113000000.0,
Sale Of Investment,18108000000.0,9293000000.0,7239000000.0,8882000000.0,5163000000.0,
Purchase Of Investment,-9845000000.0,-17671000000.0,-21631000000.0,-4474000000.0,-2050000000.0,
Net Business Purchase And Sale,-455000000.0,-578000000.0,-1743000000.0,-981000000.0,-1405000000.0,
Purchase Of Business,-455000000.0,-578000000.0,-1743000000.0,-981000000.0,-1405000000.0,
Net PPE Purchase And Sale,-29876000000.0,-19394000000.0,-17079000000.0,-16745000000.0,-15804000000.0,
Purchase Of PPE,-29876000000.0,-19394000000.0,-17079000000.0,-16745000000.0,-15804000000.0,
Operating Cash Flow,35758000000.0,45057000000.0,42647000000.0,37044000000.0,22291000000.0,
Cash Flow From Continuing Operating Activities,35758000000.0,45057000000.0,42647000000.0,37044000000.0,22291000000.0,
Change In Working Capital,-9632000000.0,-218000000.0,3303000000.0,2042000000.0,-11551000000.0,
Change In Other Working Capital,-8403000000.0,-8362000000.0,19404000000.0,266000000.0,-9733000000.0,
Change In Other Current Liabilities,1609000000.0,-5984000000.0,4079000000.0,2448000000.0,3933000000.0,
Change In Other Current Assets,-669000000.0,-1556000000.0,-3268000000.0,558000000.0,-1442000000.0,
Change In Payables And Accrued Expense,1197000000.0,-614000000.0,-652000000.0,1179000000.0,958000000.0,
Change In Payable,1197000000.0,-614000000.0,-652000000.0,1179000000.0,958000000.0,
Change In Account Payable,1197000000.0,-614000000.0,-652000000.0,1179000000.0,958000000.0,
Change In Tax Payable,,,,1298000000.0,-3395000000.0,1016000000.0
Change In Income Tax Payable,,,,1298000000.0,-3395000000.0,1016000000.0
Change In Inventory,70000000.0,-192000000.0,-81000000.0,52000000.0,711000000.0,
Change In Receivables,-3436000000.0,16490000000.0,-16179000000.0,-2461000000.0,-5978000000.0,
Changes In Account Receivables,-3436000000.0,16490000000.0,-16179000000.0,-2461000000.0,-5978000000.0,
Stock Based Compensation,3219000000.0,2983000000.0,3073000000.0,2980000000.0,3089000000.0,
Unrealized Gain Loss On Investment Securities,,635000000.0,36000000.0,-135000000.0,-25000000.0,-412000000.0
Asset Impairment Charge,,14000000.0,45000000.0,24000000.0,867000000.0,7000000.0
Deferred Tax,4446000000.0,2491000000.0,-2221000000.0,-2244000000.0,-1158000000.0,
Deferred Income Tax,4446000000.0,2491000000.0,-2221000000.0,-2244000000.0,-1158000000.0,
Depreciation Amortization Depletion,9198000000.0,13061000000.0,11203000000.0,8740000000.0,5667000000.0,
Depreciation And Amortization,9198000000.0,13061000000.0,11203000000.0,8740000000.0,5667000000.0,
Depreciation,9198000000.0,13061000000.0,11203000000.0,8740000000.0,5667000000.0,
Operating Gains Losses,-9931000000.0,-1656000000.0,-25000000.0,-187000000.0,2136000000.0,
Gain Loss On Investment Securities,,-1656000000.0,-25000000.0,-187000000.0,134000000.0,280000000.0
Net Income From Continuing Operations,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0,
