,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,65200000.0,187150000.0,495125.091979,69660000.0,-203220000.0
Tax Rate For Calcs,0.2,0.19,0.165042,0.18,0.18
Normalized EBITDA,57854000000.0,47075000000.0,44431000000.0,40324000000.0,36755000000.0
Total Unusual Items,326000000.0,985000000.0,3000000.0,387000000.0,-1129000000.0
Total Unusual Items Excluding Goodwill,326000000.0,985000000.0,3000000.0,387000000.0,-1129000000.0
Net Income From Continuing Operation Net Minority Interest,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Reconciled Depreciation,9198000000.0,13061000000.0,11203000000.0,8740000000.0,5667000000.0
Reconciled Cost Of Revenue,25978000000.0,24043000000.0,24014000000.0,21919000000.0,21799000000.0
EBITDA,58180000000.0,48060000000.0,44434000000.0,40711000000.0,35626000000.0
EBIT,48982000000.0,34999000000.0,33231000000.0,31971000000.0,29959000000.0
Net Interest Income,104000000.0,278000000.0,154000000.0,3000000.0,6000000.0
Interest Expense,736000000.0,698000000.0,615000000.0,594000000.0,594000000.0
Interest Income,840000000.0,976000000.0,769000000.0,597000000.0,600000000.0
Normalized Income,38197200000.0,26949150000.0,27230495125.09198,25506660000.0,25033780000.0
Net Income From Continuing And Discontinued Operation,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Total Expenses,42998000000.0,39712000000.0,42118000000.0,38066000000.0,37979000000.0
Total Operating Income As Reported,38275000000.0,37961000000.0,34323000000.0,32000000000.0,31653000000.0
Diluted Average Shares,7460000000.0,7466000000.0,7461000000.0,7461000000.0,7468000000.0
Basic Average Shares,7431000000.0,7433000000.0,7432000000.0,7434000000.0,7435000000.0
Diluted EPS,5.16,3.72,3.65,3.46,3.23
Basic EPS,5.18,3.73,3.66,3.47,3.24
Diluted NI Availto Com Stockholders,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Net Income Common Stockholders,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Net Income,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Net Income Including Noncontrolling Interests,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Net Income Continuous Operations,38458000000.0,27747000000.0,27233000000.0,25824000000.0,24108000000.0
Tax Provision,9788000000.0,6554000000.0,5383000000.0,5553000000.0,5257000000.0
Pretax Income,48246000000.0,34301000000.0,32616000000.0,31377000000.0,29365000000.0
Other Income Expense,9867000000.0,-3938000000.0,-1861000000.0,-626000000.0,-2294000000.0
Other Non Operating Income Expenses,9541000000.0,-4923000000.0,-1864000000.0,-1013000000.0,-1165000000.0
Special Income Charges,-59000000.0,-14000000.0,-45000000.0,-24000000.0,-867000000.0
Write Off,59000000.0,14000000.0,45000000.0,24000000.0,867000000.0
Gain On Sale Of Security,385000000.0,999000000.0,48000000.0,411000000.0,-262000000.0
Net Non Operating Interest Income Expense,104000000.0,278000000.0,154000000.0,3000000.0,6000000.0
Interest Expense Non Operating,736000000.0,698000000.0,615000000.0,594000000.0,594000000.0
Interest Income Non Operating,840000000.0,976000000.0,769000000.0,597000000.0,600000000.0
Operating Income,38275000000.0,37961000000.0,34323000000.0,32000000000.0,31653000000.0
Operating Expense,17020000000.0,15669000000.0,18104000000.0,16147000000.0,16180000000.0
Research And Development,8504000000.0,8146000000.0,8829000000.0,8198000000.0,7917000000.0
Selling General And Administration,8516000000.0,7523000000.0,9275000000.0,7949000000.0,8263000000.0
Selling And Marketing Expense,6584000000.0,5717000000.0,7285000000.0,6212000000.0,6440000000.0
General And Administrative Expense,1932000000.0,1806000000.0,1990000000.0,1737000000.0,1823000000.0
Other Gand A,1932000000.0,1806000000.0,1990000000.0,1737000000.0,1823000000.0
Gross Profit,55295000000.0,53630000000.0,52427000000.0,48147000000.0,47833000000.0
Cost Of Revenue,25978000000.0,24043000000.0,24014000000.0,21919000000.0,21799000000.0
Total Revenue,81273000000.0,77673000000.0,76441000000.0,70066000000.0,69632000000.0
Operating Revenue,81273000000.0,77673000000.0,76441000000.0,70066000000.0,69632000000.0
