,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1872307000.0,2660455000.0,2267369000.0,2660922000.0,1378220000.0,
Repurchase Of Capital Stock,-2079559000.0,-1856885000.0,-1654327000.0,-3536396000.0,-963748000.0,
Repayment Of Debt,0.0,0.0,-1033450000.0,-800000000.0,0.0,
Issuance Of Debt,0.0,0.0,,,0.0,1794460000.0
Issuance Of Capital Stock,76082000.0,70215000.0,169066000.0,351602000.0,302012000.0,
Capital Expenditure,-239335000.0,-164719000.0,-155889000.0,-128277000.0,-158674000.0,
End Cash Position,9039194000.0,9290868000.0,8180573000.0,7204028000.0,7807337000.0,
Beginning Cash Position,9290868000.0,8180573000.0,7204028000.0,7807337000.0,7459085000.0,
Effect Of Exchange Rate Changes,-29377000.0,-21721000.0,287471000.0,150146000.0,-351270000.0,
Changes In Cash,-222297000.0,1132016000.0,689074000.0,-753455000.0,699522000.0,
Financing Cash Flow,-2077410000.0,-1737029000.0,-2502868000.0,-4028316000.0,-678698000.0,
Cash Flow From Continuing Financing Activities,-2077410000.0,-1737029000.0,-2502868000.0,-4028316000.0,-678698000.0,
Net Other Financing Charges,-73933000.0,49641000.0,15843000.0,-43522000.0,-16962000.0,
Net Common Stock Issuance,-2003477000.0,-1786670000.0,-1485261000.0,-3184794000.0,-661736000.0,
Common Stock Payments,-2079559000.0,-1856885000.0,-1654327000.0,-3536396000.0,-963748000.0,
Common Stock Issuance,76082000.0,70215000.0,169066000.0,351602000.0,302012000.0,
Net Issuance Payments Of Debt,0.0,0.0,-1033450000.0,-800000000.0,0.0,
Net Long Term Debt Issuance,0.0,0.0,-1033450000.0,-800000000.0,0.0,
Long Term Debt Payments,0.0,0.0,-1033450000.0,-800000000.0,0.0,
Long Term Debt Issuance,0.0,0.0,,,0.0,1794460000.0
Investing Cash Flow,-256529000.0,43871000.0,768684000.0,485662000.0,-158674000.0,
Cash Flow From Continuing Investing Activities,-256529000.0,43871000.0,768684000.0,485662000.0,-158674000.0,
Net Other Investing Changes,,36190000.0,-36190000.0,,,
Net Investment Purchase And Sale,0.0,172400000.0,960763000.0,613939000.0,0.0,
Sale Of Investment,8450000.0,176250000.0,962413000.0,769954000.0,0.0,
Purchase Of Investment,-8450000.0,-3850000.0,-1650000.0,-156015000.0,0.0,
Net PPE Purchase And Sale,-239335000.0,-164719000.0,-155889000.0,-128277000.0,-158674000.0,
Purchase Of PPE,-239335000.0,-164719000.0,-155889000.0,-128277000.0,-158674000.0,
Operating Cash Flow,2111642000.0,2825174000.0,2423258000.0,2789199000.0,1536894000.0,
Cash Flow From Continuing Operating Activities,2111642000.0,2825174000.0,2423258000.0,2789199000.0,1536894000.0,
Change In Working Capital,-252362000.0,575750000.0,-684861000.0,-94747000.0,-70461000.0,
Change In Other Working Capital,-192127000.0,-101255000.0,-251989000.0,6633000.0,-159383000.0,
Change In Other Current Assets,-313014000.0,-169597000.0,-176683000.0,-131367000.0,-41866000.0,
Change In Payables And Accrued Expense,252779000.0,846602000.0,-256189000.0,29987000.0,130788000.0,
Change In Accrued Expense,134889000.0,707151000.0,-267235000.0,306413000.0,-124591000.0,
Change In Payable,117890000.0,139451000.0,11046000.0,-276426000.0,255379000.0,
Change In Account Payable,117890000.0,139451000.0,11046000.0,-276426000.0,255379000.0,
Other Non Cash Items,-4866718000.0,-4487380000.0,-3929726000.0,-3846180000.0,-4438012000.0,
Stock Based Compensation,134624000.0,80986000.0,80862000.0,71977000.0,61827000.0,
Deferred Tax,-162912000.0,20539000.0,-135755000.0,-163928000.0,-73252000.0,
Deferred Income Tax,-162912000.0,20539000.0,-135755000.0,-163928000.0,-73252000.0,
Depreciation Amortization Depletion,4850219000.0,4090070000.0,3912087000.0,3903179000.0,4241040000.0,
Depreciation And Amortization,4850219000.0,4090070000.0,3912087000.0,3903179000.0,4241040000.0,
Amortization Cash Flow,4764236000.0,4002744000.0,3832074000.0,3823112000.0,4161501000.0,
Amortization Of Intangibles,4764236000.0,4002744000.0,3832074000.0,3823112000.0,4161501000.0,
Depreciation,85983000.0,87326000.0,80013000.0,80067000.0,79539000.0,
Operating Gains Losses,-9730000.0,-1707000.0,55238000.0,28547000.0,-52855000.0,
Net Foreign Currency Exchange Gain Loss,-9730000.0,-1707000.0,55238000.0,28547000.0,-52855000.0,
Net Income From Continuing Operations,2418521000.0,2546916000.0,3125413000.0,2890351000.0,1868607000.0,
