,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Ordinary Shares Number,1479887752.0,1479887752.0,1476903492.0,1476000000.0,1476887752.0,,
Share Issued,1479887752.0,1479887752.0,1476903492.0,1476000000.0,1476887752.0,,
Net Debt,1369000000.0,1041000000.0,976000000.0,502000000.0,359000000.0,,
Total Debt,11178000000.0,11282000000.0,11061000000.0,11018000000.0,11911000000.0,,
Tangible Book Value,13591000000.0,13586000000.0,12969000000.0,12714000000.0,13509000000.0,,
Invested Capital,22119000000.0,22100000000.0,21468000000.0,21179000000.0,22967000000.0,,
Working Capital,12346000000.0,12375000000.0,12987000000.0,12796000000.0,13386000000.0,,
Net Tangible Assets,13591000000.0,13586000000.0,12969000000.0,12714000000.0,13509000000.0,,
Capital Lease Obligations,3149000000.0,3267000000.0,3061000000.0,3052000000.0,2951000000.0,,
Common Stock Equity,14090000000.0,14085000000.0,13468000000.0,13213000000.0,14007000000.0,,
Total Capitalization,21120000000.0,21101000000.0,21464000000.0,21174000000.0,21963000000.0,,
Total Equity Gross Minority Interest,14090000000.0,14085000000.0,13468000000.0,13213000000.0,14007000000.0,,
Stockholders Equity,14090000000.0,14085000000.0,13468000000.0,13213000000.0,14007000000.0,,
Gains Losses Not Affecting Retained Earnings,-207000000.0,-104000000.0,-308000000.0,-258000000.0,263000000.0,,
Other Equity Adjustments,-207000000.0,-104000000.0,-308000000.0,-258000000.0,263000000.0,,
Retained Earnings,-610000000.0,-519000000.0,-700000000.0,-727000000.0,-175000000.0,,
Additional Paid In Capital,14904000000.0,14705000000.0,14473000000.0,14195000000.0,13916000000.0,,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
Total Liabilities Net Minority Interest,22974000000.0,23702000000.0,23866000000.0,23366000000.0,23786000000.0,,
Total Non Current Liabilities Net Minority Interest,12136000000.0,12062000000.0,12955000000.0,12800000000.0,12563000000.0,,
Other Non Current Liabilities,2450000000.0,2292000000.0,2404000000.0,2289000000.0,2130000000.0,,
Preferred Securities Outside Stock Equity,0.0,0.0,0.0,0.0,0.0,,
Long Term Debt And Capital Lease Obligation,9686000000.0,9770000000.0,10551000000.0,10511000000.0,10433000000.0,,
Long Term Capital Lease Obligation,2656000000.0,2754000000.0,2555000000.0,2550000000.0,2477000000.0,,
Long Term Debt,7030000000.0,7016000000.0,7996000000.0,7961000000.0,7956000000.0,,
Current Liabilities,10838000000.0,11640000000.0,10911000000.0,10566000000.0,11223000000.0,,
Current Debt And Capital Lease Obligation,1492000000.0,1512000000.0,510000000.0,507000000.0,1478000000.0,,
Current Capital Lease Obligation,493000000.0,513000000.0,506000000.0,502000000.0,474000000.0,,
Current Debt,999000000.0,999000000.0,4000000.0,5000000.0,1004000000.0,,
Other Current Borrowings,999000000.0,999000000.0,,,1000000000.0,1000000000.0,1000000000.0
Current Notes Payable,0.0,0.0,4000000.0,5000000.0,4000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,1544000000.0,1236000000.0,1244000000.0,1726000000.0,1708000000.0,,
Current Provisions,1658000000.0,1748000000.0,1788000000.0,1834000000.0,1682000000.0,,
Payables And Accrued Expenses,6144000000.0,7144000000.0,7369000000.0,6499000000.0,6355000000.0,,
Current Accrued Expenses,2365000000.0,2320000000.0,2292000000.0,1753000000.0,1917000000.0,,
Payables,3779000000.0,4824000000.0,5077000000.0,4746000000.0,4438000000.0,,
Dividends Payable,616000000.0,615000000.0,599000000.0,598000000.0,598000000.0,,
Total Tax Payable,275000000.0,492000000.0,706000000.0,669000000.0,734000000.0,,
Income Tax Payable,275000000.0,492000000.0,706000000.0,669000000.0,734000000.0,,
Accounts Payable,2888000000.0,3717000000.0,3772000000.0,3479000000.0,3106000000.0,,
Total Assets,37064000000.0,37787000000.0,37334000000.0,36579000000.0,37793000000.0,,
Total Non Current Assets,13880000000.0,13772000000.0,13436000000.0,13217000000.0,13184000000.0,,
Other Non Current Assets,5729000000.0,5536000000.0,5349000000.0,5178000000.0,5355000000.0,,
Goodwill And Other Intangible Assets,499000000.0,499000000.0,499000000.0,499000000.0,498000000.0,,
Other Intangible Assets,259000000.0,259000000.0,259000000.0,259000000.0,259000000.0,,
Goodwill,240000000.0,240000000.0,240000000.0,240000000.0,239000000.0,,
Net PPE,7652000000.0,7737000000.0,7588000000.0,7540000000.0,7331000000.0,,
Accumulated Depreciation,,,,-6104000000.0,,,
Gross PPE,7652000000.0,7737000000.0,7588000000.0,13644000000.0,7331000000.0,,
Leases,,,,2037000000.0,,,
Construction In Progress,,,,404000000.0,,,
Other Properties,7652000000.0,7737000000.0,7588000000.0,2712000000.0,7331000000.0,,
Machinery Furniture Equipment,,,,4647000000.0,,,
Buildings And Improvements,,,,3510000000.0,,,
