,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
Free Cash Flow,284000000.0,386000000.0,15000000.0,363000000.0,1711000000.0
Repurchase Of Capital Stock,0.0,-20000000.0,-126000000.0,-199000000.0,-506000000.0
Capital Expenditure,-146000000.0,-193000000.0,-207000000.0,-100000000.0,-81000000.0
End Cash Position,6660000000.0,6974000000.0,7024000000.0,7464000000.0,8601000000.0
Beginning Cash Position,6974000000.0,7024000000.0,7464000000.0,8601000000.0,7979000000.0
Effect Of Exchange Rate Changes,25000000.0,-1000000.0,-5000000.0,30000000.0,-15000000.0
Changes In Cash,-339000000.0,-49000000.0,-435000000.0,-1167000000.0,637000000.0
Financing Cash Flow,-601000000.0,-579000000.0,-598000000.0,-1644000000.0,-1106000000.0
Cash Flow From Continuing Financing Activities,-601000000.0,-579000000.0,-598000000.0,-1644000000.0,-1106000000.0
Net Other Financing Charges,-9000000.0,-65000000.0,-7000000.0,-6000000.0,-16000000.0
Proceeds From Stock Option Exercised,17000000.0,107000000.0,127000000.0,151000000.0,55000000.0
Cash Dividends Paid,-609000000.0,-598000000.0,-591000000.0,-591000000.0,-594000000.0
Net Common Stock Issuance,0.0,-20000000.0,-126000000.0,-199000000.0,-506000000.0
Common Stock Payments,0.0,-20000000.0,-126000000.0,-199000000.0,-506000000.0
Net Issuance Payments Of Debt,0.0,-3000000.0,-1000000.0,-999000000.0,-45000000.0
Net Short Term Debt Issuance,0.0,-3000000.0,-1000000.0,1000000.0,-45000000.0
Investing Cash Flow,-168000000.0,-49000000.0,-59000000.0,14000000.0,-49000000.0
Cash Flow From Continuing Investing Activities,-168000000.0,-49000000.0,-59000000.0,14000000.0,-49000000.0
Net Other Investing Changes,-60000000.0,,,0.0,-2000000.0
Net Investment Purchase And Sale,38000000.0,147000000.0,148000000.0,114000000.0,34000000.0
Sale Of Investment,291000000.0,428000000.0,503000000.0,684000000.0,614000000.0
Purchase Of Investment,-253000000.0,-281000000.0,-355000000.0,-570000000.0,-580000000.0
Net PPE Purchase And Sale,-146000000.0,-193000000.0,-207000000.0,-100000000.0,-81000000.0
Purchase Of PPE,-146000000.0,-193000000.0,-207000000.0,-100000000.0,-81000000.0
Operating Cash Flow,430000000.0,579000000.0,222000000.0,463000000.0,1792000000.0
Cash Flow From Continuing Operating Activities,430000000.0,579000000.0,222000000.0,463000000.0,1792000000.0
Change In Working Capital,-383000000.0,-546000000.0,-897000000.0,-139000000.0,733000000.0
Change In Payables And Accrued Expense,-1211000000.0,-369000000.0,93000000.0,-276000000.0,-119000000.0
Change In Payable,-1211000000.0,-369000000.0,93000000.0,-276000000.0,-119000000.0
Change In Account Payable,-1211000000.0,-369000000.0,93000000.0,-276000000.0,-119000000.0
Change In Prepaid Assets,149000000.0,276000000.0,-165000000.0,11000000.0,-375000000.0
Change In Inventory,281000000.0,353000000.0,-610000000.0,219000000.0,448000000.0
Change In Receivables,398000000.0,-806000000.0,-215000000.0,-93000000.0,779000000.0
Changes In Account Receivables,398000000.0,-806000000.0,-215000000.0,-93000000.0,779000000.0
Stock Based Compensation,194000000.0,176000000.0,185000000.0,165000000.0,169000000.0
Deferred Tax,-64000000.0,-43000000.0,-25000000.0,16000000.0,-116000000.0
Deferred Income Tax,-64000000.0,-43000000.0,-25000000.0,16000000.0,-116000000.0
Depreciation Amortization Depletion,216000000.0,180000000.0,198000000.0,197000000.0,242000000.0
Depreciation And Amortization,216000000.0,180000000.0,198000000.0,197000000.0,242000000.0
Amortization Cash Flow,31000000.0,1000000.0,8000000.0,-2000000.0,44000000.0
Amortization Of Intangibles,31000000.0,1000000.0,8000000.0,-2000000.0,44000000.0
Depreciation,185000000.0,179000000.0,190000000.0,199000000.0,198000000.0
Operating Gains Losses,-53000000.0,20000000.0,34000000.0,13000000.0,-30000000.0
Net Foreign Currency Exchange Gain Loss,-53000000.0,20000000.0,34000000.0,13000000.0,-30000000.0
Net Income From Continuing Operations,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
