,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.2,0.207207,0.211497,0.336478,0.059242
Normalized EBITDA,769000000.0,1186000000.0,1125000000.0,518000000.0,1030000000.0
Net Income From Continuing Operation Net Minority Interest,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Reconciled Depreciation,216000000.0,180000000.0,198000000.0,197000000.0,242000000.0
Reconciled Cost Of Revenue,6749000000.0,7382000000.0,6777000000.0,6628000000.0,6594000000.0
EBITDA,769000000.0,1186000000.0,1125000000.0,518000000.0,1030000000.0
EBIT,553000000.0,1006000000.0,927000000.0,321000000.0,788000000.0
Net Interest Income,15000000.0,9000000.0,18000000.0,22000000.0,18000000.0
Normalized Income,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Net Income From Continuing And Discontinued Operation,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Total Expenses,10726000000.0,11421000000.0,10793000000.0,10776000000.0,10481000000.0
Diluted Average Shares,1481600000.0,1481000000.0,1479000000.0,1477700000.0,1480600000.0
Basic Average Shares,1480500000.0,1479500000.0,1476600000.0,1476700000.0,1478100000.0
Diluted EPS,0.35,0.53,0.49,0.14,0.54
Basic EPS,0.35,0.54,0.49,0.14,0.54
Diluted NI Availto Com Stockholders,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Net Income Common Stockholders,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Net Income,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Net Income Including Noncontrolling Interests,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Net Income Continuous Operations,520000000.0,792000000.0,727000000.0,211000000.0,794000000.0
Tax Provision,130000000.0,207000000.0,195000000.0,107000000.0,50000000.0
Pretax Income,650000000.0,999000000.0,922000000.0,318000000.0,844000000.0
Other Income Expense,82000000.0,-16000000.0,-23000000.0,-25000000.0,38000000.0
Other Non Operating Income Expenses,82000000.0,-16000000.0,-23000000.0,-25000000.0,38000000.0
Net Non Operating Interest Income Expense,15000000.0,9000000.0,18000000.0,22000000.0,18000000.0
Total Other Finance Cost,-15000000.0,-9000000.0,-18000000.0,-22000000.0,-18000000.0
Operating Income,553000000.0,1006000000.0,927000000.0,321000000.0,788000000.0
Operating Expense,3977000000.0,4039000000.0,4016000000.0,4148000000.0,3887000000.0
Selling General And Administration,3977000000.0,4039000000.0,4016000000.0,4148000000.0,3887000000.0
Selling And Marketing Expense,1090000000.0,1273000000.0,1188000000.0,1253000000.0,1088000000.0
General And Administrative Expense,2887000000.0,2766000000.0,2828000000.0,2895000000.0,2799000000.0
Other Gand A,2887000000.0,2766000000.0,2828000000.0,2895000000.0,2799000000.0
Gross Profit,4530000000.0,5045000000.0,4943000000.0,4469000000.0,4675000000.0
Cost Of Revenue,6749000000.0,7382000000.0,6777000000.0,6628000000.0,6594000000.0
Total Revenue,11279000000.0,12427000000.0,11720000000.0,11097000000.0,11269000000.0
Operating Revenue,11279000000.0,12427000000.0,11720000000.0,11097000000.0,11269000000.0
