,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-18189542.48366,-21021000.0,-12880000.0,27727000.0,-8405172.413793,
Tax Rate For Calcs,0.15817,0.231,0.23,0.233,0.210129,
Normalized EBITDA,1428000000.0,1560000000.0,1601000000.0,1404000000.0,1509000000.0,
Total Unusual Items,-115000000.0,-91000000.0,-56000000.0,119000000.0,-40000000.0,
Total Unusual Items Excluding Goodwill,-115000000.0,-91000000.0,-56000000.0,119000000.0,-40000000.0,
Net Income From Continuing Operation Net Minority Interest,644000000.0,711000000.0,768000000.0,750000000.0,733000000.0,
Reconciled Depreciation,353000000.0,348000000.0,346000000.0,346000000.0,342000000.0,
Reconciled Cost Of Revenue,2005000000.0,1946000000.0,1875000000.0,1927000000.0,1859000000.0,
EBITDA,1313000000.0,1469000000.0,1545000000.0,1523000000.0,1469000000.0,
EBIT,960000000.0,1121000000.0,1199000000.0,1177000000.0,1127000000.0,
Net Interest Income,-195000000.0,-197000000.0,-201000000.0,-199000000.0,-199000000.0,
Interest Expense,195000000.0,197000000.0,201000000.0,199000000.0,199000000.0,
Normalized Income,740810457.51634,780979000.0,811120000.0,658727000.0,764594827.586207,
Net Income From Continuing And Discontinued Operation,644000000.0,711000000.0,768000000.0,750000000.0,733000000.0,
Total Expenses,1816000000.0,1914000000.0,1879000000.0,1966000000.0,1716000000.0,
Rent Expense Supplemental,,105000000.0,111000000.0,,,92000000.0
Total Operating Income As Reported,937000000.0,1098000000.0,1175000000.0,1146000000.0,1131000000.0,
Diluted Average Shares,224800000.0,224700000.0,225200000.0,226500000.0,226700000.0,
Basic Average Shares,224420699.0,224386617.0,224614894.0,225443501.0,226320894.0,
Diluted EPS,2.869611,3.16,3.41,3.31,3.23,
Basic EPS,2.869611,3.168638,3.419186,3.326776,3.238764,
Diluted NI Availto Com Stockholders,643000000.0,711000000.0,767000000.0,749000000.0,732000000.0,
Net Income Common Stockholders,643000000.0,711000000.0,767000000.0,749000000.0,732000000.0,
Preferred Stock Dividends,,,1000000.0,1000000.0,,
Net Income,644000000.0,711000000.0,768000000.0,750000000.0,733000000.0,
Net Income Including Noncontrolling Interests,644000000.0,711000000.0,768000000.0,750000000.0,733000000.0,
Net Income Continuous Operations,644000000.0,711000000.0,768000000.0,750000000.0,733000000.0,
Tax Provision,121000000.0,213000000.0,230000000.0,228000000.0,195000000.0,
Pretax Income,765000000.0,924000000.0,998000000.0,978000000.0,928000000.0,
Other Income Expense,-198000000.0,-68000000.0,-32000000.0,150000000.0,-181000000.0,
Other Non Operating Income Expenses,-83000000.0,23000000.0,24000000.0,31000000.0,-141000000.0,
Special Income Charges,-115000000.0,-91000000.0,-56000000.0,119000000.0,-40000000.0,
Gain On Sale Of Ppe,,,-34000000.0,,,
Other Special Charges,50000000.0,64000000.0,12000000.0,-119000000.0,13000000.0,
Restructuring And Mergern Acquisition,65000000.0,27000000.0,10000000.0,0.0,27000000.0,
Net Non Operating Interest Income Expense,-195000000.0,-197000000.0,-201000000.0,-199000000.0,-199000000.0,
Interest Expense Non Operating,195000000.0,197000000.0,201000000.0,199000000.0,199000000.0,
Operating Income,1158000000.0,1189000000.0,1231000000.0,1027000000.0,1308000000.0,
Operating Expense,-189000000.0,-32000000.0,4000000.0,39000000.0,-143000000.0,
Other Operating Expenses,-103000000.0,-32000000.0,4000000.0,39000000.0,-23000000.0,
Gross Profit,969000000.0,1157000000.0,1235000000.0,1066000000.0,1165000000.0,
Cost Of Revenue,2005000000.0,1946000000.0,1875000000.0,1927000000.0,1859000000.0,
Total Revenue,2974000000.0,3103000000.0,3110000000.0,2993000000.0,3024000000.0,
Operating Revenue,2974000000.0,3103000000.0,3110000000.0,2993000000.0,3024000000.0,
