,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,24304000000.0,24305000000.0,24347000000.0,24387557065.0,24477000000.0,,
Share Issued,24304000000.0,24305000000.0,24347000000.0,24387557065.0,24477000000.0,,
Total Debt,11040000000.0,10481000000.0,10598000000.0,10285000000.0,9982000000.0,,
Tangible Book Value,133155000000.0,111700000000.0,93621000000.0,77576000000.0,73332000000.0,,
Invested Capital,165761000000.0,127364000000.0,108597000000.0,92307000000.0,87790000000.0,,
Working Capital,93442000000.0,90417000000.0,77962000000.0,63393000000.0,62079000000.0,,
Net Tangible Assets,133155000000.0,111700000000.0,93621000000.0,77576000000.0,73332000000.0,,
Capital Lease Obligations,2572000000.0,2014000000.0,2132000000.0,1821000000.0,1519000000.0,,
Common Stock Equity,157293000000.0,118897000000.0,100131000000.0,83843000000.0,79327000000.0,,
Total Capitalization,164762000000.0,126365000000.0,108597000000.0,92307000000.0,87790000000.0,,
Total Equity Gross Minority Interest,157293000000.0,118897000000.0,100131000000.0,83843000000.0,79327000000.0,,
Stockholders Equity,157293000000.0,118897000000.0,100131000000.0,83843000000.0,79327000000.0,,
Gains Losses Not Affecting Retained Earnings,178000000.0,339000000.0,170000000.0,186000000.0,28000000.0,,
Other Equity Adjustments,178000000.0,339000000.0,170000000.0,186000000.0,28000000.0,,
Retained Earnings,146973000000.0,107908000000.0,88737000000.0,72158000000.0,68038000000.0,,
Additional Paid In Capital,10118000000.0,10626000000.0,11200000000.0,11475000000.0,11237000000.0,,
Capital Stock,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0,,
Common Stock,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,49510000000.0,42251000000.0,40609000000.0,41411000000.0,32274000000.0,,
Total Non Current Liabilities Net Minority Interest,17347000000.0,16176000000.0,16352000000.0,14869000000.0,14227000000.0,,
Other Non Current Liabilities,381000000.0,376000000.0,243000000.0,177000000.0,195000000.0,,
Tradeand Other Payables Non Current,3958000000.0,3532000000.0,3406000000.0,2621000000.0,2188000000.0,,
Non Current Deferred Liabilities,2967000000.0,2786000000.0,2406000000.0,2086000000.0,1862000000.0,,
Non Current Deferred Revenue,1193000000.0,1165000000.0,1055000000.0,1004000000.0,976000000.0,,
Non Current Deferred Taxes Liabilities,1774000000.0,1621000000.0,1351000000.0,1082000000.0,886000000.0,,
Long Term Debt And Capital Lease Obligation,10041000000.0,9482000000.0,10297000000.0,9985000000.0,9982000000.0,,
Long Term Capital Lease Obligation,2572000000.0,2014000000.0,1831000000.0,1521000000.0,1519000000.0,,
Long Term Debt,7469000000.0,7468000000.0,8466000000.0,8464000000.0,8463000000.0,,
Current Liabilities,32163000000.0,26075000000.0,24257000000.0,26542000000.0,18047000000.0,,
Other Current Liabilities,1373000000.0,1196000000.0,202000000.0,228000000.0,897000000.0,,
Current Deferred Liabilities,1379000000.0,1248000000.0,980000000.0,1074000000.0,837000000.0,,
Current Deferred Revenue,1379000000.0,1248000000.0,980000000.0,1074000000.0,837000000.0,,
Current Debt And Capital Lease Obligation,999000000.0,999000000.0,301000000.0,300000000.0,288000000.0,,
Current Capital Lease Obligation,,,301000000.0,300000000.0,288000000.0,273000000.0,250000000.0
Current Debt,999000000.0,999000000.0,,,,,
Other Current Borrowings,999000000.0,,,,,,
Current Provisions,2807000000.0,2707000000.0,2245000000.0,2168000000.0,1290000000.0,,
Payables And Accrued Expenses,25605000000.0,19925000000.0,20529000000.0,22772000000.0,15023000000.0,,
Current Accrued Expenses,13124000000.0,8386000000.0,9555000000.0,9769000000.0,7832000000.0,,
Payables,12481000000.0,11539000000.0,10974000000.0,13003000000.0,7191000000.0,,
Total Tax Payable,2669000000.0,2915000000.0,1910000000.0,5672000000.0,881000000.0,,
Accounts Payable,9812000000.0,8624000000.0,9064000000.0,7331000000.0,6310000000.0,,
Total Assets,206803000000.0,161148000000.0,140740000000.0,125254000000.0,111601000000.0,,
Total Non Current Assets,81198000000.0,44656000000.0,38521000000.0,35319000000.0,31475000000.0,,
Other Non Current Assets,8301000000.0,632000000.0,272000000.0,240000000.0,3038000000.0,,
Non Current Prepaid Assets,,1536000000.0,2103000000.0,2413000000.0,2087000000.0,2387000000.0,
Non Current Deferred Assets,13258000000.0,13674000000.0,13570000000.0,13318000000.0,10979000000.0,,
Non Current Deferred Taxes Assets,13258000000.0,13674000000.0,13570000000.0,13318000000.0,10979000000.0,,
Non Current Accounts Receivable,,1369000000.0,1042000000.0,895000000.0,750000000.0,568000000.0,
Investments And Advances,22251000000.0,8187000000.0,3799000000.0,3240000000.0,3387000000.0,,
Other Investments,,,,,,2237000000.0,1819000000.0
Investmentin Financial Assets,22251000000.0,8187000000.0,3799000000.0,3240000000.0,3387000000.0,,
Available For Sale Securities,22251000000.0,8187000000.0,3799000000.0,3240000000.0,3387000000.0,,
Goodwill And Other Intangible Assets,24138000000.0,7197000000.0,6510000000.0,6267000000.0,5995000000.0,,
Other Intangible Assets,3306000000.0,936000000.0,755000000.0,769000000.0,807000000.0,,
Goodwill,20832000000.0,6261000000.0,5755000000.0,5498000000.0,5188000000.0,,
Net PPE,13250000000.0,12061000000.0,11225000000.0,8946000000.0,8076000000.0,,
Accumulated Depreciation,-6587000000.0,,,,-4401000000.0,,
