,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Free Cash Flow,-11484000000.0,-9967000000.0,-362000000.0,-2923000000.0,71000000.0,,
Repurchase Of Capital Stock,-2000000.0,-92000000.0,-112000000.0,-150000000.0,-152000000.0,,
Repayment Of Debt,-71000000.0,-832000000.0,-1290000000.0,-6070000000.0,-71000000.0,,
Issuance Of Debt,26664000000.0,17880000000.0,0.0,0.0,7711000000.0,,
Issuance Of Capital Stock,4963000000.0,138000000.0,1170000000.0,133000000.0,213000000.0,,
Capital Expenditure,-18635000000.0,-12033000000.0,-8502000000.0,-9080000000.0,-5862000000.0,,
End Cash Position,38455000000.0,19241000000.0,10445000000.0,10786000000.0,17406000000.0,,
Beginning Cash Position,19241000000.0,10445000000.0,10786000000.0,17406000000.0,10941000000.0,,
Effect Of Exchange Rate Changes,109000000.0,-43000000.0,27000000.0,219000000.0,-51000000.0,,
Changes In Cash,19105000000.0,8839000000.0,-368000000.0,-6839000000.0,6516000000.0,,
Financing Cash Flow,31498000000.0,14487000000.0,210000000.0,-3814000000.0,6559000000.0,,
Cash Flow From Continuing Financing Activities,31498000000.0,14487000000.0,210000000.0,-3814000000.0,6559000000.0,,
Net Other Financing Charges,-12000000.0,-2058000000.0,1855000000.0,1391000000.0,-23000000.0,,
Cash Dividends Paid,-1437000000.0,-1435000000.0,-1413000000.0,-1403000000.0,-1119000000.0,,
Common Stock Dividend Paid,-1437000000.0,-1435000000.0,-1413000000.0,-1403000000.0,-1119000000.0,,
Net Common Stock Issuance,7000000.0,46000000.0,1058000000.0,-17000000.0,61000000.0,,
Common Stock Payments,-2000000.0,-92000000.0,-112000000.0,-150000000.0,-152000000.0,,
Common Stock Issuance,9000000.0,138000000.0,1170000000.0,133000000.0,213000000.0,,
Net Issuance Payments Of Debt,27986000000.0,17934000000.0,-1290000000.0,-3785000000.0,7640000000.0,,
Net Short Term Debt Issuance,1393000000.0,1124000000.0,-238000000.0,2285000000.0,0.0,,
Short Term Debt Payments,,,-238000000.0,,,,-396000000.0
Net Long Term Debt Issuance,26593000000.0,16810000000.0,-1052000000.0,-6070000000.0,7640000000.0,,
Long Term Debt Payments,-71000000.0,-1070000000.0,-1052000000.0,-6070000000.0,-71000000.0,,
Long Term Debt Issuance,26664000000.0,17880000000.0,0.0,0.0,7711000000.0,,
Investing Cash Flow,-19544000000.0,-7714000000.0,-8718000000.0,-9182000000.0,-5976000000.0,,
Cash Flow From Continuing Investing Activities,-19544000000.0,-7714000000.0,-8718000000.0,-9182000000.0,-5976000000.0,,
Net Investment Purchase And Sale,-909000000.0,4319000000.0,-216000000.0,-102000000.0,-114000000.0,,
Sale Of Investment,120000000.0,4482000000.0,255000000.0,332000000.0,88000000.0,,
Purchase Of Investment,-1029000000.0,-163000000.0,-471000000.0,-434000000.0,-202000000.0,,
Net Business Purchase And Sale,,,,0.0,0.0,,
Purchase Of Business,,,,0.0,0.0,,
Capital Expenditure Reported,-18635000000.0,-12033000000.0,-8502000000.0,-9080000000.0,-5862000000.0,,
Operating Cash Flow,7151000000.0,2066000000.0,8140000000.0,6157000000.0,5933000000.0,,
Cash Flow From Continuing Operating Activities,7151000000.0,2066000000.0,8140000000.0,6157000000.0,5933000000.0,,
Change In Working Capital,85000000.0,-4761000000.0,1639000000.0,29000000.0,620000000.0,,
Change In Other Working Capital,-217000000.0,-2083000000.0,2550000000.0,119000000.0,-419000000.0,,
Change In Payables And Accrued Expense,1502000000.0,-3249000000.0,-725000000.0,588000000.0,973000000.0,,
Change In Payable,1502000000.0,-3249000000.0,-725000000.0,588000000.0,973000000.0,,
Change In Account Payable,545000000.0,-1032000000.0,-334000000.0,25000000.0,510000000.0,,
Change In Tax Payable,957000000.0,-2217000000.0,-391000000.0,563000000.0,463000000.0,,
Change In Income Tax Payable,957000000.0,-2217000000.0,-391000000.0,563000000.0,463000000.0,,
Change In Prepaid Assets,101000000.0,1226000000.0,59000000.0,-337000000.0,-73000000.0,,
Change In Receivables,-1301000000.0,-655000000.0,-245000000.0,-341000000.0,139000000.0,,
Changes In Account Receivables,-1301000000.0,-655000000.0,-245000000.0,-341000000.0,139000000.0,,
Other Non Cash Items,,,164000000.0,245000000.0,124000000.0,168000000.0,130000000.0
Stock Based Compensation,1328000000.0,1156000000.0,1124000000.0,1300000000.0,1198000000.0,,
Deferred Tax,-627000000.0,-183000000.0,515000000.0,-540000000.0,-496000000.0,,
Deferred Income Tax,-627000000.0,-183000000.0,515000000.0,-540000000.0,-496000000.0,,
Depreciation Amortization Depletion,2566000000.0,2110000000.0,1771000000.0,1696000000.0,1551000000.0,,
Depreciation And Amortization,2566000000.0,2110000000.0,1771000000.0,1696000000.0,1551000000.0,,
Amortization Cash Flow,413000000.0,406000000.0,420000000.0,544000000.0,548000000.0,,
Amortization Of Intangibles,413000000.0,406000000.0,420000000.0,544000000.0,548000000.0,,
Depreciation,2153000000.0,1704000000.0,1351000000.0,1152000000.0,1003000000.0,,
Operating Gains Losses,78000000.0,,,,124000000.0,,
Gain Loss On Investment Securities,78000000.0,,,,124000000.0,,
Net Income From Continuing Operations,3721000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,,
