,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30
Tax Effect Of Unusual Items,-36355298.913043,66519394.512772,-72658301.721622,-30557562.620424,-27767981.438515,
Tax Rate For Calcs,0.157382,0.03264,0.1459,0.174615,0.148492,
Normalized EBITDA,8393000000.0,7471000000.0,6619000000.0,7001000000.0,6078000000.0,
Total Unusual Items,-231000000.0,2038000000.0,-498000000.0,-175000000.0,-187000000.0,
Total Unusual Items Excluding Goodwill,-231000000.0,2038000000.0,-498000000.0,-175000000.0,-187000000.0,
Net Income From Continuing Operation Net Minority Interest,3721000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Reconciled Depreciation,2566000000.0,2110000000.0,1771000000.0,1696000000.0,1551000000.0,
Reconciled Cost Of Revenue,3939000000.0,3671000000.0,3533000000.0,3589000000.0,3192000000.0,
EBITDA,8162000000.0,9509000000.0,6121000000.0,6826000000.0,5891000000.0,
EBIT,5596000000.0,7399000000.0,4350000000.0,5130000000.0,4340000000.0,
Net Interest Income,-984000000.0,-865000000.0,-820000000.0,-818000000.0,-757000000.0,
Interest Expense,1180000000.0,1057000000.0,923000000.0,978000000.0,892000000.0,
Interest Income,196000000.0,192000000.0,103000000.0,160000000.0,135000000.0,
Normalized Income,3915644701.086957,4163519394.512772,3352341698.278378,3571442437.379576,3095232018.561485,
Net Income From Continuing And Discontinued Operation,3721000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Total Expenses,11553000000.0,10900000000.0,10234000000.0,10712000000.0,9681000000.0,
Total Operating Income As Reported,5464000000.0,4731000000.0,4277000000.0,5109000000.0,4358000000.0,
Diluted Average Shares,2912000000.0,2922000000.0,2909000000.0,,2874000000.0,2869000000.0
Basic Average Shares,2874000000.0,2864000000.0,2826000000.0,,2799000000.0,2790000000.0
Diluted EPS,1.27,2.1,1.01,,1.02,1.1
Basic EPS,1.29,2.14,1.04,,1.05,1.13
Diluted NI Availto Com Stockholders,3699000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Net Income Common Stockholders,3699000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Preferred Stock Dividends,22000000.0,,,,,
Net Income,3721000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Net Income Including Noncontrolling Interests,3721000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Net Income Continuous Operations,3721000000.0,6135000000.0,2927000000.0,3427000000.0,2936000000.0,
Tax Provision,695000000.0,207000000.0,500000000.0,725000000.0,512000000.0,
Pretax Income,4416000000.0,6342000000.0,3427000000.0,4152000000.0,3448000000.0,
Other Income Expense,-237000000.0,2049000000.0,-445000000.0,-221000000.0,-244000000.0,
Other Non Operating Income Expenses,47000000.0,57000000.0,100000000.0,0.0,-9000000.0,
Special Income Charges,-173000000.0,-427000000.0,-415000000.0,-82000000.0,-91000000.0,
Restructuring And Mergern Acquisition,173000000.0,427000000.0,415000000.0,82000000.0,91000000.0,
Earnings From Equity Interest,-53000000.0,-46000000.0,-47000000.0,-46000000.0,-48000000.0,
Gain On Sale Of Security,-58000000.0,2465000000.0,-83000000.0,-93000000.0,-96000000.0,
Net Non Operating Interest Income Expense,-984000000.0,-865000000.0,-820000000.0,-818000000.0,-757000000.0,
Interest Expense Non Operating,1180000000.0,1057000000.0,923000000.0,978000000.0,892000000.0,
Interest Income Non Operating,196000000.0,192000000.0,103000000.0,160000000.0,135000000.0,
Operating Income,5637000000.0,5158000000.0,4692000000.0,5191000000.0,4449000000.0,
Operating Expense,5461000000.0,5526000000.0,5350000000.0,5971000000.0,5486000000.0,
Depreciation Amortization Depletion Income Statement,413000000.0,407000000.0,420000000.0,544000000.0,548000000.0,
Depreciation And Amortization In Income Statement,413000000.0,407000000.0,420000000.0,544000000.0,548000000.0,
Amortization,413000000.0,407000000.0,420000000.0,544000000.0,548000000.0,
Amortization Of Intangibles Income Statement,413000000.0,407000000.0,420000000.0,544000000.0,548000000.0,
Research And Development,2607000000.0,2561000000.0,2491000000.0,2654000000.0,2429000000.0,
Selling General And Administration,2441000000.0,2558000000.0,2439000000.0,2773000000.0,2509000000.0,
Selling And Marketing Expense,2052000000.0,2149000000.0,2063000000.0,2306000000.0,2119000000.0,
General And Administrative Expense,389000000.0,409000000.0,376000000.0,467000000.0,390000000.0,
Other Gand A,295000000.0,315000000.0,288000000.0,314000000.0,289000000.0,
Salaries And Wages,94000000.0,94000000.0,88000000.0,153000000.0,101000000.0,
Gross Profit,11098000000.0,10684000000.0,10042000000.0,11162000000.0,9935000000.0,
Cost Of Revenue,6092000000.0,5374000000.0,4884000000.0,4741000000.0,4195000000.0,
Total Revenue,17190000000.0,16058000000.0,14926000000.0,15903000000.0,14130000000.0,
Operating Revenue,17190000000.0,16058000000.0,14926000000.0,15903000000.0,14130000000.0,
