,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,4703000000.0,3480000000.0,1065000000.0,-1576000000.0,3819000000.0,
Repurchase Of Capital Stock,-248000000.0,-258000000.0,-311000000.0,-183000000.0,-240000000.0,
Repayment Of Debt,-3340000000.0,-3627000000.0,-1375000000.0,-3660000000.0,-2465000000.0,
Issuance Of Debt,1598000000.0,2942000000.0,3676000000.0,7534000000.0,2297000000.0,
Capital Expenditure,-1916000000.0,-992000000.0,-904000000.0,-603000000.0,-2468000000.0,
End Cash Position,9204000000.0,8171000000.0,7712000000.0,8319000000.0,8553000000.0,
Beginning Cash Position,8171000000.0,7712000000.0,8319000000.0,8553000000.0,7343000000.0,
Effect Of Exchange Rate Changes,27000000.0,-27000000.0,219000000.0,203000000.0,-296000000.0,
Changes In Cash,1006000000.0,486000000.0,-826000000.0,-437000000.0,1506000000.0,
Financing Cash Flow,-3971000000.0,-2876000000.0,100000000.0,1768000000.0,-2274000000.0,
Cash Flow From Continuing Financing Activities,-3971000000.0,-2876000000.0,100000000.0,1768000000.0,-2274000000.0,
Net Other Financing Charges,-56000000.0,-2000000.0,-37000000.0,-91000000.0,-34000000.0,
Proceeds From Stock Option Exercised,21000000.0,18000000.0,8000000.0,50000000.0,28000000.0,
Cash Dividends Paid,-1946000000.0,-1949000000.0,-1861000000.0,-1882000000.0,-1860000000.0,
Common Stock Dividend Paid,-1946000000.0,-1949000000.0,-1861000000.0,-1882000000.0,-1860000000.0,
Net Common Stock Issuance,-248000000.0,-258000000.0,-311000000.0,-183000000.0,-240000000.0,
Common Stock Payments,-248000000.0,-258000000.0,-311000000.0,-183000000.0,-240000000.0,
Net Issuance Payments Of Debt,-1742000000.0,-685000000.0,2301000000.0,3874000000.0,-168000000.0,
Net Short Term Debt Issuance,-915000000.0,-4641000000.0,3287000000.0,1910000000.0,807000000.0,
Short Term Debt Payments,-2503000000.0,-2925000000.0,-373000000.0,-2119000000.0,-1462000000.0,
Short Term Debt Issuance,1588000000.0,-1716000000.0,3660000000.0,4029000000.0,2269000000.0,
Net Long Term Debt Issuance,-827000000.0,3956000000.0,-986000000.0,1964000000.0,-975000000.0,
Long Term Debt Payments,-837000000.0,-702000000.0,-1002000000.0,-1541000000.0,-1003000000.0,
Long Term Debt Issuance,10000000.0,4658000000.0,16000000.0,3505000000.0,28000000.0,
Investing Cash Flow,-1642000000.0,-1110000000.0,-2895000000.0,-1232000000.0,-2507000000.0,
Cash Flow From Continuing Investing Activities,-1642000000.0,-1110000000.0,-2895000000.0,-1232000000.0,-2507000000.0,
Net Other Investing Changes,17000000.0,-6000000.0,-107000000.0,-4000000.0,-1000000.0,
Net Investment Purchase And Sale,182000000.0,-169000000.0,6000000.0,441000000.0,1000000.0,
Sale Of Investment,182000000.0,21000000.0,6000000.0,441000000.0,1000000.0,
Purchase Of Investment,0.0,,,,0.0,-425000000.0
Net Business Purchase And Sale,-181000000.0,-46000000.0,-1927000000.0,-1198000000.0,-204000000.0,
Sale Of Business,34000000.0,0.0,3000000.0,2000000.0,21000000.0,
Purchase Of Business,-215000000.0,-46000000.0,-1930000000.0,-1200000000.0,-225000000.0,
Net PPE Purchase And Sale,256000000.0,103000000.0,37000000.0,132000000.0,165000000.0,
Sale Of PPE,256000000.0,103000000.0,37000000.0,132000000.0,165000000.0,
Capital Expenditure Reported,-1916000000.0,-992000000.0,-904000000.0,-603000000.0,-2468000000.0,
Operating Cash Flow,6619000000.0,4472000000.0,1969000000.0,-973000000.0,6287000000.0,
Cash Flow From Continuing Operating Activities,6619000000.0,4472000000.0,1969000000.0,-973000000.0,6287000000.0,
Taxes Refund Paid,0.0,0.0,,,0.0,0.0
Change In Working Capital,2415000000.0,344000000.0,-1093000000.0,-3311000000.0,2403000000.0,
Change In Payables And Accrued Expense,531000000.0,27000000.0,780000000.0,-2448000000.0,602000000.0,
Change In Payable,531000000.0,27000000.0,780000000.0,-2448000000.0,602000000.0,
Change In Account Payable,970000000.0,436000000.0,588000000.0,-2671000000.0,1151000000.0,
Change In Tax Payable,-439000000.0,-409000000.0,192000000.0,223000000.0,-549000000.0,
Change In Income Tax Payable,-439000000.0,-409000000.0,192000000.0,223000000.0,-549000000.0,
Change In Prepaid Assets,418000000.0,131000000.0,-47000000.0,-307000000.0,240000000.0,
Change In Inventory,299000000.0,351000000.0,-562000000.0,-238000000.0,178000000.0,
Change In Receivables,1167000000.0,-165000000.0,-1264000000.0,-318000000.0,1383000000.0,
Other Non Cash Items,-64000000.0,-41000000.0,-101000000.0,-572000000.0,-147000000.0,
Stock Based Compensation,81000000.0,76000000.0,54000000.0,77000000.0,102000000.0,
Asset Impairment Charge,-123000000.0,122000000.0,1945000000.0,2000000.0,784000000.0,
Deferred Tax,41000000.0,290000000.0,-371000000.0,111000000.0,52000000.0,
Deferred Income Tax,41000000.0,290000000.0,-371000000.0,111000000.0,52000000.0,
Depreciation Amortization Depletion,1374000000.0,998000000.0,977000000.0,829000000.0,1259000000.0,
Depreciation And Amortization,1374000000.0,998000000.0,977000000.0,829000000.0,1259000000.0,
Depreciation,1374000000.0,998000000.0,977000000.0,829000000.0,1259000000.0,
Operating Gains Losses,340000000.0,65000000.0,51000000.0,48000000.0,300000000.0,
Pension And Employee Benefit Expense,340000000.0,65000000.0,51000000.0,48000000.0,300000000.0,
Net Income From Continuing Operations,2555000000.0,2618000000.0,1279000000.0,1843000000.0,1534000000.0,
