,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-28468628.039628,-345716104.392107,0.0,0.0,
Tax Rate For Calcs,0.148333,0.21405,0.185869,0.213,0.152018,
Normalized EBITDA,4707000000.0,4726000000.0,4668000000.0,3435000000.0,3332000000.0,
Total Unusual Items,0.0,-133000000.0,-1860000000.0,,,
Total Unusual Items Excluding Goodwill,0.0,-133000000.0,-1860000000.0,,,
Net Income From Continuing Operation Net Minority Interest,2540000000.0,2603000000.0,1263000000.0,1834000000.0,1523000000.0,
Reconciled Depreciation,1374000000.0,998000000.0,977000000.0,829000000.0,1259000000.0,
Reconciled Cost Of Revenue,13723000000.0,11113000000.0,10304000000.0,7926000000.0,13181000000.0,
EBITDA,4707000000.0,4593000000.0,2808000000.0,3435000000.0,3332000000.0,
EBIT,3333000000.0,3595000000.0,1831000000.0,2606000000.0,2073000000.0,
Net Interest Income,-333000000.0,-264000000.0,-260000000.0,-264000000.0,-264000000.0,
Interest Expense,333000000.0,264000000.0,260000000.0,264000000.0,264000000.0,
Normalized Income,2540000000.0,2707531371.960372,2777283895.607893,1834000000.0,1523000000.0,
Net Income From Continuing And Discontinued Operation,2540000000.0,2603000000.0,1263000000.0,1834000000.0,1523000000.0,
Total Expenses,25786000000.0,20235000000.0,19077000000.0,15336000000.0,25501000000.0,
Total Operating Income As Reported,3557000000.0,3569000000.0,1789000000.0,2583000000.0,2250000000.0,
Diluted Average Shares,1371000000.0,1372000000.0,1373000000.0,1376000000.0,1377000000.0,
Basic Average Shares,1367340122.0,1369000000.0,1371000000.0,1372000000.0,1371989025.0,
Diluted EPS,1.85,1.9,0.92,1.33,1.11,
Basic EPS,1.857621,1.9,0.92,1.34,1.110067,
Diluted NI Availto Com Stockholders,2540000000.0,2603000000.0,1263000000.0,1834000000.0,1523000000.0,
Average Dilution Earnings,,0.0,0.0,0.0,,0.0
Net Income Common Stockholders,2540000000.0,2603000000.0,1263000000.0,1834000000.0,1523000000.0,
Net Income,2540000000.0,2603000000.0,1263000000.0,1834000000.0,1523000000.0,
Minority Interests,-15000000.0,-15000000.0,-16000000.0,-9000000.0,-11000000.0,
Net Income Including Noncontrolling Interests,2555000000.0,2618000000.0,1279000000.0,1843000000.0,1534000000.0,
Net Income Continuous Operations,2555000000.0,2618000000.0,1279000000.0,1843000000.0,1534000000.0,
Tax Provision,445000000.0,713000000.0,292000000.0,499000000.0,275000000.0,
Pretax Income,3000000000.0,3331000000.0,1571000000.0,2342000000.0,1809000000.0,
Other Income Expense,-224000000.0,-107000000.0,-1818000000.0,23000000.0,-210000000.0,
Other Non Operating Income Expenses,-224000000.0,26000000.0,42000000.0,23000000.0,-177000000.0,
Special Income Charges,0.0,-133000000.0,-1860000000.0,,,
Impairment Of Capital Assets,0.0,133000000.0,1860000000.0,,,
Net Non Operating Interest Income Expense,-333000000.0,-264000000.0,-260000000.0,-264000000.0,-264000000.0,
Interest Expense Non Operating,333000000.0,264000000.0,260000000.0,264000000.0,264000000.0,
Operating Income,3557000000.0,3702000000.0,3649000000.0,2583000000.0,2283000000.0,
Operating Expense,12063000000.0,9122000000.0,8773000000.0,7410000000.0,12320000000.0,
Selling General And Administration,12063000000.0,9122000000.0,8773000000.0,7410000000.0,12320000000.0,
Gross Profit,15620000000.0,12824000000.0,12422000000.0,9993000000.0,14603000000.0,
Cost Of Revenue,13723000000.0,11113000000.0,10304000000.0,7926000000.0,13181000000.0,
Total Revenue,29343000000.0,23937000000.0,22726000000.0,17919000000.0,27784000000.0,
Operating Revenue,29343000000.0,23937000000.0,22726000000.0,17919000000.0,27784000000.0,
