,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,4503000000.0,4001000000.0,-1200000000.0,1771000000.0,5804000000.0,
Repayment Of Debt,-2906000000.0,6000000.0,-4418000000.0,-2434000000.0,-3452000000.0,
Issuance Of Debt,5991000000.0,0.0,3687000000.0,0.0,732000000.0,
Capital Expenditure,-845000000.0,-602000000.0,-618000000.0,-564000000.0,-917000000.0,
Interest Paid Supplemental Data,981000000.0,275000000.0,1130000000.0,353000000.0,1394000000.0,
Income Tax Paid Supplemental Data,1017000000.0,178000000.0,3341000000.0,152000000.0,433000000.0,
End Cash Position,1197000000.0,1394000000.0,1694000000.0,1481000000.0,1107000000.0,
Beginning Cash Position,1394000000.0,1694000000.0,1481000000.0,1107000000.0,1152000000.0,
Effect Of Exchange Rate Changes,5000000.0,2000000.0,41000000.0,-7000000.0,-29000000.0,
Changes In Cash,-202000000.0,-302000000.0,172000000.0,381000000.0,-16000000.0,
Financing Cash Flow,596000000.0,-2477000000.0,-3196000000.0,-5227000000.0,-5114000000.0,
Cash Flow From Continuing Financing Activities,597000000.0,-2476000000.0,-3197000000.0,-5227000000.0,-5114000000.0,
Net Other Financing Charges,-44000000.0,-39000000.0,-20000000.0,-356000000.0,-14000000.0,
Cash Dividends Paid,-2445000000.0,-2444000000.0,-2445000000.0,-2437000000.0,-2380000000.0,
Common Stock Dividend Paid,-2445000000.0,-2444000000.0,-2445000000.0,-2437000000.0,-2380000000.0,
Net Issuance Payments Of Debt,3085000000.0,6000000.0,-731000000.0,-2434000000.0,-2720000000.0,
Net Short Term Debt Issuance,101000000.0,6000000.0,-668000000.0,-2434000000.0,-2720000000.0,
Short Term Debt Payments,101000000.0,6000000.0,-668000000.0,-2434000000.0,-3452000000.0,
Short Term Debt Issuance,0.0,0.0,0.0,0.0,732000000.0,
Net Long Term Debt Issuance,2984000000.0,0.0,-63000000.0,0.0,0.0,
Long Term Debt Payments,-3007000000.0,0.0,-3750000000.0,0.0,0.0,
Long Term Debt Issuance,5991000000.0,0.0,,,0.0,0.0
Investing Cash Flow,-6146000000.0,-2430000000.0,3951000000.0,3274000000.0,-1623000000.0,
Cash Flow From Continuing Investing Activities,-6146000000.0,-2428000000.0,3948000000.0,3275000000.0,-1620000000.0,
Net Other Investing Changes,-137000000.0,12000000.0,-9000000.0,299000000.0,,6000000.0
Net Investment Purchase And Sale,1763000000.0,-1840000000.0,4578000000.0,-2772000000.0,-4267000000.0,
Sale Of Investment,5314000000.0,3095000000.0,6608000000.0,4037000000.0,2014000000.0,
Purchase Of Investment,-3551000000.0,-4935000000.0,-2030000000.0,-6809000000.0,-6281000000.0,
Net Business Purchase And Sale,-6927000000.0,0.0,0.0,6311000000.0,3549000000.0,
Sale Of Business,0.0,0.0,0.0,6311000000.0,3549000000.0,
Purchase Of Business,,,,,0.0,0.0
Net PPE Purchase And Sale,-845000000.0,-602000000.0,-618000000.0,-564000000.0,-917000000.0,
Purchase Of PPE,-845000000.0,-602000000.0,-618000000.0,-564000000.0,-917000000.0,
Operating Cash Flow,5348000000.0,4603000000.0,-582000000.0,2335000000.0,6721000000.0,
Cash Flow From Continuing Operating Activities,5350000000.0,4603000000.0,-582000000.0,2334000000.0,6720000000.0,
Change In Working Capital,1590000000.0,-36000000.0,-4989000000.0,-1919000000.0,2926000000.0,
Other Non Cash Items,-487000000.0,-376000000.0,-206000000.0,-188000000.0,-1350000000.0,
Stock Based Compensation,225000000.0,201000000.0,203000000.0,170000000.0,177000000.0,
Asset Impairment Charge,4406000000.0,366000000.0,154000000.0,344000000.0,3162000000.0,
Deferred Tax,-433000000.0,-765000000.0,-272000000.0,-663000000.0,-396000000.0,
Deferred Income Tax,-433000000.0,-765000000.0,-272000000.0,-663000000.0,-396000000.0,
Depreciation Amortization Depletion,1687000000.0,1662000000.0,1625000000.0,1618000000.0,1791000000.0,
Depreciation And Amortization,1687000000.0,1662000000.0,1625000000.0,1618000000.0,1791000000.0,
Net Income From Continuing Operations,-1640000000.0,3551000000.0,2903000000.0,2973000000.0,411000000.0,
