,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-6544457.978076,-404460000.0,-19639947.437582,-298830000.0,-454860000.0,
Tax Rate For Calcs,0.001218,0.21,0.046321,0.21,0.21,
Normalized EBITDA,6129000000.0,7574000000.0,5747000000.0,6480000000.0,4686000000.0,
Total Unusual Items,-5373000000.0,-1926000000.0,-424000000.0,-1423000000.0,-2166000000.0,
Total Unusual Items Excluding Goodwill,-5373000000.0,-1926000000.0,-424000000.0,-1423000000.0,-2166000000.0,
Net Income From Continuing Operation Net Minority Interest,-1648000000.0,3541000000.0,2885000000.0,2967000000.0,403000000.0,
Reconciled Depreciation,1687000000.0,1662000000.0,1625000000.0,1618000000.0,1791000000.0,
Reconciled Cost Of Revenue,4815000000.0,3733000000.0,3364000000.0,2438000000.0,5477000000.0,
EBITDA,756000000.0,5648000000.0,5323000000.0,5057000000.0,2520000000.0,
EBIT,-931000000.0,3986000000.0,3698000000.0,3439000000.0,729000000.0,
Net Interest Income,-545000000.0,-514000000.0,-498000000.0,-511000000.0,-568000000.0,
Interest Expense,711000000.0,652000000.0,654000000.0,654000000.0,739000000.0,
Interest Income,166000000.0,138000000.0,156000000.0,143000000.0,171000000.0,
Normalized Income,3718455542.021924,5062540000.0,3289360052.562418,4091170000.0,2114140000.0,
Net Income From Continuing And Discontinued Operation,-1648000000.0,3541000000.0,2910000000.0,2967000000.0,410000000.0,
Total Expenses,13870000000.0,11127000000.0,10886000000.0,9290000000.0,14577000000.0,
Diluted Average Shares,5686000000.0,5714000000.0,5706000000.0,5710000000.0,5703000000.0,
Basic Average Shares,5686000000.0,5685000000.0,5685000000.0,5675000000.0,5667000000.0,
Diluted EPS,-0.29,0.62,0.51,0.52,0.07,
Basic EPS,-0.29,0.62,0.51,0.52,0.07,
Diluted NI Availto Com Stockholders,-1648000000.0,3541000000.0,2910000000.0,2967000000.0,410000000.0,
Net Income Common Stockholders,-1648000000.0,3541000000.0,2910000000.0,2967000000.0,410000000.0,
Net Income,-1648000000.0,3541000000.0,2910000000.0,2967000000.0,410000000.0,
Minority Interests,-8000000.0,-9000000.0,-18000000.0,-6000000.0,-8000000.0,
Net Income Including Noncontrolling Interests,-1640000000.0,3550000000.0,2928000000.0,2973000000.0,418000000.0,
Net Income Discontinuous Operations,0.0,0.0,25000000.0,0.0,7000000.0,
Net Income Continuous Operations,-1640000000.0,3550000000.0,2903000000.0,2973000000.0,411000000.0,
Tax Provision,-2000000.0,-216000000.0,141000000.0,-189000000.0,-421000000.0,
Pretax Income,-1642000000.0,3334000000.0,3044000000.0,2785000000.0,-10000000.0,
Other Income Expense,-4785000000.0,-1679000000.0,-226000000.0,-1130000000.0,-2629000000.0,
Other Non Operating Income Expenses,588000000.0,247000000.0,198000000.0,293000000.0,-463000000.0,
Special Income Charges,-5337000000.0,-2127000000.0,-499000000.0,-1053000000.0,-3134000000.0,
Gain On Sale Of Business,,,,,795000000.0,-420000000.0
Other Special Charges,514000000.0,1581000000.0,424000000.0,151000000.0,233000000.0,
Write Off,,,44000000.0,173000000.0,255000000.0,111000000.0
Impairment Of Capital Assets,4470000000.0,260000000.0,93000000.0,224000000.0,2946000000.0,
Restructuring And Mergern Acquisition,604000000.0,286000000.0,-18000000.0,678000000.0,750000000.0,
Earnings From Equity Interest,0.0,0.0,0.0,0.0,0.0,
Gain On Sale Of Security,-36000000.0,201000000.0,75000000.0,-370000000.0,968000000.0,
Net Non Operating Interest Income Expense,-545000000.0,-514000000.0,-498000000.0,-511000000.0,-568000000.0,
Interest Expense Non Operating,711000000.0,652000000.0,654000000.0,654000000.0,739000000.0,
Interest Income Non Operating,166000000.0,138000000.0,156000000.0,143000000.0,171000000.0,
Operating Income,3687000000.0,5527000000.0,3767000000.0,4425000000.0,3187000000.0,
Operating Expense,8598000000.0,6955000000.0,7108000000.0,6445000000.0,8668000000.0,
Depreciation Amortization Depletion Income Statement,1230000000.0,1223000000.0,1211000000.0,1211000000.0,1359000000.0,
Depreciation And Amortization In Income Statement,1230000000.0,1223000000.0,1211000000.0,1211000000.0,1359000000.0,
Amortization,1230000000.0,1223000000.0,1211000000.0,1211000000.0,1359000000.0,
Amortization Of Intangibles Income Statement,1230000000.0,1223000000.0,1211000000.0,1211000000.0,1359000000.0,
Research And Development,3206000000.0,2546000000.0,2482000000.0,2203000000.0,3035000000.0,
Selling General And Administration,4162000000.0,3186000000.0,3415000000.0,3031000000.0,4274000000.0,
Gross Profit,12285000000.0,12482000000.0,10875000000.0,10870000000.0,11855000000.0,
Cost Of Revenue,5272000000.0,4172000000.0,3778000000.0,2845000000.0,5909000000.0,
Total Revenue,17557000000.0,16654000000.0,14653000000.0,13715000000.0,17764000000.0,
Operating Revenue,17557000000.0,16654000000.0,14653000000.0,13715000000.0,17764000000.0,
