,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.201,0.208,0.197965,0.186,0.203
Normalized EBITDA,6443000000.0,6992000000.0,5456000000.0,5568000000.0,6791000000.0
Total Unusual Items,,,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,4319000000.0,4750000000.0,3615000000.0,3769000000.0,4630000000.0
Reconciled Depreciation,802000000.0,761000000.0,723000000.0,690000000.0,706000000.0
Reconciled Cost Of Revenue,10834000000.0,10887000000.0,10631000000.0,9694000000.0,10418000000.0
EBITDA,6443000000.0,6992000000.0,5456000000.0,5568000000.0,6791000000.0
EBIT,5641000000.0,6231000000.0,4733000000.0,4878000000.0,6085000000.0
Net Interest Income,-105000000.0,-89000000.0,-108000000.0,-106000000.0,-121000000.0
Interest Expense,220000000.0,197000000.0,212000000.0,217000000.0,240000000.0
Interest Income,115000000.0,108000000.0,104000000.0,111000000.0,119000000.0
Normalized Income,4319000000.0,4750000000.0,3615000000.0,3769000000.0,4630000000.0
Net Income From Continuing And Discontinued Operation,4319000000.0,4750000000.0,3615000000.0,3769000000.0,4630000000.0
Total Expenses,16842000000.0,16530000000.0,16535000000.0,15218000000.0,16141000000.0
Total Operating Income As Reported,5366000000.0,5856000000.0,4355000000.0,4558000000.0,5741000000.0
Diluted Average Shares,2424000000.0,2436800000.0,2443800000.0,2449800000.0,2458100000.0
Basic Average Shares,2373076923.0,2375000000.0,2394039735.0,2385443038.0,2386597938.0
Diluted EPS,1.78,1.95,1.48,1.54,1.88
Basic EPS,1.82,2.0,1.51,1.58,1.94
Diluted NI Availto Com Stockholders,4247000000.0,4677000000.0,3830000000.0,3698000000.0,4558000000.0
Net Income Common Stockholders,4247000000.0,4677000000.0,3538000000.0,3698000000.0,4558000000.0
Preferred Stock Dividends,73000000.0,73000000.0,76000000.0,71000000.0,72000000.0
Net Income,4319000000.0,4750000000.0,3615000000.0,3769000000.0,4630000000.0
Minority Interests,-12000000.0,-31000000.0,-11000000.0,-23000000.0,-29000000.0
Net Income Including Noncontrolling Interests,4331000000.0,4781000000.0,3626000000.0,3793000000.0,4659000000.0
Net Income Continuous Operations,4331000000.0,4781000000.0,3626000000.0,3793000000.0,4659000000.0
Tax Provision,1090000000.0,1253000000.0,895000000.0,868000000.0,1187000000.0
Pretax Income,5421000000.0,6034000000.0,4521000000.0,4661000000.0,5845000000.0
Other Income Expense,160000000.0,268000000.0,274000000.0,210000000.0,224000000.0
Other Non Operating Income Expenses,160000000.0,268000000.0,274000000.0,210000000.0,224000000.0
Special Income Charges,,,0.0,0.0,0.0
Impairment Of Capital Assets,,,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-105000000.0,-89000000.0,-108000000.0,-106000000.0,-121000000.0
Interest Expense Non Operating,220000000.0,197000000.0,212000000.0,217000000.0,240000000.0
Interest Income Non Operating,115000000.0,108000000.0,104000000.0,111000000.0,119000000.0
Operating Income,5366000000.0,5856000000.0,4354000000.0,4558000000.0,5741000000.0
Operating Expense,6008000000.0,5643000000.0,5904000000.0,5524000000.0,5723000000.0
Selling General And Administration,6008000000.0,5643000000.0,5904000000.0,5524000000.0,5723000000.0
Gross Profit,11374000000.0,11499000000.0,10258000000.0,10082000000.0,11464000000.0
Cost Of Revenue,10834000000.0,10887000000.0,10631000000.0,9694000000.0,10418000000.0
Total Revenue,22208000000.0,22386000000.0,20889000000.0,19776000000.0,21882000000.0
Operating Revenue,22208000000.0,22386000000.0,20889000000.0,19776000000.0,21882000000.0
