,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,757000000.0,2656000000.0,1480000000.0,-509000000.0,1800000000.0,
Repurchase Of Capital Stock,-406000000.0,-334000000.0,-336000000.0,-262000000.0,-721000000.0,
Repayment Of Debt,-3977000000.0,-3000000000.0,-5700000000.0,-4750000000.0,-10806000000.0,
Issuance Of Debt,-770000000.0,4514000000.0,5225000000.0,3161000000.0,5652000000.0,
Issuance Of Capital Stock,9000000.0,27000000.0,9000000.0,25000000.0,9000000.0,
Interest Paid Supplemental Data,2842000000.0,2801000000.0,2805000000.0,2706000000.0,3466000000.0,
Income Tax Paid Supplemental Data,,104000000.0,315000000.0,77000000.0,102000000.0,44000000.0
End Cash Position,39713000000.0,38871000000.0,30394000000.0,38400000000.0,46251000000.0,
Beginning Cash Position,38871000000.0,30394000000.0,38400000000.0,46251000000.0,41186000000.0,
Changes In Cash,842000000.0,8477000000.0,-8006000000.0,-7851000000.0,5065000000.0,
Financing Cash Flow,2194000000.0,6641000000.0,2222000000.0,-6362000000.0,-3870000000.0,
Cash Flow From Continuing Financing Activities,2194000000.0,6641000000.0,2222000000.0,-6362000000.0,-3870000000.0,
Cash Dividends Paid,-759000000.0,-749000000.0,-725000000.0,-710000000.0,-738000000.0,
Preferred Stock Dividend Paid,-83000000.0,-71000000.0,-83000000.0,-71000000.0,-94000000.0,
Common Stock Dividend Paid,-676000000.0,-678000000.0,-642000000.0,-639000000.0,-644000000.0,
Net Common Stock Issuance,-397000000.0,-307000000.0,-327000000.0,-237000000.0,-212000000.0,
Common Stock Payments,-406000000.0,-334000000.0,-336000000.0,-262000000.0,-221000000.0,
Common Stock Issuance,9000000.0,27000000.0,9000000.0,25000000.0,9000000.0,
Net Issuance Payments Of Debt,-4747000000.0,1514000000.0,-475000000.0,-1589000000.0,-5154000000.0,
Net Long Term Debt Issuance,-4747000000.0,1514000000.0,-475000000.0,-1589000000.0,-5154000000.0,
Long Term Debt Payments,-3977000000.0,-3000000000.0,-5700000000.0,-4750000000.0,-10806000000.0,
Long Term Debt Issuance,-770000000.0,4514000000.0,5225000000.0,3161000000.0,5652000000.0,
Investing Cash Flow,-2109000000.0,-820000000.0,-11708000000.0,-980000000.0,7135000000.0,
Cash Flow From Continuing Investing Activities,-2109000000.0,-820000000.0,-11708000000.0,-980000000.0,7135000000.0,
Net Other Investing Changes,-1139000000.0,-827000000.0,-525000000.0,-145000000.0,-516000000.0,
Net Investment Purchase And Sale,2894000000.0,1307000000.0,-3721000000.0,2263000000.0,3019000000.0,
Sale Of Investment,7673000000.0,5586000000.0,5174000000.0,6392000000.0,8601000000.0,
Purchase Of Investment,-4779000000.0,-4279000000.0,-8895000000.0,-4129000000.0,-5582000000.0,
Operating Cash Flow,757000000.0,2656000000.0,1480000000.0,-509000000.0,1800000000.0,
Cash Flow From Continuing Operating Activities,757000000.0,2656000000.0,1480000000.0,-509000000.0,1800000000.0,
Change In Working Capital,-1957000000.0,229000000.0,-775000000.0,-2439000000.0,-1198000000.0,
Change In Other Working Capital,-673000000.0,-1647000000.0,-151000000.0,-1495000000.0,287000000.0,
Change In Other Current Assets,-909000000.0,863000000.0,818000000.0,964000000.0,-542000000.0,
Change In Payables And Accrued Expense,479000000.0,306000000.0,-784000000.0,-1611000000.0,-810000000.0,
Change In Accrued Expense,479000000.0,306000000.0,-784000000.0,-1611000000.0,-810000000.0,
Other Non Cash Items,329000000.0,253000000.0,148000000.0,-22000000.0,1133000000.0,
Asset Impairment Charge,70000000.0,94000000.0,137000000.0,191000000.0,-143000000.0,
Deferred Tax,28000000.0,-10000000.0,-11000000.0,-47000000.0,59000000.0,
Deferred Income Tax,28000000.0,-10000000.0,-11000000.0,-47000000.0,59000000.0,
Depreciation Amortization Depletion,108000000.0,101000000.0,82000000.0,90000000.0,164000000.0,
Depreciation And Amortization,108000000.0,101000000.0,82000000.0,90000000.0,164000000.0,
Operating Gains Losses,10000000.0,15000000.0,1000000.0,5000000.0,8000000.0,
Gain Loss On Investment Securities,7000000.0,0.0,,,2000000.0,-1000000.0
Net Income From Continuing Operations,2033000000.0,1822000000.0,1643000000.0,1499000000.0,1627000000.0,
