,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1074000000.0,1074000000.0,1084000000.0,1100000000.0,1106000000.0,
Share Issued,1074000000.0,1074000000.0,1084000000.0,1100000000.0,1106000000.0,
Net Debt,7612000000.0,9291000000.0,9340000000.0,7420000000.0,5864000000.0,
Total Debt,14817000000.0,14811000000.0,14788000000.0,14623000000.0,14577000000.0,
Tangible Book Value,7263000000.0,8700000000.0,14641000000.0,15597000000.0,14747000000.0,
Invested Capital,37890000000.0,36017000000.0,41997000000.0,42351000000.0,41457000000.0,
Working Capital,14786000000.0,16610000000.0,17113000000.0,16536000000.0,16111000000.0,
Net Tangible Assets,7263000000.0,8700000000.0,14641000000.0,15597000000.0,14747000000.0,
Common Stock Equity,23073000000.0,21206000000.0,27209000000.0,27728000000.0,26880000000.0,
Total Capitalization,37890000000.0,36017000000.0,41997000000.0,40986000000.0,40092000000.0,
Total Equity Gross Minority Interest,23073000000.0,21206000000.0,27209000000.0,27728000000.0,26880000000.0,
Stockholders Equity,23073000000.0,21206000000.0,27209000000.0,27728000000.0,26880000000.0,
Gains Losses Not Affecting Retained Earnings,575000000.0,560000000.0,657000000.0,395000000.0,273000000.0,
Other Equity Adjustments,575000000.0,560000000.0,657000000.0,395000000.0,273000000.0,
Retained Earnings,22498000000.0,20646000000.0,26552000000.0,27333000000.0,26607000000.0,
Capital Stock,0.0,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,29961000000.0,28937000000.0,27653000000.0,27644000000.0,28695000000.0,
Total Non Current Liabilities Net Minority Interest,20139000000.0,19793000000.0,19853000000.0,18100000000.0,18741000000.0,
Other Non Current Liabilities,5243000000.0,4911000000.0,4972000000.0,4760000000.0,5452000000.0,
Liabilities Heldfor Sale Non Current,,,,,,0.0
Non Current Deferred Liabilities,79000000.0,71000000.0,93000000.0,82000000.0,77000000.0,
Non Current Deferred Revenue,79000000.0,71000000.0,93000000.0,82000000.0,77000000.0,
Long Term Debt And Capital Lease Obligation,14817000000.0,14811000000.0,14788000000.0,13258000000.0,13212000000.0,
Long Term Debt,14817000000.0,14811000000.0,14788000000.0,13258000000.0,13212000000.0,
Current Liabilities,9822000000.0,9144000000.0,7800000000.0,9544000000.0,9954000000.0,
Other Current Liabilities,3984000000.0,3149000000.0,2654000000.0,4220000000.0,4372000000.0,
Current Deferred Liabilities,379000000.0,358000000.0,285000000.0,232000000.0,212000000.0,
Current Deferred Revenue,379000000.0,358000000.0,285000000.0,232000000.0,212000000.0,
Current Debt And Capital Lease Obligation,,,,1365000000.0,1365000000.0,1364000000.0
Current Debt,,,,1365000000.0,1365000000.0,1364000000.0
Other Current Borrowings,,,,,,1364000000.0
Payables And Accrued Expenses,5459000000.0,5637000000.0,4861000000.0,3727000000.0,4005000000.0,
Current Accrued Expenses,1505000000.0,1839000000.0,1586000000.0,1248000000.0,1424000000.0,
Payables,3954000000.0,3798000000.0,3275000000.0,2479000000.0,2581000000.0,
