,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,26177896.814209,-4410000.0,11400000.0,1350000.0,7385144.429161,
Tax Rate For Calcs,0.153087,0.21,0.1,0.09,0.125172,
Normalized EBITDA,3938000000.0,3534000000.0,3404000000.0,3650000000.0,4175000000.0,
Total Unusual Items,171000000.0,-21000000.0,114000000.0,15000000.0,59000000.0,
Total Unusual Items Excluding Goodwill,171000000.0,-21000000.0,114000000.0,15000000.0,59000000.0,
Net Income From Continuing Operation Net Minority Interest,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Reconciled Depreciation,393000000.0,371000000.0,398000000.0,397000000.0,436000000.0,
Reconciled Cost Of Revenue,5568000000.0,5034000000.0,4606000000.0,4937000000.0,5161000000.0,
EBITDA,4109000000.0,3513000000.0,3518000000.0,3665000000.0,4234000000.0,
EBIT,3716000000.0,3142000000.0,3120000000.0,3268000000.0,3798000000.0,
Net Interest Income,-33000000.0,-27000000.0,-8000000.0,4000000.0,6000000.0,
Interest Expense,169000000.0,171000000.0,168000000.0,163000000.0,163000000.0,
Interest Income,136000000.0,144000000.0,160000000.0,167000000.0,169000000.0,
Normalized Income,2859177896.814209,-3100410000.0,2563400000.0,2798350000.0,3128385144.429161,
Net Income From Continuing And Discontinued Operation,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Total Expenses,8886000000.0,8314000000.0,7603000000.0,7859000000.0,8114000000.0,
Total Operating Income As Reported,3366000000.0,2918000000.0,2762000000.0,3120000000.0,3555000000.0,
Diluted Average Shares,1079000000.0,1078000000.0,1099000000.0,1115000000.0,1122000000.0,
Basic Average Shares,1070000000.0,1078000000.0,1092000000.0,1104000000.0,1110000000.0,
Diluted EPS,2.78,-2.89,2.43,2.52,2.83,
Basic EPS,2.81,-2.89,2.44,2.55,2.86,
Diluted NI Availto Com Stockholders,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Net Income Common Stockholders,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Net Income,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Net Income Including Noncontrolling Interests,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0,5000000.0
Net Income Continuous Operations,3004000000.0,-3117000000.0,2666000000.0,2812000000.0,3180000000.0,
Tax Provision,543000000.0,6088000000.0,286000000.0,293000000.0,455000000.0,
Pretax Income,3547000000.0,2971000000.0,2952000000.0,3105000000.0,3635000000.0,
Other Income Expense,214000000.0,41000000.0,198000000.0,-19000000.0,74000000.0,
Other Non Operating Income Expenses,43000000.0,62000000.0,84000000.0,-34000000.0,15000000.0,
Special Income Charges,-12000000.0,-59000000.0,-52000000.0,-16000000.0,-24000000.0,
Write Off,12000000.0,20000000.0,52000000.0,16000000.0,24000000.0,
Gain On Sale Of Security,183000000.0,38000000.0,166000000.0,31000000.0,83000000.0,
Net Non Operating Interest Income Expense,-33000000.0,-27000000.0,-8000000.0,4000000.0,6000000.0,
Interest Expense Non Operating,169000000.0,171000000.0,168000000.0,163000000.0,163000000.0,
Interest Income Non Operating,136000000.0,144000000.0,160000000.0,167000000.0,169000000.0,
Operating Income,3366000000.0,2957000000.0,2762000000.0,3120000000.0,3555000000.0,
Operating Expense,3318000000.0,3280000000.0,2997000000.0,2922000000.0,2953000000.0,
Research And Development,2453000000.0,2370000000.0,2226000000.0,2216000000.0,2230000000.0,
Selling General And Administration,865000000.0,910000000.0,771000000.0,706000000.0,723000000.0,
Gross Profit,6684000000.0,6237000000.0,5759000000.0,6042000000.0,6508000000.0,
Cost Of Revenue,5568000000.0,5034000000.0,4606000000.0,4937000000.0,5161000000.0,
Total Revenue,12252000000.0,11271000000.0,10365000000.0,10979000000.0,11669000000.0,
Operating Revenue,12252000000.0,11271000000.0,10365000000.0,10979000000.0,11669000000.0,
