,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,3050000000.0,3904000000.0,-194000000.0,688000000.0,328000000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,-50000000.0,-50000000.0,
Repayment Of Debt,-1140000000.0,-1500000000.0,-780000000.0,-9000000.0,-800000000.0,
Issuance Of Debt,,,,,0.0,0.0
Capital Expenditure,-1115000000.0,-735000000.0,-652000000.0,-617000000.0,-1233000000.0,
End Cash Position,7435000000.0,5966000000.0,4782000000.0,5157000000.0,5578000000.0,
Other Cash Adjustment Outside Changein Cash,3000000.0,7000000.0,-9000000.0,-36000000.0,21000000.0,
Beginning Cash Position,5966000000.0,4782000000.0,5157000000.0,5606000000.0,6682000000.0,
Effect Of Exchange Rate Changes,4000000.0,-10000000.0,38000000.0,16000000.0,-39000000.0,
Changes In Cash,1462000000.0,1187000000.0,-404000000.0,-429000000.0,-1086000000.0,
Financing Cash Flow,-2154000000.0,-3923000000.0,-353000000.0,-1056000000.0,-1868000000.0,
Cash Flow From Continuing Financing Activities,-2154000000.0,-3923000000.0,-353000000.0,-1056000000.0,-1868000000.0,
Net Other Financing Charges,-94000000.0,-69000000.0,-85000000.0,-185000000.0,-181000000.0,
Cash Dividends Paid,-914000000.0,-910000000.0,-910000000.0,-840000000.0,-802000000.0,
Common Stock Dividend Paid,-914000000.0,-910000000.0,-910000000.0,-840000000.0,-802000000.0,
Net Common Stock Issuance,0.0,0.0,0.0,-50000000.0,-50000000.0,
Common Stock Payments,0.0,0.0,0.0,-50000000.0,-50000000.0,
Net Issuance Payments Of Debt,-1146000000.0,-2944000000.0,642000000.0,19000000.0,-835000000.0,
Net Short Term Debt Issuance,-6000000.0,-1444000000.0,1422000000.0,28000000.0,-35000000.0,
Net Long Term Debt Issuance,-1140000000.0,-1500000000.0,-780000000.0,-9000000.0,-800000000.0,
Long Term Debt Payments,-1140000000.0,-1500000000.0,-780000000.0,-9000000.0,-800000000.0,
Long Term Debt Issuance,,,,,0.0,0.0
Investing Cash Flow,-549000000.0,471000000.0,-509000000.0,-678000000.0,-779000000.0,
Cash Flow From Continuing Investing Activities,-549000000.0,471000000.0,-509000000.0,-678000000.0,-779000000.0,
Net Other Investing Changes,-36000000.0,-24000000.0,-49000000.0,-14000000.0,103000000.0,
Net Investment Purchase And Sale,-141000000.0,42000000.0,192000000.0,-47000000.0,-161000000.0,
Sale Of Investment,92000000.0,,,,199000000.0,
Purchase Of Investment,,,,-47000000.0,,
Net Business Purchase And Sale,743000000.0,1188000000.0,0.0,0.0,512000000.0,
Sale Of Business,743000000.0,1188000000.0,0.0,0.0,512000000.0,
Net Intangibles Purchase And Sale,-145000000.0,-121000000.0,-122000000.0,-104000000.0,-164000000.0,
Purchase Of Intangibles,-145000000.0,-121000000.0,-122000000.0,-104000000.0,-164000000.0,
Capital Expenditure Reported,-970000000.0,-614000000.0,-530000000.0,-513000000.0,-1069000000.0,
Operating Cash Flow,4165000000.0,4639000000.0,458000000.0,1305000000.0,1561000000.0,
Cash Flow From Continuing Operating Activities,4165000000.0,4639000000.0,458000000.0,1305000000.0,1561000000.0,
Change In Working Capital,907000000.0,1241000000.0,-2176000000.0,-1246000000.0,-1144000000.0,
Change In Other Working Capital,1444000000.0,986000000.0,-30000000.0,373000000.0,676000000.0,
Change In Other Current Assets,-76000000.0,-879000000.0,25000000.0,-125000000.0,-160000000.0,
Change In Payables And Accrued Expense,1322000000.0,2237000000.0,-538000000.0,397000000.0,-819000000.0,
Change In Inventory,483000000.0,182000000.0,-384000000.0,-813000000.0,231000000.0,
Change In Receivables,-2266000000.0,-1285000000.0,-1249000000.0,-1078000000.0,-1072000000.0,
Changes In Account Receivables,-1747000000.0,-351000000.0,-765000000.0,-372000000.0,-1111000000.0,
Other Non Cash Items,-70000000.0,-97000000.0,-162000000.0,-147000000.0,159000000.0,
Stock Based Compensation,320000000.0,241000000.0,253000000.0,278000000.0,109000000.0,
Deferred Tax,191000000.0,477000000.0,54000000.0,67000000.0,72000000.0,
Deferred Income Tax,191000000.0,477000000.0,54000000.0,67000000.0,72000000.0,
Depreciation Amortization Depletion,1159000000.0,1091000000.0,1076000000.0,1052000000.0,1139000000.0,
Depreciation And Amortization,1159000000.0,1091000000.0,1076000000.0,1052000000.0,1139000000.0,
Operating Gains Losses,-55000000.0,-320000000.0,-312000000.0,-324000000.0,-334000000.0,
Pension And Employee Benefit Expense,-55000000.0,-320000000.0,-312000000.0,-324000000.0,-334000000.0,
Gain Loss On Sale Of Business,0.0,0.0,0.0,0.0,0.0,
Net Income From Continuing Operations,1713000000.0,2006000000.0,1725000000.0,1625000000.0,1560000000.0,
