,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.254245,0.177194,0.154412,0.17,0.223494
Normalized EBITDA,3826000000.0,4012000000.0,3596000000.0,3512000000.0,3662000000.0
Net Income From Continuing Operation Net Minority Interest,1622000000.0,1918000000.0,1657000000.0,1535000000.0,1482000000.0
Reconciled Depreciation,1159000000.0,1091000000.0,1076000000.0,1052000000.0,1139000000.0
Reconciled Cost Of Revenue,19521000000.0,17898000000.0,17205000000.0,16190000000.0,17388000000.0
EBITDA,3826000000.0,4012000000.0,3596000000.0,3512000000.0,3662000000.0
EBIT,2667000000.0,2921000000.0,2520000000.0,2460000000.0,2523000000.0
Net Interest Income,-397000000.0,-437000000.0,-452000000.0,-451000000.0,-487000000.0
Interest Expense,370000000.0,483000000.0,480000000.0,502000000.0,514000000.0
Interest Income,-27000000.0,46000000.0,28000000.0,51000000.0,27000000.0
Normalized Income,1622000000.0,1918000000.0,1657000000.0,1535000000.0,1482000000.0
Net Income From Continuing And Discontinued Operation,1622000000.0,1918000000.0,1657000000.0,1535000000.0,1482000000.0
Total Expenses,21642000000.0,19955000000.0,19435000000.0,18271000000.0,19512000000.0
Total Operating Income As Reported,2596000000.0,2523000000.0,2146000000.0,2035000000.0,2111000000.0
Diluted Average Shares,1361700000.0,1358400000.0,1354000000.0,1351800000.0,1348900000.0
Basic Average Shares,1344900000.0,1343100000.0,1340600000.0,1337100000.0,1334400000.0
Diluted EPS,1.19,1.41,1.22,1.14,1.1
Basic EPS,1.21,1.43,1.24,1.15,1.11
Diluted NI Availto Com Stockholders,1622000000.0,1918000000.0,1657000000.0,1535000000.0,1482000000.0
Net Income Common Stockholders,1622000000.0,1918000000.0,1657000000.0,1535000000.0,1482000000.0
Net Income,1622000000.0,1918000000.0,1657000000.0,1535000000.0,1482000000.0
Minority Interests,-91000000.0,-88000000.0,-68000000.0,-90000000.0,-78000000.0
Net Income Including Noncontrolling Interests,1713000000.0,2006000000.0,1725000000.0,1625000000.0,1560000000.0
Net Income Continuous Operations,1713000000.0,2006000000.0,1725000000.0,1625000000.0,1560000000.0
Tax Provision,584000000.0,432000000.0,315000000.0,333000000.0,449000000.0
Pretax Income,2297000000.0,2438000000.0,2040000000.0,1958000000.0,2009000000.0
Other Income Expense,98000000.0,352000000.0,346000000.0,374000000.0,385000000.0
Other Non Operating Income Expenses,98000000.0,352000000.0,346000000.0,374000000.0,385000000.0
Net Non Operating Interest Income Expense,-397000000.0,-437000000.0,-452000000.0,-451000000.0,-487000000.0
Interest Expense Non Operating,370000000.0,483000000.0,480000000.0,502000000.0,514000000.0
Interest Income Non Operating,-27000000.0,46000000.0,28000000.0,51000000.0,27000000.0
Operating Income,2596000000.0,2523000000.0,2146000000.0,2035000000.0,2111000000.0
Operating Expense,2121000000.0,2057000000.0,2230000000.0,2081000000.0,2124000000.0
Other Operating Expenses,-306000000.0,-63000000.0,-40000000.0,-4000000.0,-258000000.0
Research And Development,789000000.0,684000000.0,697000000.0,637000000.0,808000000.0
Selling General And Administration,1638000000.0,1436000000.0,1573000000.0,1448000000.0,1574000000.0
Gross Profit,4717000000.0,4580000000.0,4376000000.0,4116000000.0,4235000000.0
Cost Of Revenue,19521000000.0,17898000000.0,17205000000.0,16190000000.0,17388000000.0
Total Revenue,24238000000.0,22478000000.0,21581000000.0,20306000000.0,21623000000.0
Operating Revenue,24238000000.0,22478000000.0,21581000000.0,20306000000.0,21623000000.0
