,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1139100000.0,1136900000.0,1136500000.0,1136200000.0,1135800000.0,
Share Issued,1139100000.0,1136900000.0,1136500000.0,1136200000.0,1135800000.0,
Net Debt,12667000000.0,12855000000.0,13146500000.0,12900400000.0,11890000000.0,
Total Debt,25470900000.0,26611500000.0,27886100000.0,26009500000.0,25871500000.0,
Tangible Book Value,-9867000000.0,-11632300000.0,-11240500000.0,-11116500000.0,-10930100000.0,
Invested Capital,7691700000.0,7978200000.0,9633100000.0,7949300000.0,8089700000.0,
Working Capital,536000000.0,-2828100000.0,-2720800000.0,-3715600000.0,-2440600000.0,
Net Tangible Assets,-9867000000.0,-11632300000.0,-11240500000.0,-11116500000.0,-10930100000.0,
Capital Lease Obligations,9390500000.0,10536700000.0,10567000000.0,10437700000.0,10310100000.0,
Common Stock Equity,-8388700000.0,-8096600000.0,-7686000000.0,-7622500000.0,-7471700000.0,
Total Capitalization,6192200000.0,6479300000.0,6884900000.0,5701500000.0,6840500000.0,
Total Equity Gross Minority Interest,-8381300000.0,-8089200000.0,-7678600000.0,-7615400000.0,-7464600000.0,
Minority Interest,7400000.0,7400000.0,7400000.0,7100000.0,7100000.0,
Stockholders Equity,-8388700000.0,-8096600000.0,-7686000000.0,-7622500000.0,-7471700000.0,
Gains Losses Not Affecting Retained Earnings,-425900000.0,-459300000.0,-535200000.0,-529000000.0,-583600000.0,
Other Equity Adjustments,-425900000.0,-459300000.0,-535200000.0,-529000000.0,-583600000.0,
Retained Earnings,-8685400000.0,-8272500000.0,-7700600000.0,-7565500000.0,-7256400000.0,
Additional Paid In Capital,721500000.0,634100000.0,548700000.0,470900000.0,367200000.0,
Capital Stock,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,
Common Stock,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,
Total Liabilities Net Minority Interest,40609600000.0,40108900000.0,41327800000.0,39248500000.0,39357700000.0,
Total Non Current Liabilities Net Minority Interest,29123000000.0,29898500000.0,30185500000.0,28819200000.0,29632400000.0,
Other Non Current Liabilities,746500000.0,577800000.0,717900000.0,664000000.0,522300000.0,
Non Current Deferred Liabilities,5748000000.0,5772600000.0,5826100000.0,5871300000.0,5941100000.0,
Non Current Deferred Revenue,5748000000.0,5772600000.0,5826100000.0,5871300000.0,5941100000.0,
Long Term Debt And Capital Lease Obligation,22628500000.0,23548100000.0,23641500000.0,22283900000.0,23169000000.0,
Long Term Capital Lease Obligation,8047600000.0,8972200000.0,9070600000.0,8959900000.0,8856800000.0,
Long Term Debt,14580900000.0,14575900000.0,14570900000.0,13324000000.0,14312200000.0,
Current Liabilities,11486600000.0,10210400000.0,11142300000.0,10429300000.0,9725300000.0,
Other Current Liabilities,1754600000.0,,,,,
Current Deferred Liabilities,2121700000.0,1840600000.0,1911200000.0,1920100000.0,2253300000.0,
Current Deferred Revenue,2121700000.0,1840600000.0,1911200000.0,1920100000.0,2253300000.0,
Current Debt And Capital Lease Obligation,2842400000.0,3063400000.0,4244600000.0,3725600000.0,2702500000.0,
Current Capital Lease Obligation,1342900000.0,1564500000.0,1496400000.0,1477800000.0,1453300000.0,
Current Debt,1499500000.0,1498900000.0,2748200000.0,2247800000.0,1249200000.0,
Other Current Borrowings,1499500000.0,1498900000.0,2748200000.0,2247800000.0,1249200000.0,
Current Provisions,335500000.0,282300000.0,279700000.0,266900000.0,267800000.0,
Payables And Accrued Expenses,4432400000.0,5024100000.0,4706800000.0,4516700000.0,4501700000.0,
Current Accrued Expenses,1672600000.0,2080400000.0,1738400000.0,1588300000.0,1608500000.0,
Payables,2759800000.0,2943700000.0,2968400000.0,2928400000.0,2893200000.0,
Dividends Payable,706200000.0,704800000.0,693200000.0,692900000.0,692600000.0,
Total Tax Payable,371400000.0,386100000.0,387000000.0,321700000.0,422900000.0,
Income Tax Payable,127500000.0,150300000.0,170300000.0,131400000.0,232400000.0,
Accounts Payable,1682200000.0,1852800000.0,1888200000.0,1913800000.0,1777700000.0,
Total Assets,32228300000.0,32019700000.0,33649200000.0,31633100000.0,31893100000.0,
Total Non Current Assets,20205700000.0,24637400000.0,25227700000.0,24919400000.0,24608400000.0,
Other Non Current Assets,778600000.0,752500000.0,674300000.0,713100000.0,708800000.0,
Non Current Deferred Assets,1600800000.0,1826900000.0,1805900000.0,1735900000.0,1723000000.0,
Non Current Deferred Taxes Assets,1600800000.0,1826900000.0,1805900000.0,1735900000.0,1723000000.0,
Investments And Advances,720300000.0,713100000.0,717900000.0,689000000.0,676600000.0,
Investmentin Financial Assets,288300000.0,246900000.0,232000000.0,222100000.0,227300000.0,
Available For Sale Securities,288300000.0,246900000.0,232000000.0,222100000.0,227300000.0,
Long Term Equity Investment,432000000.0,466200000.0,485900000.0,466900000.0,449300000.0,
Investmentsin Joint Venturesat Cost,,418900000.0,,,,424100000.0
Investments In Other Ventures Under Equity Method,,47300000.0,,,,39800000.0
Goodwill And Other Intangible Assets,1478300000.0,3535700000.0,3554500000.0,3494000000.0,3458400000.0,
Other Intangible Assets,167200000.0,166800000.0,169700000.0,169300000.0,170500000.0,
Goodwill,1311100000.0,3368900000.0,3384800000.0,3324700000.0,3287900000.0,
Net PPE,15627700000.0,17809200000.0,18475100000.0,18287400000.0,18041600000.0,
Accumulated Depreciation,-10180800000.0,-11349200000.0,-11426100000.0,-11052200000.0,-10768500000.0,
