,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1274000000.0,925800000.0,434300000.0,-297200000.0,1379100000.0,
Repurchase Of Capital Stock,,0.0,0.0,0.0,0.0,0.0
Repayment Of Debt,0.0,-1250000000.0,-2400000.0,0.0,-5400000.0,
Issuance Of Debt,2500000.0,0.0,1749800000.0,1100000.0,0.0,
Issuance Of Capital Stock,17700000.0,17400000.0,15200000.0,27300000.0,17100000.0,
Capital Expenditure,-323700000.0,-456000000.0,-567400000.0,-589200000.0,-692900000.0,
Interest Paid Supplemental Data,142400000.0,195800000.0,98300000.0,195900000.0,98300000.0,
Income Tax Paid Supplemental Data,94900000.0,147500000.0,108900000.0,337800000.0,121400000.0,
End Cash Position,3413400000.0,3219800000.0,4172600000.0,2671400000.0,3671400000.0,
Other Cash Adjustment Outside Changein Cash,-347200000.0,,,,0.0,
Beginning Cash Position,3219800000.0,4172600000.0,2671400000.0,3671400000.0,3286200000.0,
Effect Of Exchange Rate Changes,9000000.0,-11300000.0,39100000.0,18500000.0,-76800000.0,
Changes In Cash,531800000.0,-941500000.0,1462100000.0,-1018500000.0,462000000.0,
Financing Cash Flow,-743000000.0,-1932800000.0,1056100000.0,-666500000.0,-754800000.0,
Cash Flow From Continuing Financing Activities,-743000000.0,-1932800000.0,1056100000.0,-666500000.0,-754800000.0,
Net Other Financing Charges,-58100000.0,-6900000.0,-13300000.0,-1900000.0,-74600000.0,
Cash Dividends Paid,-705100000.0,-693300000.0,-693200000.0,-693000000.0,-691900000.0,
Common Stock Dividend Paid,-705100000.0,-693300000.0,-693200000.0,-693000000.0,-691900000.0,
Net Common Stock Issuance,17700000.0,17400000.0,15200000.0,27300000.0,17100000.0,
Common Stock Payments,,0.0,0.0,0.0,0.0,0.0
Common Stock Issuance,17700000.0,17400000.0,15200000.0,27300000.0,17100000.0,
Net Issuance Payments Of Debt,2500000.0,-1250000000.0,1747400000.0,1100000.0,-5400000.0,
Net Short Term Debt Issuance,2500000.0,0.0,-1100000.0,1100000.0,-5400000.0,
Short Term Debt Payments,0.0,0.0,-2400000.0,0.0,-5400000.0,
Short Term Debt Issuance,2500000.0,0.0,1300000.0,1100000.0,0.0,
Net Long Term Debt Issuance,,-1250000000.0,1748500000.0,0.0,0.0,0.0
Long Term Debt Payments,,-1250000000.0,0.0,0.0,0.0,0.0
Long Term Debt Issuance,,0.0,1748500000.0,,,0.0
Investing Cash Flow,-322900000.0,-390500000.0,-595700000.0,-644000000.0,-855200000.0,
Cash Flow From Continuing Investing Activities,-322900000.0,-390500000.0,-595700000.0,-644000000.0,-855200000.0,
Net Other Investing Changes,-25700000.0,-14000000.0,-36500000.0,-5100000.0,-6500000.0,
Net Investment Purchase And Sale,26500000.0,79500000.0,8200000.0,-49700000.0,21300000.0,
Sale Of Investment,77500000.0,114900000.0,137000000.0,53400000.0,87600000.0,
Purchase Of Investment,-51000000.0,-35400000.0,-128800000.0,-103100000.0,-66300000.0,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,-177100000.0,
Purchase Of Business,0.0,0.0,0.0,0.0,-177100000.0,
Net PPE Purchase And Sale,-323700000.0,-456000000.0,-567400000.0,-589200000.0,-692900000.0,
Purchase Of PPE,-323700000.0,-456000000.0,-567400000.0,-589200000.0,-692900000.0,
Operating Cash Flow,1597700000.0,1381800000.0,1001700000.0,292000000.0,2072000000.0,
Cash Flow From Continuing Operating Activities,1597700000.0,1381800000.0,1001700000.0,292000000.0,2072000000.0,
Dividend Received Cfo,96700000.0,107900000.0,52700000.0,51900000.0,81900000.0,
Change In Working Capital,-58400000.0,-267300000.0,-477200000.0,-966700000.0,216800000.0,
Change In Other Working Capital,390400000.0,116500000.0,96400000.0,-439900000.0,442600000.0,
Change In Other Current Liabilities,-433200000.0,-432700000.0,-309600000.0,-324200000.0,-510200000.0,
Change In Payables And Accrued Expense,16400000.0,23000000.0,-4000000.0,10700000.0,335100000.0,
Change In Payable,16400000.0,23000000.0,-4000000.0,10700000.0,335100000.0,
Change In Account Payable,-39000000.0,-30100000.0,-48300000.0,109200000.0,230200000.0,
Change In Tax Payable,55400000.0,53100000.0,44300000.0,-98500000.0,104900000.0,
Change In Income Tax Payable,55400000.0,53100000.0,44300000.0,-98500000.0,104900000.0,
Change In Inventory,-31800000.0,69200000.0,-196600000.0,-306100000.0,25100000.0,
Change In Receivables,-200000.0,-43300000.0,-63400000.0,92800000.0,-75800000.0,
Changes In Account Receivables,-200000.0,-43300000.0,-63400000.0,92800000.0,-75800000.0,
Other Non Cash Items,358200000.0,414800000.0,301300000.0,328300000.0,486700000.0,
Stock Based Compensation,126100000.0,74000000.0,66000000.0,77700000.0,100600000.0,
Deferred Tax,302600000.0,-138700000.0,60500000.0,2500000.0,-14900000.0,
Deferred Income Tax,302600000.0,-138700000.0,60500000.0,2500000.0,-14900000.0,
Depreciation Amortization Depletion,431900000.0,456000000.0,448000000.0,435300000.0,432200000.0,
Depreciation And Amortization,431900000.0,456000000.0,448000000.0,435300000.0,432200000.0,
Operating Gains Losses,47400000.0,601900000.0,-8000000.0,-21200000.0,-12200000.0,
Earnings Losses From Equity Investments,-62300000.0,-89800000.0,-68900000.0,-62400000.0,-53100000.0,
Net Income From Continuing Operations,293200000.0,133200000.0,558400000.0,384200000.0,780900000.0,
