,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-18501000.0,-141418547.895058,-6614140.920747,-27307000.0,0.0,
Tax Rate For Calcs,0.21,0.187309,0.317988,0.235,0.236134,
Normalized EBITDA,1423800000.0,1520700000.0,1430000000.0,1180900000.0,1581700000.0,
Total Unusual Items,-88100000.0,-755000000.0,-20800000.0,-116200000.0,0.0,
Total Unusual Items Excluding Goodwill,-88100000.0,-755000000.0,-20800000.0,-116200000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,293300000.0,133200000.0,558300000.0,384200000.0,780800000.0,
Reconciled Depreciation,431900000.0,456000000.0,448000000.0,435300000.0,432200000.0,
Reconciled Cost Of Revenue,7794900000.0,7381100000.0,7279900000.0,6897200000.0,7072100000.0,
EBITDA,1335700000.0,765700000.0,1409200000.0,1064700000.0,1581700000.0,
EBIT,903800000.0,309700000.0,961200000.0,629400000.0,1149500000.0,
Net Interest Income,-126000000.0,-114300000.0,-116700000.0,-98900000.0,-99400000.0,
Interest Expense,139000000.0,145800000.0,142300000.0,127300000.0,127200000.0,
Interest Income,13000000.0,31500000.0,25600000.0,28400000.0,27800000.0,
Normalized Income,362899000.0,746781452.104942,572485859.079253,473093000.0,780800000.0,
Net Income From Continuing And Discontinued Operation,293300000.0,133200000.0,558300000.0,384200000.0,780800000.0,
Total Expenses,8996800000.0,8620900000.0,8556700000.0,8103500000.0,8322600000.0,
Rent Expense Supplemental,804800000.0,880700000.0,828600000.0,807200000.0,802100000.0,
Total Operating Income As Reported,890800000.0,278200000.0,935600000.0,601000000.0,1121700000.0,
Diluted Average Shares,1141900000.0,1140900000.0,1139800000.0,1140000000.0,1138400000.0,
Basic Average Shares,1139100000.0,1136900000.0,1136500000.0,1136200000.0,1135800000.0,
Diluted EPS,0.257484,0.117073,0.49,0.338145,0.687445,
Basic EPS,0.257484,0.117073,0.491245,0.338145,0.687445,
Diluted NI Availto Com Stockholders,293300000.0,133200000.0,558300000.0,384200000.0,780800000.0,
Net Income Common Stockholders,293300000.0,133200000.0,558300000.0,384200000.0,780800000.0,
Net Income,293300000.0,133200000.0,558300000.0,384200000.0,780800000.0,
Minority Interests,100000.0,0.0,-200000.0,100000.0,-100000.0,
Net Income Including Noncontrolling Interests,293200000.0,133200000.0,558500000.0,384100000.0,780900000.0,
Net Income Continuous Operations,293200000.0,133200000.0,558500000.0,384100000.0,780900000.0,
Tax Provision,471600000.0,30700000.0,260400000.0,118000000.0,241400000.0,
Pretax Income,764800000.0,163900000.0,818900000.0,502100000.0,1022300000.0,
Other Income Expense,-27500000.0,-669900000.0,36300000.0,-57100000.0,46500000.0,
Special Income Charges,-88100000.0,-755000000.0,-20800000.0,-116200000.0,0.0,
Gain On Sale Of Ppe,,,,,,0.0
Restructuring And Mergern Acquisition,88100000.0,755000000.0,20800000.0,116200000.0,0.0,
Earnings From Equity Interest,60600000.0,85100000.0,57100000.0,59100000.0,46500000.0,
Net Non Operating Interest Income Expense,-126000000.0,-114300000.0,-116700000.0,-98900000.0,-99400000.0,
Interest Expense Non Operating,139000000.0,145800000.0,142300000.0,127300000.0,127200000.0,
Interest Income Non Operating,13000000.0,31500000.0,25600000.0,28400000.0,27800000.0,
Operating Income,918300000.0,948100000.0,899300000.0,658100000.0,1075200000.0,
Operating Expense,1170900000.0,1214500000.0,1256400000.0,1189900000.0,1225900000.0,
Other Operating Expenses,131200000.0,141800000.0,151600000.0,138700000.0,152500000.0,
Depreciation Amortization Depletion Income Statement,400900000.0,430700000.0,427600000.0,418900000.0,407600000.0,
Depreciation And Amortization In Income Statement,400900000.0,430700000.0,427600000.0,418900000.0,407600000.0,
Selling General And Administration,638800000.0,642000000.0,677200000.0,632300000.0,665800000.0,
General And Administrative Expense,638800000.0,642000000.0,677200000.0,632300000.0,665800000.0,
Other Gand A,638800000.0,642000000.0,677200000.0,632300000.0,665800000.0,
Gross Profit,2089200000.0,2162600000.0,2155700000.0,1848000000.0,2301100000.0,
Cost Of Revenue,7825900000.0,7406400000.0,7300300000.0,6913600000.0,7096700000.0,
Total Revenue,9915100000.0,9569000000.0,9456000000.0,8761600000.0,9397800000.0,
Operating Revenue,9318400000.0,8955000000.0,8918100000.0,8301000000.0,8921000000.0,
