,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2405000000.0,1105000000.0,822000000.0,211000000.0,1724000000.0,
Repurchase Of Capital Stock,0.0,-114000000.0,0.0,-2300000000.0,-501000000.0,
Repayment Of Debt,-485000000.0,-1084000000.0,-1000000.0,-27000000.0,-397000000.0,
Issuance Of Debt,-660000000.0,-421000000.0,-724000000.0,1805000000.0,0.0,
Capital Expenditure,-600000000.0,-577000000.0,-320000000.0,-449000000.0,-666000000.0,
End Cash Position,3036000000.0,3014000000.0,3236000000.0,2936000000.0,3544000000.0,
Beginning Cash Position,3014000000.0,3236000000.0,2936000000.0,3544000000.0,3086000000.0,
Effect Of Exchange Rate Changes,8000000.0,-16000000.0,23000000.0,42000000.0,-24000000.0,
Changes In Cash,14000000.0,-206000000.0,277000000.0,-650000000.0,482000000.0,
Financing Cash Flow,-1721000000.0,-1932000000.0,-1111000000.0,-878000000.0,-1431000000.0,
Cash Flow From Continuing Financing Activities,-1721000000.0,-1932000000.0,-1111000000.0,-878000000.0,-1431000000.0,
Net Other Financing Charges,-113000000.0,-44000000.0,1000000.0,-83000000.0,-33000000.0,
Proceeds From Stock Option Exercised,-1000000.0,117000000.0,0.0,113000000.0,4000000.0,
Cash Dividends Paid,-426000000.0,-403000000.0,-387000000.0,-386000000.0,-389000000.0,
Common Stock Dividend Paid,-426000000.0,-403000000.0,-387000000.0,-386000000.0,-389000000.0,
Net Common Stock Issuance,0.0,-114000000.0,0.0,-2300000000.0,-501000000.0,
Common Stock Payments,0.0,-114000000.0,0.0,-2300000000.0,-501000000.0,
Net Issuance Payments Of Debt,-1181000000.0,-1488000000.0,-725000000.0,1778000000.0,-512000000.0,
Net Short Term Debt Issuance,-36000000.0,45000000.0,-1000000.0,-27000000.0,27000000.0,
Short Term Debt Payments,,,-1000000.0,-27000000.0,,-123000000.0
Net Long Term Debt Issuance,-1145000000.0,-1533000000.0,-724000000.0,1805000000.0,-539000000.0,
Long Term Debt Payments,-485000000.0,-1112000000.0,0.0,0.0,-539000000.0,
Long Term Debt Issuance,-660000000.0,-421000000.0,-724000000.0,1805000000.0,0.0,
Investing Cash Flow,-1270000000.0,44000000.0,246000000.0,-432000000.0,-477000000.0,
Cash Flow From Continuing Investing Activities,-1270000000.0,44000000.0,246000000.0,-432000000.0,-477000000.0,
Net Other Investing Changes,101000000.0,80000000.0,-69000000.0,-3000000.0,58000000.0,
Net Investment Purchase And Sale,-728000000.0,-465000000.0,645000000.0,57000000.0,132000000.0,
Sale Of Investment,-522000000.0,-334000000.0,810000000.0,240000000.0,60000000.0,
Purchase Of Investment,-206000000.0,-131000000.0,-165000000.0,-183000000.0,72000000.0,
Net Business Purchase And Sale,-43000000.0,1006000000.0,-10000000.0,-37000000.0,-1000000.0,
Sale Of Business,0.0,,,,0.0,0.0
Purchase Of Business,-43000000.0,-97000000.0,-10000000.0,-37000000.0,-1000000.0,
Capital Expenditure Reported,-600000000.0,-577000000.0,-320000000.0,-449000000.0,-666000000.0,
Operating Cash Flow,3005000000.0,1682000000.0,1142000000.0,660000000.0,2390000000.0,
Cash Flow From Continuing Operating Activities,3005000000.0,1682000000.0,1142000000.0,660000000.0,2390000000.0,
Change In Working Capital,1228000000.0,100000000.0,-451000000.0,-921000000.0,361000000.0,
Change In Other Current Liabilities,-2000000.0,-33000000.0,46000000.0,27000000.0,-7000000.0,
Change In Other Current Assets,-60000000.0,6000000.0,-27000000.0,69000000.0,-4000000.0,
Change In Payables And Accrued Expense,660000000.0,136000000.0,-388000000.0,-331000000.0,70000000.0,
Change In Payable,660000000.0,136000000.0,-388000000.0,-331000000.0,70000000.0,
Change In Account Payable,599000000.0,176000000.0,-282000000.0,-275000000.0,-26000000.0,
Change In Tax Payable,61000000.0,-40000000.0,-106000000.0,-56000000.0,96000000.0,
Change In Income Tax Payable,61000000.0,-40000000.0,-106000000.0,-56000000.0,96000000.0,
Change In Inventory,177000000.0,39000000.0,-74000000.0,-214000000.0,142000000.0,
Change In Receivables,453000000.0,-48000000.0,-8000000.0,-472000000.0,160000000.0,
Other Non Cash Items,149000000.0,219000000.0,-174000000.0,68000000.0,426000000.0,
Stock Based Compensation,75000000.0,89000000.0,77000000.0,91000000.0,72000000.0,
Asset Impairment Charge,376000000.0,52000000.0,,,,0.0
Deferred Tax,-190000000.0,-29000000.0,-23000000.0,-37000000.0,-73000000.0,
Deferred Income Tax,-190000000.0,-29000000.0,-23000000.0,-37000000.0,-73000000.0,
Depreciation Amortization Depletion,198000000.0,638000000.0,633000000.0,640000000.0,14000000.0,
Depreciation And Amortization,198000000.0,638000000.0,633000000.0,640000000.0,14000000.0,
Operating Gains Losses,0.0,-161000000.0,-37000000.0,-10000000.0,-9000000.0,
Earnings Losses From Equity Investments,0.0,-12000000.0,-37000000.0,-10000000.0,-9000000.0,
Gain Loss On Sale Of Business,0.0,,,,,
Net Income From Continuing Operations,800000000.0,774000000.0,1048000000.0,829000000.0,1118000000.0,
