,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-70059384.941676,-57960000.0,-3780000.0,-45320000.0,-50813266.041817,
Tax Rate For Calcs,0.151644,0.23,0.18,0.22,0.193944,
Normalized EBITDA,1729000000.0,2032000000.0,2081000000.0,2056000000.0,1794000000.0,
Total Unusual Items,-462000000.0,-252000000.0,-21000000.0,-206000000.0,-262000000.0,
Total Unusual Items Excluding Goodwill,-462000000.0,-252000000.0,-21000000.0,-206000000.0,-262000000.0,
Net Income From Continuing Operation Net Minority Interest,824000000.0,739000000.0,1014000000.0,797000000.0,1095000000.0,
Reconciled Depreciation,198000000.0,638000000.0,633000000.0,640000000.0,14000000.0,
Reconciled Cost Of Revenue,8016000000.0,7370000000.0,6934000000.0,6884000000.0,7323000000.0,
EBITDA,1267000000.0,1780000000.0,2060000000.0,1850000000.0,1532000000.0,
EBIT,1069000000.0,1142000000.0,1427000000.0,1210000000.0,1518000000.0,
Net Interest Income,-94000000.0,-105000000.0,-111000000.0,-111000000.0,-86000000.0,
Interest Expense,126000000.0,142000000.0,142000000.0,147000000.0,131000000.0,
Interest Income,32000000.0,37000000.0,31000000.0,36000000.0,45000000.0,
Normalized Income,1215940615.058324,933040000.0,1031220000.0,957680000.0,1306186733.958183,
Net Income From Continuing And Discontinued Operation,824000000.0,739000000.0,1014000000.0,797000000.0,1095000000.0,
Total Expenses,8287000000.0,7612000000.0,7201000000.0,7152000000.0,7595000000.0,
Diluted Average Shares,1511000000.0,1488000000.0,1366000000.0,1380000000.0,1420000000.0,
Basic Average Shares,1495000000.0,1471000000.0,1352000000.0,1366000000.0,1406000000.0,
Diluted EPS,0.55,0.5,0.74,0.58,0.77,
Basic EPS,0.551171,0.502379,0.75,0.58,0.778805,
Diluted NI Availto Com Stockholders,824000000.0,739000000.0,1014000000.0,797000000.0,1095000000.0,
Net Income Common Stockholders,824000000.0,739000000.0,1014000000.0,797000000.0,1095000000.0,
Net Income,824000000.0,739000000.0,1014000000.0,797000000.0,1095000000.0,
Minority Interests,24000000.0,-35000000.0,-34000000.0,-32000000.0,-23000000.0,
Net Income Including Noncontrolling Interests,800000000.0,774000000.0,1048000000.0,829000000.0,1118000000.0,
Net Income Continuous Operations,800000000.0,774000000.0,1048000000.0,829000000.0,1118000000.0,
Tax Provision,143000000.0,226000000.0,237000000.0,234000000.0,269000000.0,
Pretax Income,943000000.0,1000000000.0,1285000000.0,1063000000.0,1387000000.0,
Other Income Expense,-421000000.0,-211000000.0,51000000.0,-164000000.0,-216000000.0,
Special Income Charges,-462000000.0,-252000000.0,-21000000.0,-206000000.0,-262000000.0,
Gain On Sale Of Business,0.0,0.0,149000000.0,,24000000.0,0.0
Restructuring And Mergern Acquisition,131000000.0,252000000.0,170000000.0,206000000.0,286000000.0,
Earnings From Equity Interest,41000000.0,41000000.0,72000000.0,42000000.0,46000000.0,
Net Non Operating Interest Income Expense,-94000000.0,-105000000.0,-111000000.0,-111000000.0,-86000000.0,
Interest Expense Non Operating,126000000.0,142000000.0,142000000.0,147000000.0,131000000.0,
Interest Income Non Operating,32000000.0,37000000.0,31000000.0,36000000.0,45000000.0,
Operating Income,1458000000.0,1316000000.0,1345000000.0,1338000000.0,1689000000.0,
Operating Expense,271000000.0,242000000.0,267000000.0,268000000.0,272000000.0,
Research And Development,187000000.0,170000000.0,180000000.0,172000000.0,192000000.0,
Selling General And Administration,84000000.0,72000000.0,87000000.0,96000000.0,80000000.0,
General And Administrative Expense,84000000.0,72000000.0,87000000.0,96000000.0,80000000.0,
Other Gand A,84000000.0,72000000.0,87000000.0,96000000.0,80000000.0,
Gross Profit,1729000000.0,1558000000.0,1612000000.0,1606000000.0,1961000000.0,
Cost Of Revenue,8016000000.0,7370000000.0,6934000000.0,6884000000.0,7323000000.0,
Total Revenue,9745000000.0,8928000000.0,8546000000.0,8490000000.0,9284000000.0,
Operating Revenue,9745000000.0,8928000000.0,8546000000.0,8490000000.0,9284000000.0,
