,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1702000000.0,1460000000.0,1384000000.0,910000000.0,1707000000.0,
Repurchase Of Capital Stock,-2500000000.0,-1200000000.0,-651000000.0,-650000000.0,-1300000000.0,
Repayment Of Debt,0.0,0.0,0.0,-4000000.0,0.0,
Issuance Of Debt,,,,0.0,0.0,0.0
Capital Expenditure,-46000000.0,-45000000.0,-61000000.0,-43000000.0,-33000000.0,
End Cash Position,1745000000.0,1672000000.0,1847000000.0,1469000000.0,1666000000.0,
Beginning Cash Position,1672000000.0,1847000000.0,1469000000.0,1666000000.0,1697000000.0,
Effect Of Exchange Rate Changes,-1000000.0,-13000000.0,44000000.0,32000000.0,-60000000.0,
Changes In Cash,74000000.0,-162000000.0,334000000.0,-229000000.0,29000000.0,
Financing Cash Flow,-1202000000.0,-1566000000.0,-1059000000.0,-1103000000.0,-1718000000.0,
Cash Flow From Continuing Financing Activities,-1202000000.0,-1566000000.0,-1059000000.0,-1103000000.0,-1718000000.0,
Net Other Financing Charges,-120000000.0,-75000000.0,-114000000.0,-154000000.0,-138000000.0,
Cash Dividends Paid,-290000000.0,-291000000.0,-294000000.0,-295000000.0,-280000000.0,
Common Stock Dividend Paid,-290000000.0,-291000000.0,-294000000.0,-295000000.0,-280000000.0,
Net Common Stock Issuance,-2500000000.0,-1200000000.0,-651000000.0,-650000000.0,-1300000000.0,
Common Stock Payments,-2500000000.0,-1200000000.0,-651000000.0,-650000000.0,-1300000000.0,
Net Issuance Payments Of Debt,1708000000.0,0.0,0.0,-4000000.0,0.0,
Net Short Term Debt Issuance,,,,0.0,0.0,0.0
Short Term Debt Payments,,,,,0.0,
Short Term Debt Issuance,,,,0.0,,
Net Long Term Debt Issuance,993000000.0,0.0,0.0,-4000000.0,0.0,
Long Term Debt Payments,0.0,0.0,0.0,-4000000.0,0.0,
Long Term Debt Issuance,,,,,0.0,
Investing Cash Flow,-472000000.0,-101000000.0,-52000000.0,-79000000.0,7000000.0,
Cash Flow From Continuing Investing Activities,-472000000.0,-101000000.0,-52000000.0,-79000000.0,7000000.0,
Net Investment Purchase And Sale,17000000.0,-35000000.0,6000000.0,-23000000.0,7000000.0,
Net Business Purchase And Sale,-443000000.0,-21000000.0,3000000.0,-13000000.0,33000000.0,
Sale Of Business,1530000000.0,4000000.0,,,74000000.0,
Purchase Of Business,-1973000000.0,-25000000.0,-12000000.0,-13000000.0,-41000000.0,
Capital Expenditure Reported,-46000000.0,-45000000.0,-61000000.0,-43000000.0,-33000000.0,
Operating Cash Flow,1748000000.0,1505000000.0,1445000000.0,953000000.0,1740000000.0,
Cash Flow From Continuing Operating Activities,1748000000.0,1505000000.0,1445000000.0,953000000.0,1740000000.0,
Change In Working Capital,252000000.0,55000000.0,-175000000.0,-564000000.0,265000000.0,
Change In Other Working Capital,314000000.0,-186000000.0,-113000000.0,157000000.0,362000000.0,
Change In Other Current Liabilities,95000000.0,-36000000.0,-82000000.0,-58000000.0,-19000000.0,
Change In Payables And Accrued Expense,438000000.0,31000000.0,154000000.0,-678000000.0,376000000.0,
Change In Payable,438000000.0,31000000.0,154000000.0,-678000000.0,376000000.0,
Change In Account Payable,438000000.0,31000000.0,154000000.0,-678000000.0,376000000.0,
Change In Prepaid Assets,-26000000.0,176000000.0,-255000000.0,237000000.0,-187000000.0,
Change In Receivables,-569000000.0,70000000.0,121000000.0,-222000000.0,-267000000.0,
Changes In Account Receivables,-569000000.0,70000000.0,121000000.0,-222000000.0,-267000000.0,
Other Non Cash Items,120000000.0,-46000000.0,189000000.0,61000000.0,221000000.0,
Stock Based Compensation,69000000.0,75000000.0,45000000.0,47000000.0,70000000.0,
Provisionand Write Offof Assets,11000000.0,11000000.0,9000000.0,8000000.0,7000000.0,
Deferred Tax,45000000.0,-149000000.0,-75000000.0,-63000000.0,-52000000.0,
Deferred Income Tax,45000000.0,-149000000.0,-75000000.0,-63000000.0,-52000000.0,
Depreciation Amortization Depletion,297000000.0,294000000.0,295000000.0,293000000.0,300000000.0,
Depreciation And Amortization,297000000.0,294000000.0,295000000.0,293000000.0,300000000.0,
Amortization Cash Flow,266000000.0,266000000.0,269000000.0,268000000.0,274000000.0,
Amortization Of Intangibles,266000000.0,266000000.0,269000000.0,268000000.0,274000000.0,
Depreciation,31000000.0,28000000.0,26000000.0,25000000.0,26000000.0,
Operating Gains Losses,-270000000.0,0.0,,,-38000000.0,
Net Income From Continuing Operations,1224000000.0,1265000000.0,1160000000.0,1171000000.0,967000000.0,
