,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,68873083.997548,-624000.0,5928000.0,-2170000.0,10527910.685805,
Tax Rate For Calcs,0.24954,0.208,0.228,0.217,0.228868,
Normalized EBITDA,1706000000.0,1974000000.0,1849000000.0,1877000000.0,1578000000.0,
Total Unusual Items,276000000.0,-3000000.0,26000000.0,-10000000.0,46000000.0,
Total Unusual Items Excluding Goodwill,276000000.0,-3000000.0,26000000.0,-10000000.0,46000000.0,
Net Income From Continuing Operation Net Minority Interest,1134000000.0,1176000000.0,1072000000.0,1090000000.0,880000000.0,
Reconciled Depreciation,297000000.0,294000000.0,295000000.0,293000000.0,300000000.0,
Reconciled Cost Of Revenue,1170000000.0,1121000000.0,1120000000.0,1153000000.0,1114000000.0,
EBITDA,1982000000.0,1971000000.0,1875000000.0,1867000000.0,1624000000.0,
EBIT,1685000000.0,1677000000.0,1579000000.0,1574000000.0,1324000000.0,
Net Interest Income,-54000000.0,-79000000.0,-77000000.0,-78000000.0,-70000000.0,
Interest Expense,54000000.0,79000000.0,77000000.0,78000000.0,70000000.0,
Normalized Income,926873083.997548,1178376000.0,1051928000.0,1097830000.0,844527910.685805,
Net Income From Continuing And Discontinued Operation,1134000000.0,1176000000.0,1072000000.0,1090000000.0,880000000.0,
Total Expenses,2512000000.0,2220000000.0,2218000000.0,2210000000.0,2333000000.0,
Total Operating Income As Reported,1674000000.0,1675000000.0,1551000000.0,1578000000.0,1309000000.0,
Diluted Average Shares,302100000.0,304500000.0,306100000.0,307700000.0,308900000.0,
Basic Average Shares,301800000.0,304300000.0,305900000.0,307300000.0,308500000.0,
Diluted EPS,3.75,3.86,3.5,3.54,2.85,
Basic EPS,3.76,3.86,3.5,3.55,2.85,
Diluted NI Availto Com Stockholders,1134000000.0,1176000000.0,1072000000.0,1090000000.0,880000000.0,
Net Income Common Stockholders,1134000000.0,1176000000.0,1072000000.0,1090000000.0,880000000.0,
Net Income,1134000000.0,1176000000.0,1072000000.0,1090000000.0,880000000.0,
Minority Interests,-90000000.0,-89000000.0,-88000000.0,-81000000.0,-87000000.0,
Net Income Including Noncontrolling Interests,1224000000.0,1265000000.0,1160000000.0,1171000000.0,967000000.0,
Net Income Continuous Operations,1224000000.0,1265000000.0,1160000000.0,1171000000.0,967000000.0,
Tax Provision,407000000.0,333000000.0,342000000.0,325000000.0,287000000.0,
Pretax Income,1631000000.0,1598000000.0,1502000000.0,1496000000.0,1254000000.0,
Other Income Expense,281000000.0,9000000.0,42000000.0,7000000.0,65000000.0,
Other Non Operating Income Expenses,5000000.0,5000000.0,5000000.0,6000000.0,7000000.0,
Special Income Charges,270000000.0,0.0,3000000.0,,38000000.0,21000000.0
Gain On Sale Of Business,270000000.0,0.0,3000000.0,,38000000.0,21000000.0
Earnings From Equity Interest,0.0,7000000.0,11000000.0,11000000.0,12000000.0,
Gain On Sale Of Security,6000000.0,-3000000.0,23000000.0,-10000000.0,8000000.0,
Net Non Operating Interest Income Expense,-54000000.0,-79000000.0,-77000000.0,-78000000.0,-70000000.0,
Interest Expense Non Operating,54000000.0,79000000.0,77000000.0,78000000.0,70000000.0,
Operating Income,1404000000.0,1668000000.0,1537000000.0,1567000000.0,1259000000.0,
Operating Expense,1342000000.0,1099000000.0,1099000000.0,1057000000.0,1219000000.0,
Depreciation Amortization Depletion Income Statement,297000000.0,294000000.0,296000000.0,293000000.0,300000000.0,
Depreciation And Amortization In Income Statement,297000000.0,294000000.0,296000000.0,293000000.0,300000000.0,
Amortization,266000000.0,266000000.0,270000000.0,268000000.0,274000000.0,
Amortization Of Intangibles Income Statement,266000000.0,266000000.0,270000000.0,268000000.0,274000000.0,
Depreciation Income Statement,31000000.0,28000000.0,26000000.0,25000000.0,26000000.0,
Selling General And Administration,1045000000.0,805000000.0,803000000.0,764000000.0,919000000.0,
Gross Profit,2746000000.0,2767000000.0,2636000000.0,2624000000.0,2478000000.0,
Cost Of Revenue,1170000000.0,1121000000.0,1119000000.0,1153000000.0,1114000000.0,
Total Revenue,3916000000.0,3888000000.0,3755000000.0,3777000000.0,3592000000.0,
Operating Revenue,3916000000.0,3888000000.0,3755000000.0,3777000000.0,3592000000.0,
