,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,9775000000.0,7658000000.0,-8760000000.0,2170000000.0,-7679000000.0
Repurchase Of Capital Stock,-419000000.0,-416000000.0,-314000000.0,-157000000.0,-565000000.0
Repayment Of Debt,-504000000.0,-1314000000.0,-1013000000.0,-1312000000.0,-2011000000.0
Issuance Of Debt,994000000.0,0.0,1991000000.0,2737000000.0,10711000000.0
Issuance Of Capital Stock,0.0,0.0,0.0,743000000.0,0.0
Capital Expenditure,-267000000.0,-243000000.0,-319000000.0,-226000000.0,-249000000.0
Interest Paid Supplemental Data,2019000000.0,2306000000.0,2406000000.0,2074000000.0,2358000000.0
Income Tax Paid Supplemental Data,143000000.0,82000000.0,183000000.0,186000000.0,106000000.0
End Cash Position,4433000000.0,4756000000.0,4020000000.0,4658000000.0,3145000000.0
Beginning Cash Position,4756000000.0,4020000000.0,4658000000.0,3145000000.0,4067000000.0
Changes In Cash,-323000000.0,736000000.0,-638000000.0,1513000000.0,-922000000.0
Financing Cash Flow,-12308000000.0,-7222000000.0,8187000000.0,13724000000.0,17550000000.0
Cash Flow From Continuing Financing Activities,-12308000000.0,-7222000000.0,8187000000.0,13724000000.0,17550000000.0
Net Other Financing Charges,-7000000.0,-3000000.0,-4000000.0,-6000000.0,-4000000.0
Cash Dividends Paid,-296000000.0,-275000000.0,-283000000.0,-266000000.0,-278000000.0
Net Preferred Stock Issuance,0.0,0.0,0.0,743000000.0,0.0
Preferred Stock Payments,0.0,0.0,0.0,0.0,0.0
Preferred Stock Issuance,0.0,0.0,0.0,743000000.0,0.0
Net Common Stock Issuance,-419000000.0,-416000000.0,-314000000.0,-157000000.0,-565000000.0
Common Stock Payments,-419000000.0,-416000000.0,-314000000.0,-157000000.0,-565000000.0
Net Issuance Payments Of Debt,-5513000000.0,-1333000000.0,-1028000000.0,3435000000.0,2342000000.0
Net Short Term Debt Issuance,-6003000000.0,-19000000.0,-2006000000.0,2010000000.0,-178000000.0
Net Long Term Debt Issuance,490000000.0,-1314000000.0,978000000.0,1425000000.0,2520000000.0
Long Term Debt Payments,-504000000.0,-1314000000.0,-1013000000.0,-1312000000.0,-2011000000.0
Long Term Debt Issuance,994000000.0,0.0,1991000000.0,2737000000.0,4531000000.0
Investing Cash Flow,1943000000.0,57000000.0,-384000000.0,-14607000000.0,-11042000000.0
Cash Flow From Continuing Investing Activities,1943000000.0,57000000.0,-384000000.0,-14607000000.0,-11042000000.0
Net Other Investing Changes,393000000.0,96000000.0,258000000.0,-103000000.0,-235000000.0
Net Investment Purchase And Sale,4619000000.0,2862000000.0,1291000000.0,-5284000000.0,-2537000000.0
Sale Of Investment,14011000000.0,12415000000.0,15259000000.0,13212000000.0,9417000000.0
Purchase Of Investment,-9392000000.0,-9553000000.0,-13968000000.0,-18496000000.0,-11954000000.0
Net Business Purchase And Sale,-286000000.0,0.0,0.0,0.0,0.0
Purchase Of Business,-286000000.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-267000000.0,-243000000.0,-319000000.0,-226000000.0,-249000000.0
Purchase Of PPE,-267000000.0,-243000000.0,-319000000.0,-226000000.0,-249000000.0
Operating Cash Flow,10042000000.0,7901000000.0,-8441000000.0,2396000000.0,-7430000000.0
Cash Flow From Continuing Operating Activities,10042000000.0,7901000000.0,-8441000000.0,2396000000.0,-7430000000.0
Change In Working Capital,9059000000.0,6811000000.0,-9325000000.0,1478000000.0,-8566000000.0
Change In Other Working Capital,9964000000.0,9351000000.0,-10192000000.0,2941000000.0,-9601000000.0
Change In Other Current Assets,158000000.0,-2000000.0,-919000000.0,-1761000000.0,1489000000.0
Change In Payables And Accrued Expense,-1156000000.0,-2650000000.0,2094000000.0,545000000.0,-581000000.0
Change In Accrued Expense,-1156000000.0,-2650000000.0,2094000000.0,545000000.0,-581000000.0
Change In Receivables,93000000.0,112000000.0,-308000000.0,-247000000.0,127000000.0
Changes In Account Receivables,93000000.0,112000000.0,-308000000.0,-247000000.0,127000000.0
Other Non Cash Items,67000000.0,61000000.0,126000000.0,156000000.0,135000000.0
Deferred Tax,-26000000.0,1000000.0,-82000000.0,18000000.0,88000000.0
Deferred Income Tax,-26000000.0,1000000.0,-82000000.0,18000000.0,88000000.0
Depreciation Amortization Depletion,190000000.0,159000000.0,117000000.0,88000000.0,119000000.0
Depreciation And Amortization,190000000.0,159000000.0,117000000.0,88000000.0,119000000.0
Amortization Cash Flow,57000000.0,56000000.0,56000000.0,54000000.0,54000000.0
Amortization Of Intangibles,57000000.0,56000000.0,56000000.0,54000000.0,54000000.0
Depreciation,133000000.0,103000000.0,61000000.0,34000000.0,65000000.0
Operating Gains Losses,-3000000.0,,,,-1000000.0
Gain Loss On Investment Securities,-3000000.0,,,,-1000000.0
Net Income From Continuing Operations,747000000.0,861000000.0,693000000.0,644000000.0,783000000.0
