,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,1262470000.0,1279246311.0,1289435167.0,1309538961.0,1315936000.0,
Share Issued,1262470000.0,1279246311.0,1289435167.0,1309538961.0,1315936000.0,
Net Debt,27928000000.0,34253000000.0,19607000000.0,13589000000.0,12822000000.0,
Total Debt,64305000000.0,71105000000.0,61058000000.0,55760000000.0,52590000000.0,
Tangible Book Value,37920000000.0,37510000000.0,36797000000.0,36502000000.0,35389000000.0,
Invested Capital,124578000000.0,130844000000.0,119991000000.0,114488000000.0,110362000000.0,
Net Tangible Assets,42836000000.0,43417000000.0,42704000000.0,42409000000.0,41296000000.0,
Common Stock Equity,60273000000.0,59739000000.0,58933000000.0,58728000000.0,57772000000.0,
Preferred Stock Equity,4916000000.0,5907000000.0,5907000000.0,5907000000.0,5907000000.0,
Total Capitalization,107152000000.0,107375000000.0,109267000000.0,96665000000.0,98635000000.0,
Total Equity Gross Minority Interest,65189000000.0,65646000000.0,64840000000.0,64635000000.0,63679000000.0,
Minority Interest,,,,,0.0,0.0
Stockholders Equity,65189000000.0,65646000000.0,64840000000.0,64635000000.0,63679000000.0,
Gains Losses Not Affecting Retained Earnings,-5769000000.0,-6373000000.0,-6893000000.0,-7250000000.0,-8213000000.0,
Other Equity Adjustments,-5769000000.0,-6373000000.0,-6893000000.0,-7250000000.0,-8213000000.0,
Retained Earnings,26067000000.0,25438000000.0,24759000000.0,24252000000.0,23777000000.0,
Additional Paid In Capital,33663000000.0,34278000000.0,34620000000.0,35178000000.0,35628000000.0,
Capital Stock,11228000000.0,12303000000.0,12354000000.0,12455000000.0,12487000000.0,
Common Stock,6312000000.0,6396000000.0,6447000000.0,6548000000.0,6580000000.0,
Preferred Stock,4916000000.0,5907000000.0,5907000000.0,5907000000.0,5907000000.0,
Total Liabilities Net Minority Interest,482349000000.0,478205000000.0,478993000000.0,471264000000.0,467497000000.0,
Derivative Product Liabilities,2185000000.0,,,,1694000000.0,2545000000.0
Long Term Debt And Capital Lease Obligation,41963000000.0,41729000000.0,44427000000.0,32030000000.0,34956000000.0,
Long Term Debt,41963000000.0,41729000000.0,44427000000.0,32030000000.0,34956000000.0,
Current Debt And Capital Lease Obligation,22342000000.0,29376000000.0,16631000000.0,23730000000.0,17634000000.0,
Current Debt,22342000000.0,29376000000.0,16631000000.0,23730000000.0,17634000000.0,
Other Current Borrowings,22342000000.0,29376000000.0,16631000000.0,23730000000.0,17634000000.0,
Total Assets,547538000000.0,543851000000.0,543833000000.0,535899000000.0,531176000000.0,
Defined Pension Benefit,7920000000.0,7407000000.0,7383000000.0,7310000000.0,7238000000.0,
Investments And Advances,115850000000.0,117209000000.0,119142000000.0,121457000000.0,121533000000.0,
Held To Maturity Securities,47186000000.0,48022000000.0,48973000000.0,49876000000.0,50640000000.0,
Available For Sale Securities,60281000000.0,61024000000.0,61986000000.0,63715000000.0,62909000000.0,
Trading Securities,3622000000.0,3665000000.0,3779000000.0,3569000000.0,3429000000.0,
Goodwill And Other Intangible Assets,22353000000.0,22229000000.0,22136000000.0,22226000000.0,22383000000.0,
Other Intangible Assets,5228000000.0,5104000000.0,5011000000.0,5101000000.0,5258000000.0,
Goodwill,17125000000.0,17125000000.0,17125000000.0,17125000000.0,17125000000.0,
Net PPE,5576000000.0,5661000000.0,5690000000.0,5634000000.0,5592000000.0,
Accumulated Depreciation,-2674000000.0,,,,-2644000000.0,
Gross PPE,8250000000.0,5661000000.0,5690000000.0,5634000000.0,8236000000.0,
Leases,973000000.0,,,,921000000.0,
Construction In Progress,103000000.0,,,,87000000.0,
Other Properties,2442000000.0,5661000000.0,5690000000.0,5634000000.0,2405000000.0,
Machinery Furniture Equipment,1305000000.0,,,,1494000000.0,
Buildings And Improvements,2665000000.0,,,,2578000000.0,
Land And Improvements,762000000.0,,,,751000000.0,
Prepaid Assets,1075000000.0,1063000000.0,1098000000.0,1105000000.0,1061000000.0,
Receivables,13534000000.0,13924000000.0,13738000000.0,13789000000.0,13276000000.0,
Other Receivables,11910000000.0,11798000000.0,11644000000.0,11548000000.0,11372000000.0,
Accounts Receivable,1624000000.0,2126000000.0,2094000000.0,2241000000.0,1904000000.0,
Other Short Term Investments,4761000000.0,4498000000.0,4404000000.0,4297000000.0,67464000000.0,
Cash And Cash Equivalents,36377000000.0,36852000000.0,41451000000.0,42171000000.0,39768000000.0,
Cash Financial,4967000000.0,4329000000.0,5157000000.0,5996000000.0,5793000000.0,
Cash Cash Equivalents And Federal Funds Sold,39577000000.0,39833000000.0,44107000000.0,44981000000.0,42318000000.0,
