,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2582000000.0,1497000000.0,914000000.0,746000000.0,775000000.0,
Repurchase Of Capital Stock,-1750000000.0,-500000000.0,-750000000.0,-500000000.0,-1250000000.0,
Repayment Of Debt,-18583000000.0,-25015000000.0,-15817000000.0,-3669000000.0,-10049000000.0,
Issuance Of Debt,18848000000.0,22265000000.0,28090000000.0,552000000.0,8424000000.0,
Interest Paid Supplemental Data,2505000000.0,2601000000.0,2589000000.0,2378000000.0,2676000000.0,
Income Tax Paid Supplemental Data,-4000000.0,26000000.0,132000000.0,38000000.0,68000000.0,
End Cash Position,36377000000.0,36852000000.0,41451000000.0,42171000000.0,39768000000.0,
Beginning Cash Position,36852000000.0,41451000000.0,42171000000.0,39768000000.0,39640000000.0,
Changes In Cash,-475000000.0,-4599000000.0,-720000000.0,2403000000.0,128000000.0,
Financing Cash Flow,1735000000.0,-2461000000.0,6071000000.0,3288000000.0,7313000000.0,
Cash Flow From Continuing Financing Activities,1735000000.0,-2461000000.0,6071000000.0,3288000000.0,7313000000.0,
Net Other Financing Charges,-13000000.0,18000000.0,-14000000.0,-62000000.0,-129000000.0,
Cash Dividends Paid,-714000000.0,-769000000.0,-730000000.0,-783000000.0,-761000000.0,
Preferred Stock Dividend Paid,-56000000.0,-104000000.0,-60000000.0,-104000000.0,-76000000.0,
Common Stock Dividend Paid,-658000000.0,-665000000.0,-670000000.0,-679000000.0,-685000000.0,
Net Common Stock Issuance,-750000000.0,-500000000.0,-750000000.0,-500000000.0,-500000000.0,
Common Stock Payments,-750000000.0,-500000000.0,-750000000.0,-500000000.0,-500000000.0,
Net Issuance Payments Of Debt,-1279000000.0,10005000000.0,5179000000.0,-8579000000.0,6707000000.0,
Net Short Term Debt Issuance,-1544000000.0,12755000000.0,-7094000000.0,-5462000000.0,8332000000.0,
Net Long Term Debt Issuance,265000000.0,-2750000000.0,12273000000.0,-3117000000.0,-1625000000.0,
Long Term Debt Payments,-18583000000.0,-25015000000.0,-15817000000.0,-3669000000.0,-10049000000.0,
Long Term Debt Issuance,18848000000.0,22265000000.0,28090000000.0,552000000.0,8424000000.0,
Investing Cash Flow,-4792000000.0,-3635000000.0,-7705000000.0,-1631000000.0,-7960000000.0,
Cash Flow From Continuing Investing Activities,-4792000000.0,-3635000000.0,-7705000000.0,-1631000000.0,-7960000000.0,
Net Other Investing Changes,-811000000.0,-513000000.0,-263000000.0,82000000.0,-62000000.0,
Net Investment Purchase And Sale,1722000000.0,2606000000.0,2803000000.0,1318000000.0,-4680000000.0,
Sale Of Investment,6847000000.0,5077000000.0,5539000000.0,5461000000.0,4738000000.0,
Purchase Of Investment,-5125000000.0,-2471000000.0,-2736000000.0,-4143000000.0,-9418000000.0,
Net Business Purchase And Sale,0.0,0.0,,,10000000.0,104000000.0
Operating Cash Flow,2582000000.0,1497000000.0,914000000.0,746000000.0,775000000.0,
Cash Flow From Continuing Operating Activities,2582000000.0,1497000000.0,914000000.0,746000000.0,775000000.0,
Change In Working Capital,268000000.0,-571000000.0,-1164000000.0,-1383000000.0,-1384000000.0,
Change In Other Working Capital,859000000.0,159000000.0,-903000000.0,-1627000000.0,484000000.0,
Change In Other Current Assets,-780000000.0,-24000000.0,-73000000.0,-72000000.0,-1663000000.0,
Other Non Cash Items,245000000.0,-22000000.0,119000000.0,190000000.0,185000000.0,
Depreciation Amortization Depletion,203000000.0,202000000.0,212000000.0,220000000.0,237000000.0,
Depreciation And Amortization,203000000.0,202000000.0,212000000.0,220000000.0,237000000.0,
Amortization Cash Flow,70000000.0,72000000.0,73000000.0,75000000.0,84000000.0,
Amortization Of Intangibles,70000000.0,72000000.0,73000000.0,75000000.0,84000000.0,
Depreciation,133000000.0,130000000.0,139000000.0,145000000.0,153000000.0,
Operating Gains Losses,0.0,0.0,,,-10000000.0,-16000000.0
Gain Loss On Investment Securities,0.0,0.0,,,1000000.0,0.0
Gain Loss On Sale Of Business,0.0,0.0,,,-11000000.0,-16000000.0
Net Income From Continuing Operations,1354000000.0,1452000000.0,1240000000.0,1261000000.0,1276000000.0,
