,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-25914322.250639,-4428000.0,-5052214.144085,-6802000.0,-12789575.289575,
Tax Rate For Calcs,0.134271,0.164,0.180436,0.179,0.170528,
Total Unusual Items,-193000000.0,-27000000.0,-28000000.0,-38000000.0,-75000000.0,
Total Unusual Items Excluding Goodwill,-193000000.0,-27000000.0,-28000000.0,-38000000.0,-75000000.0,
Net Income From Continuing Operation Net Minority Interest,1354000000.0,1452000000.0,1240000000.0,1261000000.0,1289000000.0,
Reconciled Depreciation,203000000.0,202000000.0,212000000.0,220000000.0,237000000.0,
Net Interest Income,3700000000.0,3629000000.0,3587000000.0,3507000000.0,3590000000.0,
Interest Expense,2414000000.0,2657000000.0,2567000000.0,2481000000.0,2589000000.0,
Interest Income,6114000000.0,6286000000.0,6154000000.0,5988000000.0,6179000000.0,
Normalized Income,1521085677.749361,1474572000.0,1262947785.855915,1292198000.0,1351210424.710425,
Net Income From Continuing And Discontinued Operation,1354000000.0,1452000000.0,1240000000.0,1261000000.0,1276000000.0,
Diluted Average Shares,1285078000.0,1296666000.0,1305005000.0,1324339000.0,1333701000.0,
Basic Average Shares,1267341000.0,1280571000.0,1292292000.0,1307457000.0,1317017000.0,
Diluted EPS,1.0,1.04,0.9,0.87,0.91,
Basic EPS,1.02,1.05,0.91,0.88,0.92,
Diluted NI Availto Com Stockholders,1289000000.0,1348000000.0,1180000000.0,1157000000.0,1216000000.0,
Net Income Common Stockholders,1289000000.0,1348000000.0,1180000000.0,1157000000.0,1216000000.0,
Preferred Stock Dividends,65000000.0,104000000.0,60000000.0,104000000.0,60000000.0,
Net Income,1354000000.0,1452000000.0,1240000000.0,1261000000.0,1276000000.0,
Minority Interests,0.0,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,1354000000.0,1452000000.0,1240000000.0,1261000000.0,1276000000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,-13000000.0,
Net Income Continuous Operations,1354000000.0,1452000000.0,1240000000.0,1261000000.0,1289000000.0,
Tax Provision,210000000.0,285000000.0,273000000.0,274000000.0,265000000.0,
Pretax Income,1564000000.0,1737000000.0,1513000000.0,1535000000.0,1554000000.0,
Special Income Charges,-193000000.0,-27000000.0,-28000000.0,-38000000.0,-75000000.0,
Restructuring And Mergern Acquisition,63000000.0,27000000.0,28000000.0,38000000.0,11000000.0,
Gain On Sale Of Security,0.0,0.0,-18000000.0,-1000000.0,-1000000.0,
Depreciation Amortization Depletion Income Statement,-29000000.0,103000000.0,106000000.0,110000000.0,120000000.0,
Depreciation And Amortization In Income Statement,-29000000.0,103000000.0,106000000.0,110000000.0,120000000.0,
Amortization,70000000.0,72000000.0,73000000.0,75000000.0,84000000.0,
Amortization Of Intangibles Income Statement,70000000.0,72000000.0,73000000.0,75000000.0,84000000.0,
Depreciation Income Statement,,31000000.0,33000000.0,35000000.0,36000000.0,34000000.0
Selling General And Administration,1945000000.0,1805000000.0,1735000000.0,1662000000.0,1661000000.0,
Selling And Marketing Expense,63000000.0,79000000.0,82000000.0,75000000.0,74000000.0,
General And Administrative Expense,1882000000.0,1726000000.0,1653000000.0,1587000000.0,1587000000.0,
Salaries And Wages,1882000000.0,1726000000.0,1653000000.0,1587000000.0,1587000000.0,
Total Revenue,5246000000.0,5187000000.0,4987000000.0,4899000000.0,5060000000.0,
Operating Revenue,5246000000.0,5187000000.0,4987000000.0,4899000000.0,5060000000.0,
Occupancy And Equipment,276000000.0,272000000.0,268000000.0,245000000.0,291000000.0,
Professional Expense And Contract Services Expense,337000000.0,346000000.0,373000000.0,364000000.0,415000000.0,
Other Non Interest Expense,448000000.0,461000000.0,476000000.0,487000000.0,473000000.0,
