,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,452840187.0,452796520.0,454396092.0,454364799.0,455566995.0,,
Share Issued,452840187.0,452796520.0,454396092.0,454364799.0,455566995.0,,
Net Debt,10968000000.0,12677000000.0,12115000000.0,12586000000.0,11178000000.0,,
Total Debt,20290000000.0,20041000000.0,19970000000.0,19037000000.0,19875000000.0,,
Tangible Book Value,15534000000.0,15501000000.0,15420000000.0,14947000000.0,14035000000.0,,
Invested Capital,32621000000.0,32000000000.0,31876000000.0,30420000000.0,30606000000.0,,
Working Capital,-1225000000.0,-540000000.0,-189000000.0,-1232000000.0,-1345000000.0,,
Net Tangible Assets,15534000000.0,15501000000.0,15420000000.0,14947000000.0,14035000000.0,,
Capital Lease Obligations,3834000000.0,3542000000.0,3514000000.0,3564000000.0,3935000000.0,,
Common Stock Equity,16165000000.0,15501000000.0,15420000000.0,14947000000.0,14666000000.0,,
Total Capitalization,30491000000.0,30867000000.0,30740000000.0,29281000000.0,28970000000.0,,
Total Equity Gross Minority Interest,16165000000.0,15501000000.0,15420000000.0,14947000000.0,14666000000.0,,
Stockholders Equity,16165000000.0,15501000000.0,15420000000.0,14947000000.0,14666000000.0,,
Gains Losses Not Affecting Retained Earnings,-417000000.0,-471000000.0,-468000000.0,-462000000.0,-458000000.0,,
Other Equity Adjustments,-417000000.0,-471000000.0,-468000000.0,-462000000.0,-458000000.0,,
Retained Earnings,9297000000.0,8777000000.0,8766000000.0,8360000000.0,8090000000.0,,
Additional Paid In Capital,7247000000.0,7157000000.0,7084000000.0,7011000000.0,6996000000.0,,
Capital Stock,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,,
Common Stock,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,,
Total Liabilities Net Minority Interest,43325000000.0,44490000000.0,42431000000.0,41238000000.0,43103000000.0,,
Total Non Current Liabilities Net Minority Interest,22095000000.0,23248000000.0,23208000000.0,22247000000.0,22304000000.0,,
Other Non Current Liabilities,123000000.0,2061000000.0,1961000000.0,2011000000.0,200000000.0,,
Employee Benefits,571000000.0,,,,561000000.0,,
Non Current Pension And Other Postretirement Benefit Plans,,,,,31000000.0,,
Tradeand Other Payables Non Current,340000000.0,,,,338000000.0,,
Non Current Deferred Liabilities,3273000000.0,2279000000.0,2413000000.0,2338000000.0,3319000000.0,,
Non Current Deferred Revenue,358000000.0,,,,388000000.0,,
Non Current Deferred Taxes Liabilities,2265000000.0,2279000000.0,2413000000.0,2338000000.0,2303000000.0,,
Long Term Debt And Capital Lease Obligation,17788000000.0,18908000000.0,18834000000.0,17898000000.0,17886000000.0,,
Long Term Capital Lease Obligation,3462000000.0,3542000000.0,3514000000.0,3564000000.0,3582000000.0,,
Long Term Debt,14326000000.0,15366000000.0,15320000000.0,14334000000.0,14304000000.0,,
Current Liabilities,21230000000.0,21242000000.0,19223000000.0,18991000000.0,20799000000.0,,
Other Current Liabilities,1236000000.0,,,,1062000000.0,,
Current Deferred Liabilities,1197000000.0,,,,1209000000.0,,
Current Deferred Revenue,1197000000.0,,,,1209000000.0,,
Current Debt And Capital Lease Obligation,2502000000.0,1133000000.0,1136000000.0,1139000000.0,1989000000.0,,
Current Capital Lease Obligation,372000000.0,,,,353000000.0,,
Current Debt,2130000000.0,1133000000.0,1136000000.0,1139000000.0,1636000000.0,,
Other Current Borrowings,2130000000.0,,,,1636000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,310000000.0,,,,211000000.0,,
Payables And Accrued Expenses,15985000000.0,20109000000.0,18087000000.0,17852000000.0,16328000000.0,,
Current Accrued Expenses,1703000000.0,6317000000.0,6068000000.0,6029000000.0,1723000000.0,,
Interest Payable,138000000.0,,,,126000000.0,,
Payables,14282000000.0,13792000000.0,12019000000.0,11823000000.0,14605000000.0,,
Dividends Payable,516000000.0,,,,510000000.0,,
Total Tax Payable,1144000000.0,,,,1042000000.0,,
Income Tax Payable,440000000.0,,,,334000000.0,,
Accounts Payable,12622000000.0,13792000000.0,12019000000.0,11823000000.0,13053000000.0,,
Total Assets,59490000000.0,59991000000.0,57851000000.0,56185000000.0,57769000000.0,,
Total Non Current Assets,39485000000.0,39289000000.0,38817000000.0,38426000000.0,38315000000.0,,
Other Non Current Assets,571000000.0,1840000000.0,1555000000.0,1505000000.0,238000000.0,,
Defined Pension Benefit,831000000.0,,,,661000000.0,,
Goodwill And Other Intangible Assets,631000000.0,,,,631000000.0,,
Goodwill,631000000.0,,,,631000000.0,,
Net PPE,37452000000.0,37449000000.0,37262000000.0,36921000000.0,36785000000.0,,
Accumulated Depreciation,-28390000000.0,,,,-26277000000.0,-25548000000.0,-24851000000.0
Gross PPE,65842000000.0,37449000000.0,37262000000.0,36921000000.0,63062000000.0,,
Construction In Progress,1303000000.0,,,,1185000000.0,758000000.0,830000000.0
Other Properties,3703000000.0,37449000000.0,37262000000.0,36921000000.0,3763000000.0,,
Machinery Furniture Equipment,13395000000.0,,,,12627000000.0,12389000000.0,12127000000.0
Buildings And Improvements,40418000000.0,,,,38752000000.0,38666000000.0,38324000000.0
Land And Improvements,7023000000.0,,,,6735000000.0,6666000000.0,6645000000.0
Properties,0.0,,,,0.0,0.0,0.0
Current Assets,20005000000.0,20702000000.0,19034000000.0,17759000000.0,19454000000.0,,
Other Current Assets,183000000.0,1984000000.0,1812000000.0,1824000000.0,185000000.0,,
Prepaid Assets,223000000.0,,,,226000000.0,,
Inventory,12304000000.0,14896000000.0,12881000000.0,13048000000.0,12740000000.0,,
Inventories Adjustments Allowances,-201000000.0,,,,-183000000.0,,
Other Inventories,12505000000.0,,,,12923000000.0,,
Receivables,1807000000.0,,,,1541000000.0,,
Other Receivables,542000000.0,,,,543000000.0,,
Accounts Receivable,1265000000.0,,,,998000000.0,,
Cash Cash Equivalents And Short Term Investments,5488000000.0,3822000000.0,4341000000.0,2887000000.0,4762000000.0,,
Cash And Cash Equivalents,5488000000.0,3822000000.0,4341000000.0,2887000000.0,4762000000.0,,
Cash Equivalents,5238000000.0,,3300000000.0,2000000000.0,4486000000.0,2500000000.0,
Cash Financial,250000000.0,,1041000000.0,887000000.0,276000000.0,933000000.0,
