,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.20107,0.198,0.232,0.25,0.215505
Normalized EBITDA,2210000000.0,1747000000.0,2105000000.0,2285000000.0,2262000000.0
Net Income From Continuing Operation Net Minority Interest,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Reconciled Depreciation,803000000.0,773000000.0,771000000.0,787000000.0,766000000.0
Reconciled Cost Of Revenue,22221000000.0,18013000000.0,17764000000.0,16996000000.0,22759000000.0
EBITDA,2210000000.0,1747000000.0,2105000000.0,2285000000.0,2262000000.0
EBIT,1407000000.0,974000000.0,1334000000.0,1498000000.0,1496000000.0
Net Interest Income,-99000000.0,-115000000.0,-116000000.0,-116000000.0,-90000000.0
Interest Expense,99000000.0,115000000.0,116000000.0,116000000.0,90000000.0
Normalized Income,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Net Income From Continuing And Discontinued Operation,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Total Expenses,29073000000.0,24322000000.0,23894000000.0,22374000000.0,29448000000.0
Total Operating Income As Reported,1380000000.0,948000000.0,1317000000.0,1472000000.0,1467000000.0
Diluted Average Shares,455100000.0,455100000.0,455600000.0,456500000.0,458400000.0
Basic Average Shares,453000000.0,453700000.0,454600000.0,455000000.0,456800000.0
Diluted EPS,2.3,1.51,2.05,2.27,2.41
Basic EPS,2.31,1.52,2.06,2.28,2.42
Diluted NI Availto Com Stockholders,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Net Income Common Stockholders,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Net Income,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Net Income Including Noncontrolling Interests,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Net Income Continuous Operations,1045000000.0,689000000.0,935000000.0,1036000000.0,1103000000.0
Tax Provision,263000000.0,170000000.0,283000000.0,346000000.0,303000000.0
Pretax Income,1308000000.0,859000000.0,1218000000.0,1382000000.0,1406000000.0
Other Income Expense,27000000.0,26000000.0,17000000.0,26000000.0,29000000.0
Other Non Operating Income Expenses,27000000.0,26000000.0,17000000.0,26000000.0,29000000.0
Net Non Operating Interest Income Expense,-99000000.0,-115000000.0,-116000000.0,-116000000.0,-90000000.0
Interest Expense Non Operating,99000000.0,115000000.0,116000000.0,116000000.0,90000000.0
Operating Income,1380000000.0,948000000.0,1317000000.0,1472000000.0,1467000000.0
Operating Expense,6730000000.0,6185000000.0,5991000000.0,5246000000.0,6569000000.0
Depreciation Amortization Depletion Income Statement,681000000.0,649000000.0,632000000.0,655000000.0,646000000.0
Depreciation And Amortization In Income Statement,681000000.0,649000000.0,632000000.0,655000000.0,646000000.0
Selling General And Administration,6049000000.0,5536000000.0,5359000000.0,4591000000.0,5923000000.0
Gross Profit,8110000000.0,7133000000.0,7308000000.0,6718000000.0,8036000000.0
Cost Of Revenue,22343000000.0,18137000000.0,17903000000.0,17128000000.0,22879000000.0
Total Revenue,30453000000.0,25270000000.0,25211000000.0,23846000000.0,30915000000.0
Operating Revenue,30453000000.0,25270000000.0,25211000000.0,23846000000.0,32174000000.0
